label,label_animal,timestamp,collar_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
sana,sana,2026-03-19 09:25:00,COW_005,0.0,,1,65.4,41.59,46.82,1,-34.571091,-60.909659,130.0,1.56
sana,sana,2026-03-19 09:30:00,COW_005,0.0006,38.55,1,63.5,47.92,64.19,0,-34.571092,-60.909659,111.7,1.34
sana,sana,2026-03-19 09:35:00,COW_005,0.0012,39.13,1,66.8,40.65,53.7,0,-34.571092,-60.90966,87.5,1.05
sana,sana,2026-03-19 09:40:00,COW_005,0.0017,38.33,1,67.0,37.93,43.77,0,-34.571092,-60.90966,64.2,0.77
sana,sana,2026-03-19 09:45:00,COW_005,0.0023,38.09,1,48.1,45.48,63.42,0,-34.571091,-60.90966,165.8,1.99
sana,sana,2026-03-19 09:50:00,COW_005,0.0029,38.52,1,62.6,40.25,57.94,0,-34.571091,-60.909659,37.5,0.45
sana,sana,2026-03-19 09:55:00,COW_005,0.0035,38.93,1,66.7,49.65,67.77,0,-34.571091,-60.90966,82.5,0.99
sana,sana,2026-03-19 10:00:00,COW_005,0.0041,38.44,1,66.3,46.3,65.38,0,-34.571091,-60.90966,57.5,0.69
sana,sana,2026-03-19 10:05:00,COW_005,0.0046,38.14,0,66.5,39.98,45.89,0,-34.571091,-60.90966,55.8,0.67
sana,sana,2026-03-19 10:10:00,COW_005,0.0052,38.56,1,61.7,34.08,44.14,0,-34.571092,-60.90966,121.7,1.46
sana,sana,2026-03-19 10:15:00,COW_005,0.0058,38.63,1,81.0,44.43,53.62,0,-34.571092,-60.90966,0.8,0.01
sana,sana,2026-03-19 10:20:00,COW_005,0.0064,39.01,1,63.9,42.49,53.38,0,-34.571092,-60.909661,67.5,0.81
sana,sana,2026-03-19 10:25:00,COW_005,0.0069,38.45,1,71.5,35.65,46.93,0,-34.571091,-60.90966,90.8,1.09
sana,sana,2026-03-19 10:30:00,COW_005,0.0075,38.8,0,60.4,50.82,73.11,0,-34.571091,-60.90966,83.3,1.0
sana,sana,2026-03-19 10:35:00,COW_005,0.0081,38.03,1,69.7,38.15,54.78,0,-34.571091,-60.90966,27.5,0.33
sana,sana,2026-03-19 10:40:00,COW_005,0.0087,38.73,1,71.0,39.8,54.39,0,-34.571092,-60.90966,110.0,1.32
sana,sana,2026-03-19 10:45:00,COW_005,0.0093,39.11,1,53.8,44.17,61.7,0,-34.571092,-60.90966,74.2,0.89
sana,sana,2026-03-19 10:50:00,COW_005,0.0098,38.82,1,64.4,50.31,64.21,0,-34.571091,-60.90966,98.3,1.18
sana,sana,2026-03-19 10:55:00,COW_005,0.0104,39.18,0,64.3,36.79,45.41,0,-34.571091,-60.90966,80.8,0.97
sana,sana,2026-03-19 11:00:00,COW_005,0.011,38.14,1,84.2,39.78,50.09,0,-34.571091,-60.90966,19.2,0.23
sana,sana,2026-03-19 11:05:00,COW_005,0.0116,38.66,1,65.4,44.28,49.94,0,-34.571092,-60.909661,92.5,1.11
sana,sana,2026-03-19 11:10:00,COW_005,0.0122,39.02,1,58.9,38.21,52.59,0,-34.571091,-60.909661,77.5,0.93
sana,sana,2026-03-19 11:15:00,COW_005,0.0127,38.54,1,79.0,44.35,49.76,1,-34.571091,-60.90966,85.0,1.02
sana,sana,2026-03-19 11:20:00,COW_005,0.0133,38.55,1,58.5,35.95,44.44,0,-34.571091,-60.90966,113.3,1.36
sana,sana,2026-03-19 11:25:00,COW_005,0.0139,38.94,1,64.2,51.56,67.31,0,-34.571091,-60.90966,97.5,1.17
sana,sana,2026-03-19 11:30:00,COW_005,0.0145,38.69,1,67.5,37.33,49.72,0,-34.571091,-60.909659,90.8,1.09
sana,sana,2026-03-19 11:35:00,COW_005,0.015,39.13,1,57.2,41.99,48.75,0,-34.571092,-60.909659,80.8,0.97
sana,sana,2026-03-19 11:40:00,COW_005,0.0156,38.99,1,77.5,39.84,51.02,0,-34.571092,-60.909659,113.3,1.36
sana,sana,2026-03-19 11:45:00,COW_005,0.0162,38.55,1,69.5,44.18,52.91,0,-34.571091,-60.909658,115.0,1.38
sana,sana,2026-03-19 11:50:00,COW_005,0.0168,38.53,1,57.6,35.05,39.2,0,-34.571091,-60.909657,98.3,1.18
sana,sana,2026-03-19 11:55:00,COW_005,0.0174,38.61,1,65.1,33.87,42.23,0,-34.571091,-60.909657,69.2,0.83
sana,sana,2026-03-19 12:00:00,COW_005,0.0179,38.5,1,56.5,40.45,51.35,0,-34.571091,-60.909657,89.2,1.07
sana,sana,2026-03-19 12:05:00,COW_005,0.0185,39.31,1,66.8,41.7,55.66,0,-34.571091,-60.909657,35.0,0.42
sana,sana,2026-03-19 12:10:00,COW_005,0.0191,38.64,0,62.9,44.07,61.56,0,-34.571091,-60.909657,108.3,1.3
sana,sana,2026-03-19 12:15:00,COW_005,0.0197,38.84,1,66.2,43.57,54.71,0,-34.57109,-60.909656,101.7,1.22
sana,sana,2026-03-19 12:20:00,COW_005,0.0203,38.21,1,62.4,43.36,60.87,0,-34.57109,-60.909657,57.5,0.69
sana,sana,2026-03-19 12:25:00,COW_005,0.0208,38.58,0,67.4,45.39,58.37,0,-34.571091,-60.909656,71.7,0.86
sana,sana,2026-03-19 12:30:00,COW_005,0.0214,39.04,0,71.6,34.13,41.72,0,-34.571091,-60.909656,160.0,1.92
sana,sana,2026-03-19 12:35:00,COW_005,0.022,38.53,0,55.5,44.74,59.99,0,-34.571091,-60.909656,79.2,0.95
sana,sana,2026-03-19 12:40:00,COW_005,0.0226,38.82,1,83.3,45.19,54.37,0,-34.571091,-60.909656,89.2,1.07
sana,sana,2026-03-19 12:45:00,COW_005,0.0231,38.81,1,64.5,30.59,34.24,0,-34.571092,-60.909655,190.8,2.29
sana,sana,2026-03-19 12:50:00,COW_005,0.0237,38.69,1,69.9,36.21,50.46,0,-34.571091,-60.909654,112.5,1.35
sana,sana,2026-03-19 12:55:00,COW_005,0.0243,38.26,0,58.8,50.88,66.48,0,-34.57109,-60.909654,96.7,1.16
sana,sana,2026-03-19 13:00:00,COW_005,0.0249,37.99,1,71.2,31.78,36.98,0,-34.57109,-60.909653,102.5,1.23
sana,sana,2026-03-19 13:05:00,COW_005,0.0255,38.16,1,60.7,45.22,55.4,0,-34.57109,-60.909653,15.8,0.19
sana,sana,2026-03-19 13:10:00,COW_005,0.026,38.43,1,63.0,39.16,48.61,0,-34.571091,-60.909653,132.5,1.59
sana,sana,2026-03-19 13:15:00,COW_005,0.0266,38.87,0,67.6,34.6,43.2,0,-34.57109,-60.909653,48.3,0.58
sana,sana,2026-03-19 13:20:00,COW_005,0.0272,38.12,1,57.9,41.7,58.25,0,-34.571091,-60.909653,23.3,0.28
sana,sana,2026-03-19 13:25:00,COW_005,0.0278,37.99,1,73.1,43.73,53.26,0,-34.57109,-60.909653,80.0,0.96
sana,sana,2026-03-19 13:30:00,COW_005,0.0284,38.52,1,50.3,44.42,57.47,0,-34.571091,-60.909652,176.7,2.12
