label,label_animal,timestamp,collar_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
sana,sana,2026-03-19 09:25:00,COW_007,0.0,38.94,0,74.7,40.77,55.62,0,-34.578315,-60.896323,102.5,1.23
sana,sana,2026-03-19 09:30:00,COW_007,0.0006,37.98,1,59.7,49.11,65.37,0,-34.578314,-60.896323,62.5,0.75
sana,sana,2026-03-19 09:35:00,COW_007,0.0012,38.96,1,73.7,34.59,39.76,0,-34.578314,-60.896323,36.7,0.44
sana,sana,2026-03-19 09:40:00,COW_007,0.0017,39.21,1,73.2,28.12,38.36,0,-34.578314,-60.896324,139.2,1.67
sana,sana,2026-03-19 09:45:00,COW_007,0.0023,38.6,1,74.3,37.15,43.23,0,-34.578314,-60.896324,22.5,0.27
sana,sana,2026-03-19 09:50:00,COW_007,0.0029,39.5,1,74.2,38.3,50.18,0,-34.578314,-60.896324,76.7,0.92
sana,sana,2026-03-19 09:55:00,COW_007,0.0035,38.23,1,70.9,34.17,38.56,0,-34.578314,-60.896323,45.8,0.55
sana,sana,2026-03-19 10:00:00,COW_007,0.0041,38.16,0,72.0,25.01,31.89,0,-34.578314,-60.896323,22.5,0.27
sana,sana,2026-03-19 10:05:00,COW_007,0.0046,38.51,1,74.2,40.03,47.45,0,-34.578314,-60.896323,0.0,0.0
sana,sana,2026-03-19 10:10:00,COW_007,0.0052,38.54,1,79.0,34.22,45.85,0,-34.578314,-60.896323,51.7,0.62
sana,sana,2026-03-19 10:15:00,COW_007,0.0058,38.5,0,73.9,32.11,36.4,0,-34.578314,-60.896323,89.2,1.07
sana,sana,2026-03-19 10:20:00,COW_007,0.0064,38.27,0,70.3,34.08,46.48,0,-34.578314,-60.896323,58.3,0.7
sana,sana,2026-03-19 10:25:00,COW_007,0.0069,38.61,1,67.1,35.64,44.97,0,-34.578314,-60.896322,95.8,1.15
sana,sana,2026-03-19 10:30:00,COW_007,0.0075,38.26,1,63.3,29.64,33.13,0,-34.578314,-60.896323,104.2,1.25
sana,sana,2026-03-19 10:35:00,COW_007,0.0081,38.04,1,69.0,22.05,26.55,0,-34.578313,-60.896323,100.0,1.2
sana,sana,2026-03-19 10:40:00,COW_007,0.0087,39.57,0,67.7,35.62,40.05,0,-34.578313,-60.896323,193.3,2.32
sana,sana,2026-03-19 10:45:00,COW_007,0.0093,38.77,0,85.0,35.16,38.99,0,-34.578313,-60.896321,206.7,2.48
sana,sana,2026-03-19 10:50:00,COW_007,0.0098,38.39,1,60.8,29.54,35.03,0,-34.578313,-60.896321,79.2,0.95
sana,sana,2026-03-19 10:55:00,COW_007,0.0104,38.66,1,63.9,25.93,30.24,0,-34.578313,-60.89632,121.7,1.46
sana,sana,2026-03-19 11:00:00,COW_007,0.011,38.41,1,70.1,32.52,46.99,0,-34.578313,-60.89632,0.0,0.0
sana,sana,2026-03-19 11:05:00,COW_007,0.0116,38.98,1,56.2,49.13,69.49,0,-34.578313,-60.896319,80.8,0.97
sana,sana,2026-03-19 11:10:00,COW_007,0.0122,38.73,1,77.1,33.1,37.88,0,-34.578313,-60.89632,132.5,1.59
sana,sana,2026-03-19 11:15:00,COW_007,0.0127,38.98,0,67.3,46.65,56.55,0,-34.578314,-60.89632,19.2,0.23
sana,sana,2026-03-19 11:20:00,COW_007,0.0133,38.79,1,64.5,33.05,40.83,1,-34.578313,-60.89632,20.0,0.24
sana,sana,2026-03-19 11:25:00,COW_007,0.0139,38.53,1,69.2,40.77,59.03,0,-34.578314,-60.89632,47.5,0.57
sana,sana,2026-03-19 11:30:00,COW_007,0.0145,38.33,1,68.9,32.41,37.28,0,-34.578314,-60.896319,138.3,1.66
sana,sana,2026-03-19 11:35:00,COW_007,0.015,38.44,1,65.9,45.88,51.92,0,-34.578314,-60.896319,53.3,0.64
sana,sana,2026-03-19 11:40:00,COW_007,0.0156,38.77,1,75.3,44.44,57.53,0,-34.578314,-60.896319,132.5,1.59
sana,sana,2026-03-19 11:45:00,COW_007,0.0162,38.9,1,62.1,39.73,52.29,0,-34.578313,-60.896319,100.0,1.2
sana,sana,2026-03-19 11:50:00,COW_007,0.0168,39.14,0,67.9,45.92,60.82,0,-34.578313,-60.896319,143.3,1.72
sana,sana,2026-03-19 11:55:00,COW_007,0.0174,39.11,1,69.1,36.23,46.79,0,-34.578313,-60.896319,109.2,1.31
sana,sana,2026-03-19 12:00:00,COW_007,0.0179,38.24,1,59.8,43.85,48.56,0,-34.578313,-60.89632,79.2,0.95
sana,sana,2026-03-19 12:05:00,COW_007,0.0185,39.01,0,75.5,37.21,52.43,1,-34.578314,-60.89632,105.8,1.27
sana,sana,2026-03-19 12:10:00,COW_007,0.0191,38.42,1,68.1,29.85,32.84,0,-34.578314,-60.89632,94.2,1.13
sana,sana,2026-03-19 12:15:00,COW_007,0.0197,39.32,1,65.1,39.38,49.55,0,-34.578314,-60.89632,109.2,1.31
sana,sana,2026-03-19 12:20:00,COW_007,0.0203,38.2,1,62.7,33.9,47.78,0,-34.578315,-60.89632,43.3,0.52
sana,sana,2026-03-19 12:25:00,COW_007,0.0208,39.21,1,72.5,28.78,38.41,0,-34.578315,-60.89632,80.8,0.97
sana,sana,2026-03-19 12:30:00,COW_007,0.0214,38.53,1,67.1,36.6,45.48,0,-34.578315,-60.89632,20.0,0.24
sana,sana,2026-03-19 12:35:00,COW_007,0.022,38.98,0,58.8,41.69,55.46,0,-34.578315,-60.89632,27.5,0.33
sana,sana,2026-03-19 12:40:00,COW_007,0.0226,38.46,1,63.7,49.15,54.46,0,-34.578315,-60.89632,5.0,0.06
sana,sana,2026-03-19 12:45:00,COW_007,0.0231,38.69,1,71.4,28.48,36.25,0,-34.578315,-60.89632,91.7,1.1
sana,sana,2026-03-19 12:50:00,COW_007,0.0237,38.84,1,65.1,27.42,38.4,0,-34.578315,-60.89632,56.7,0.68
sana,sana,2026-03-19 12:55:00,COW_007,0.0243,38.22,1,67.0,35.79,39.74,0,-34.578315,-60.89632,37.5,0.45
sana,sana,2026-03-19 13:00:00,COW_007,0.0249,38.74,1,59.2,34.59,40.94,0,-34.578315,-60.896321,34.2,0.41
sana,sana,2026-03-19 13:05:00,COW_007,0.0255,38.89,1,67.7,40.82,56.16,0,-34.578314,-60.896321,97.5,1.17
sana,sana,2026-03-19 13:10:00,COW_007,0.026,38.65,1,68.4,30.29,39.94,0,-34.578313,-60.896321,142.5,1.71
sana,sana,2026-03-19 13:15:00,COW_007,0.0266,39.44,0,62.8,44.94,62.96,0,-34.578313,-60.896321,25.0,0.3
sana,sana,2026-03-19 13:20:00,COW_007,0.0272,39.34,1,51.7,45.15,56.32,0,-34.578313,-60.896321,50.8,0.61
