label,label_animal,timestamp,collar_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
subclinica,subclinica,2026-03-19 09:25:00,COW_012,0.0,38.9,1,63.1,42.16,60.36,0,-34.602214,-60.889039,90.8,1.09
subclinica,subclinica,2026-03-19 09:30:00,COW_012,0.0006,38.87,0,62.9,39.45,48.48,1,-34.602214,-60.88904,124.2,1.49
subclinica,subclinica,2026-03-19 09:35:00,COW_012,0.0012,38.71,1,65.4,38.53,42.72,0,-34.602214,-60.889039,63.3,0.76
subclinica,subclinica,2026-03-19 09:40:00,COW_012,0.0017,38.99,1,72.9,40.58,47.23,0,-34.602214,-60.889039,48.3,0.58
subclinica,subclinica,2026-03-19 09:45:00,COW_012,0.0023,38.75,1,70.7,39.64,51.84,0,-34.602214,-60.889039,74.2,0.89
subclinica,subclinica,2026-03-19 09:50:00,COW_012,0.0029,38.48,1,69.1,36.97,52.21,0,-34.602214,-60.889039,71.7,0.86
subclinica,subclinica,2026-03-19 09:55:00,COW_012,0.0035,38.75,1,68.3,32.21,36.68,0,-34.602215,-60.889039,76.7,0.92
subclinica,subclinica,2026-03-19 10:00:00,COW_012,0.0041,38.59,1,61.5,34.85,47.36,0,-34.602215,-60.889039,22.5,0.27
subclinica,subclinica,2026-03-19 10:05:00,COW_012,0.0046,39.49,1,79.6,37.23,45.28,1,-34.602215,-60.889038,128.3,1.54
subclinica,subclinica,2026-03-19 10:10:00,COW_012,0.0052,38.52,1,62.1,34.87,42.68,0,-34.602215,-60.889038,18.3,0.22
subclinica,subclinica,2026-03-19 10:15:00,COW_012,0.0058,39.4,1,54.0,43.16,48.14,0,-34.602214,-60.889038,125.8,1.51
subclinica,subclinica,2026-03-19 10:20:00,COW_012,0.0064,39.18,1,61.3,38.53,49.64,0,-34.602214,-60.889038,0.0,0.0
subclinica,subclinica,2026-03-19 10:25:00,COW_012,0.0069,38.42,1,72.3,36.37,43.62,0,-34.602214,-60.889038,126.7,1.52
subclinica,subclinica,2026-03-19 10:30:00,COW_012,0.0075,39.01,1,64.7,42.17,58.69,0,-34.602214,-60.889037,124.2,1.49
subclinica,subclinica,2026-03-19 10:35:00,COW_012,0.0081,38.07,1,64.6,33.71,45.51,0,-34.602214,-60.889037,0.0,0.0
subclinica,subclinica,2026-03-19 10:40:00,COW_012,0.0087,38.44,1,58.7,33.41,43.69,0,-34.602214,-60.889037,99.2,1.19
subclinica,subclinica,2026-03-19 10:45:00,COW_012,0.0093,37.92,1,66.2,36.02,46.18,0,-34.602214,-60.889037,5.8,0.07
subclinica,subclinica,2026-03-19 10:50:00,COW_012,0.0098,37.93,1,58.5,39.82,50.05,0,-34.602213,-60.889036,65.0,0.78
subclinica,subclinica,2026-03-19 10:55:00,COW_012,0.0104,38.9,1,66.4,35.5,46.08,1,-34.602212,-60.889037,155.0,1.86
subclinica,subclinica,2026-03-19 11:00:00,COW_012,0.011,39.21,1,72.4,41.66,50.99,0,-34.602212,-60.889038,95.8,1.15
subclinica,subclinica,2026-03-19 11:05:00,COW_012,0.0116,38.65,1,60.0,34.39,48.34,0,-34.602211,-60.889037,83.3,1.0
subclinica,subclinica,2026-03-19 11:10:00,COW_012,0.0122,38.75,1,65.6,39.68,44.38,0,-34.602211,-60.889037,60.8,0.73
