label,label_animal,timestamp,collar_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
subclinica,subclinica,2026-03-19 09:25:00,COW_014,0.0,38.58,1,55.3,33.44,45.21,0,-34.618843,-60.966939,0.0,0.0
subclinica,subclinica,2026-03-19 09:30:00,COW_014,0.0006,39.45,1,76.5,39.32,51.09,0,-34.618843,-60.966939,0.0,0.0
subclinica,subclinica,2026-03-19 09:35:00,COW_014,0.0012,38.48,1,62.6,34.51,47.58,0,-34.618844,-60.966939,145.0,1.74
subclinica,subclinica,2026-03-19 09:40:00,COW_014,0.0017,38.73,0,66.4,44.35,58.12,0,-34.618844,-60.966938,80.0,0.96
subclinica,subclinica,2026-03-19 09:45:00,COW_014,0.0023,38.67,1,63.5,42.21,54.52,0,-34.618844,-60.966938,56.7,0.68
subclinica,subclinica,2026-03-19 09:50:00,COW_014,0.0029,38.53,0,71.0,43.1,58.78,1,-34.618845,-60.966938,125.8,1.51
subclinica,subclinica,2026-03-19 09:55:00,COW_014,0.0035,38.42,1,64.9,41.68,57.7,0,-34.618846,-60.966939,140.8,1.69
subclinica,subclinica,2026-03-19 10:00:00,COW_014,0.0041,38.23,1,63.7,43.42,59.02,0,-34.618847,-60.966938,119.2,1.43
subclinica,subclinica,2026-03-19 10:05:00,COW_014,0.0046,38.75,1,73.3,34.2,49.13,0,-34.618846,-60.966939,133.3,1.6
subclinica,subclinica,2026-03-19 10:10:00,COW_014,0.0052,38.41,1,62.2,32.51,44.08,0,-34.618846,-60.966939,62.5,0.75
subclinica,subclinica,2026-03-19 10:15:00,COW_014,0.0058,38.65,1,55.8,35.32,40.71,0,-34.618846,-60.966939,76.7,0.92
subclinica,subclinica,2026-03-19 10:20:00,COW_014,0.0064,39.31,1,66.7,47.21,65.74,0,-34.618847,-60.96694,62.5,0.75
subclinica,subclinica,2026-03-19 10:25:00,COW_014,0.0069,38.98,1,49.9,28.94,39.9,0,-34.618847,-60.966939,123.3,1.48
subclinica,subclinica,2026-03-19 10:30:00,COW_014,0.0075,38.65,1,68.1,41.08,49.98,1,-34.618847,-60.966939,86.7,1.04
