label,label_animal,timestamp,collar_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
clinica,clinica,2026-03-19 09:25:00,COW_017,0.0,38.86,1,67.7,35.12,38.87,0,-34.578618,-60.9579,27.5,0.33
clinica,clinica,2026-03-19 09:30:00,COW_017,0.0006,39.29,1,59.6,38.94,49.97,0,-34.578618,-60.9579,35.0,0.42
clinica,clinica,2026-03-19 09:35:00,COW_017,0.0012,38.57,1,67.2,36.89,47.9,0,-34.578618,-60.957901,42.5,0.51
clinica,clinica,2026-03-19 09:40:00,COW_017,0.0017,38.63,1,67.4,35.53,46.73,0,-34.578619,-60.9579,143.3,1.72
clinica,clinica,2026-03-19 09:45:00,COW_017,0.0023,38.73,1,56.0,42.5,49.78,0,-34.578619,-60.9579,36.7,0.44
clinica,clinica,2026-03-19 09:50:00,COW_017,0.0029,38.68,1,82.0,43.79,61.31,0,-34.578619,-60.9579,53.3,0.64
clinica,clinica,2026-03-19 09:55:00,COW_017,0.0035,38.93,1,62.8,43.6,49.87,0,-34.578619,-60.9579,15.0,0.18
clinica,clinica,2026-03-19 10:00:00,COW_017,0.0041,38.78,0,66.2,39.24,56.35,0,-34.578618,-60.9579,73.3,0.88
clinica,clinica,2026-03-19 10:05:00,COW_017,0.0046,39.0,1,67.8,26.83,34.6,0,-34.578618,-60.9579,107.5,1.29
clinica,clinica,2026-03-19 10:10:00,COW_017,0.0052,39.09,0,52.3,41.54,47.37,0,-34.578618,-60.9579,5.8,0.07
clinica,clinica,2026-03-19 10:15:00,COW_017,0.0058,37.51,1,63.0,37.46,49.2,0,-34.578618,-60.957899,82.5,0.99
clinica,clinica,2026-03-19 10:20:00,COW_017,0.0064,38.93,1,65.9,31.13,39.75,0,-34.578618,-60.957899,0.0,0.0
clinica,clinica,2026-03-19 10:25:00,COW_017,0.0069,38.69,1,68.0,45.49,51.0,0,-34.578619,-60.9579,150.0,1.8
clinica,clinica,2026-03-19 10:30:00,COW_017,0.0075,38.54,1,79.3,38.28,45.2,0,-34.578619,-60.9579,11.7,0.14
clinica,clinica,2026-03-19 10:35:00,COW_017,0.0081,38.07,1,55.9,47.51,56.2,0,-34.578619,-60.9579,29.2,0.35
clinica,clinica,2026-03-19 10:40:00,COW_017,0.0087,38.56,1,67.0,43.78,57.81,0,-34.578619,-60.9579,47.5,0.57
