label,timestamp,animal_id,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
sana,2025-06-01 06:00:00,BOV_001,39.52,0,64.7,36.7,41.2,0,-34.623774,-60.854386,90.0,1.08
sana,2025-06-01 06:05:00,BOV_001,37.05,1,70.3,49.6,57.3,0,-34.623774,-60.854386,29.2,0.35
sana,2025-06-01 06:10:00,BOV_001,37.83,1,60.8,41.0,55.1,1,-34.623773,-60.854386,92.5,1.11
sana,2025-06-01 06:15:00,BOV_001,37.97,1,62.1,35.6,52.1,0,-34.623773,-60.854387,134.2,1.61
sana,2025-06-01 06:20:00,BOV_001,38.56,1,67.6,43.7,49.6,1,-34.623774,-60.854387,68.3,0.82
sana,2025-06-01 06:25:00,BOV_001,37.81,1,56.6,29.5,41.9,0,-34.623774,-60.854386,145.8,1.75
sana,2025-06-01 06:30:00,BOV_001,39.25,1,60.9,35.4,51.2,0,-34.623774,-60.854386,126.7,1.52
sana,2025-06-01 06:35:00,BOV_001,38.97,0,65.1,31.0,42.9,0,-34.623774,-60.854385,134.2,1.61
sana,2025-06-01 06:40:00,BOV_001,38.76,1,59.1,40.9,50.1,0,-34.623775,-60.854385,104.2,1.25
sana,2025-06-01 06:45:00,BOV_001,38.59,0,63.4,43.9,63.6,0,-34.623775,-60.854384,218.3,2.62
sana,2025-06-01 06:50:00,BOV_001,38.36,0,60.1,26.4,37.7,1,-34.623775,-60.854384,0.0,0.0
sana,2025-06-01 06:55:00,BOV_001,38.84,1,62.9,42.6,58.8,0,-34.623775,-60.854384,6.7,0.08
sana,2025-06-01 07:00:00,BOV_001,40.31,0,73.6,37.3,43.2,0,-34.623775,-60.854384,77.5,0.93
sana,2025-06-01 07:05:00,BOV_001,38.28,1,78.0,52.9,69.5,0,-34.623776,-60.854385,234.2,2.81
sana,2025-06-01 07:10:00,BOV_001,38.37,1,52.8,40.5,55.0,0,-34.623777,-60.854385,182.5,2.19
sana,2025-06-01 07:15:00,BOV_001,38.33,1,67.2,51.8,68.5,0,-34.623776,-60.854385,175.8,2.11
sana,2025-06-01 07:20:00,BOV_001,37.76,0,66.1,44.8,65.2,0,-34.623776,-60.854385,155.0,1.86
sana,2025-06-01 07:25:00,BOV_001,39.07,1,72.6,49.2,58.8,0,-34.623775,-60.854385,75.8,0.91
sana,2025-06-01 07:30:00,BOV_001,39.78,1,65.1,31.2,37.6,0,-34.623776,-60.854383,196.7,2.36
sana,2025-06-01 07:35:00,BOV_001,40.21,1,67.1,25.1,34.9,1,-34.623776,-60.854383,135.0,1.62
sana,2025-06-01 07:40:00,BOV_001,39.01,0,68.2,39.6,58.8,0,-34.623777,-60.854384,205.0,2.46
sana,2025-06-01 07:45:00,BOV_001,38.97,1,64.5,47.1,53.6,0,-34.623776,-60.854385,251.7,3.02
sana,2025-06-01 07:50:00,BOV_001,39.0,1,74.6,50.0,62.2,0,-34.623776,-60.854385,152.5,1.83
sana,2025-06-01 07:55:00,BOV_001,39.54,0,67.2,52.0,73.8,0,-34.623777,-60.854385,196.7,2.36
sana,2025-06-01 08:00:00,BOV_001,38.64,1,82.3,22.1,26.8,1,-34.623777,-60.854385,69.2,0.83
sana,2025-06-01 08:05:00,BOV_001,38.97,0,55.2,63.7,86.3,0,-34.623779,-60.854385,250.0,3.0
sana,2025-06-01 08:10:00,BOV_001,39.04,0,57.0,39.8,44.2,0,-34.623779,-60.854385,73.3,0.88
sana,2025-06-01 08:15:00,BOV_001,38.79,0,51.3,49.9,60.5,0,-34.623777,-60.854384,207.5,2.49
sana,2025-06-01 08:20:00,BOV_001,38.21,1,71.3,35.2,38.9,1,-34.623776,-60.854384,105.0,1.26
sana,2025-06-01 08:25:00,BOV_001,37.84,0,61.8,21.4,28.8,1,-34.623776,-60.854384,31.7,0.38
sana,2025-06-01 08:30:00,BOV_001,38.81,0,60.1,42.9,48.4,1,-34.623776,-60.854386,160.0,1.92
sana,2025-06-01 08:35:00,BOV_001,39.05,0,94.7,42.5,62.1,1,-34.623776,-60.854386,42.5,0.51
sana,2025-06-01 08:40:00,BOV_001,38.37,0,59.8,48.8,56.0,0,-34.623775,-60.854386,136.7,1.64
sana,2025-06-01 08:45:00,BOV_001,39.07,1,61.5,20.8,29.3,0,-34.623775,-60.854386,29.2,0.35
sana,2025-06-01 08:50:00,BOV_001,39.21,0,77.5,39.0,47.9,0,-34.623776,-60.854385,90.0,1.08
sana,2025-06-01 08:55:00,BOV_001,38.28,1,71.8,46.1,65.3,0,-34.623776,-60.854385,60.0,0.72
sana,2025-06-01 09:00:00,BOV_001,38.71,0,60.8,35.3,40.8,0,-34.623775,-60.854385,75.0,0.9
sana,2025-06-01 09:05:00,BOV_001,39.41,0,63.4,32.0,36.3,0,-34.623775,-60.854385,192.5,2.31
sana,2025-06-01 09:10:00,BOV_001,38.12,1,64.8,37.1,41.6,0,-34.623774,-60.854385,185.0,2.22
