label,label_animal,timestamp,collar_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
sana,sana,2026-03-19 09:35:00,COW_002,0.0,37.99,1,56.0,38.42,52.42,0,-34.653143,-60.913099,126.7,1.52
sana,sana,2026-03-19 09:40:00,COW_002,0.0006,38.87,1,69.9,42.04,52.85,0,-34.653142,-60.913099,93.3,1.12
sana,sana,2026-03-19 09:45:00,COW_002,0.0012,38.84,1,69.8,44.63,49.58,0,-34.653142,-60.913099,15.0,0.18
sana,sana,2026-03-19 09:50:00,COW_002,0.0017,38.3,1,63.5,41.99,53.93,0,-34.653143,-60.913099,103.3,1.24
sana,sana,2026-03-19 09:55:00,COW_002,0.0023,37.63,1,63.4,50.72,67.0,1,-34.653143,-60.913099,131.7,1.58
sana,sana,2026-03-19 10:00:00,COW_002,0.0029,38.23,1,60.9,42.42,54.94,0,-34.653143,-60.913099,75.8,0.91
sana,sana,2026-03-19 10:05:00,COW_002,0.0035,38.29,1,66.4,53.09,63.31,0,-34.653143,-60.913099,38.3,0.46
sana,sana,2026-03-19 10:10:00,COW_002,0.0041,38.45,0,56.3,40.79,55.52,0,-34.653143,-60.913099,63.3,0.76
sana,sana,2026-03-19 10:15:00,COW_002,0.0046,38.98,1,65.7,41.67,49.09,0,-34.653143,-60.913098,53.3,0.64
sana,sana,2026-03-19 10:20:00,COW_002,0.0052,38.8,1,61.9,42.12,57.45,0,-34.653143,-60.913099,67.5,0.81
sana,sana,2026-03-19 10:25:00,COW_002,0.0058,38.67,1,61.0,51.71,69.55,0,-34.653143,-60.913099,56.7,0.68
sana,sana,2026-03-19 10:30:00,COW_002,0.0064,38.37,0,52.5,39.78,55.93,0,-34.653143,-60.913098,50.8,0.61
sana,sana,2026-03-19 10:35:00,COW_002,0.0069,38.59,1,65.7,47.16,58.17,0,-34.653143,-60.913098,17.5,0.21
sana,sana,2026-03-19 10:40:00,COW_002,0.0075,38.29,0,72.9,47.21,54.81,0,-34.653143,-60.913098,0.0,0.0
sana,sana,2026-03-19 10:45:00,COW_002,0.0081,38.48,1,59.4,45.36,65.24,0,-34.653143,-60.913098,74.2,0.89
sana,sana,2026-03-19 10:50:00,COW_002,0.0087,38.81,1,55.5,36.73,50.57,0,-34.653143,-60.913099,14.2,0.17
sana,sana,2026-03-19 10:55:00,COW_002,0.0093,38.51,1,55.6,42.19,51.9,0,-34.653143,-60.913099,55.8,0.67
sana,sana,2026-03-19 11:00:00,COW_002,0.0098,38.48,1,69.8,40.06,54.53,0,-34.653142,-60.913099,116.7,1.4
sana,sana,2026-03-19 11:05:00,COW_002,0.0104,38.53,1,57.5,36.71,46.37,0,-34.653143,-60.913099,173.3,2.08
sana,sana,2026-03-19 11:10:00,COW_002,0.011,38.61,1,65.6,43.67,52.63,0,-34.653143,-60.913099,48.3,0.58
sana,sana,2026-03-19 11:15:00,COW_002,0.0116,38.22,1,58.1,39.02,47.39,0,-34.653143,-60.913099,17.5,0.21
sana,sana,2026-03-19 11:20:00,COW_002,0.0122,38.11,0,55.7,39.26,54.61,0,-34.653144,-60.913099,51.7,0.62
sana,sana,2026-03-19 11:25:00,COW_002,0.0127,39.14,1,62.6,39.69,56.68,0,-34.653144,-60.913099,146.7,1.76
sana,sana,2026-03-19 11:30:00,COW_002,0.0133,,1,61.5,39.57,52.22,0,-34.653144,-60.9131,63.3,0.76
sana,sana,2026-03-19 11:35:00,COW_002,0.0139,38.81,1,55.5,36.84,52.95,0,-34.653144,-60.9131,67.5,0.81
sana,sana,2026-03-19 11:40:00,COW_002,0.0145,38.24,1,78.5,34.84,48.69,0,-34.653144,-60.913099,63.3,0.76
sana,sana,2026-03-19 11:45:00,COW_002,0.015,38.34,1,49.2,49.22,67.27,0,-34.653145,-60.9131,96.7,1.16
sana,sana,2026-03-19 11:50:00,COW_002,0.0156,38.09,1,56.9,40.5,54.92,0,-34.653145,-60.9131,63.3,0.76
