label,label_animal,timestamp,collar_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
sana,sana,2026-03-19 09:35:00,COW_003,0.0,38.84,1,59.9,41.64,52.9,0,-34.588965,-60.939471,112.5,1.35
sana,sana,2026-03-19 09:40:00,COW_003,0.0006,38.26,0,61.6,36.41,44.24,0,-34.588964,-60.939471,72.5,0.87
sana,sana,2026-03-19 09:45:00,COW_003,0.0012,39.0,1,56.7,39.94,53.55,0,-34.588964,-60.939471,52.5,0.63
sana,sana,2026-03-19 09:50:00,COW_003,0.0017,38.53,1,68.2,38.42,49.6,0,-34.588965,-60.93947,125.0,1.5
sana,sana,2026-03-19 09:55:00,COW_003,0.0023,38.47,1,62.1,41.1,58.93,0,-34.588965,-60.939471,175.8,2.11
sana,sana,2026-03-19 10:00:00,COW_003,0.0029,38.29,1,54.8,40.77,51.31,0,-34.588966,-60.939471,150.8,1.81
sana,sana,2026-03-19 10:05:00,COW_003,0.0035,38.78,1,62.8,35.24,42.18,0,-34.588966,-60.939471,43.3,0.52
sana,sana,2026-03-19 10:10:00,COW_003,0.0041,38.95,0,65.7,31.69,37.39,0,-34.588965,-60.93947,56.7,0.68
sana,sana,2026-03-19 10:15:00,COW_003,0.0046,38.32,1,63.8,42.09,56.9,0,-34.588966,-60.93947,76.7,0.92
sana,sana,2026-03-19 10:20:00,COW_003,0.0052,38.86,1,63.4,48.1,69.74,0,-34.588966,-60.93947,0.0,0.0
sana,sana,2026-03-19 10:25:00,COW_003,0.0058,39.31,1,75.1,41.17,51.14,0,-34.588965,-60.93947,47.5,0.57
sana,sana,2026-03-19 10:30:00,COW_003,0.0064,38.43,1,65.5,41.04,47.19,0,-34.588966,-60.939471,208.3,2.5
sana,sana,2026-03-19 10:35:00,COW_003,0.0069,38.7,1,68.9,36.65,46.56,0,-34.588965,-60.939471,74.2,0.89
sana,sana,2026-03-19 10:40:00,COW_003,0.0075,38.36,1,65.1,44.72,51.86,0,-34.588966,-60.939472,124.2,1.49
sana,sana,2026-03-19 10:45:00,COW_003,0.0081,37.99,1,64.0,42.85,47.49,1,-34.588965,-60.939471,89.2,1.07
sana,sana,2026-03-19 10:50:00,COW_003,0.0087,38.32,1,70.1,51.92,68.04,0,-34.588966,-60.93947,115.8,1.39
sana,sana,2026-03-19 10:55:00,COW_003,0.0093,38.68,1,74.9,37.25,45.24,0,-34.588966,-60.93947,40.8,0.49
sana,sana,2026-03-19 11:00:00,COW_003,0.0098,38.69,1,70.0,48.2,67.36,0,-34.588966,-60.93947,68.3,0.82
sana,sana,2026-03-19 11:05:00,COW_003,0.0104,38.77,1,64.5,50.04,62.89,0,-34.588967,-60.93947,61.7,0.74
sana,sana,2026-03-19 11:10:00,COW_003,0.011,39.03,1,58.8,40.44,47.51,0,-34.588966,-60.93947,95.8,1.15
sana,sana,2026-03-19 11:15:00,COW_003,0.0116,38.82,1,67.9,37.93,50.15,0,-34.588966,-60.93947,70.0,0.84
sana,sana,2026-03-19 11:20:00,COW_003,0.0122,39.22,1,71.4,39.75,53.12,1,-34.588966,-60.93947,34.2,0.41
sana,sana,2026-03-19 11:25:00,COW_003,0.0127,38.12,1,57.9,40.54,57.26,0,-34.588965,-60.93947,36.7,0.44
sana,sana,2026-03-19 11:30:00,COW_003,0.0133,38.02,1,55.7,43.45,60.93,0,-34.588965,-60.93947,30.8,0.37
sana,sana,2026-03-19 11:35:00,COW_003,0.0139,38.0,1,64.2,48.63,67.03,0,-34.588966,-60.93947,94.2,1.13
sana,sana,2026-03-19 11:40:00,COW_003,0.0145,38.84,1,62.8,48.1,55.24,0,-34.588966,-60.93947,12.5,0.15
sana,sana,2026-03-19 11:45:00,COW_003,0.015,38.46,1,59.3,36.14,47.91,0,-34.588966,-60.93947,45.8,0.55
