label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
sana,sana,2026-03-19 09:50:00,COW_004,0.0,38.69,1,70.3,36.52,48.77,0,-34.623452,-60.928285,109.2,1.31
sana,sana,2026-03-19 09:55:00,COW_004,0.0006,38.71,1,72.9,47.29,54.33,0,-34.623452,-60.928285,58.3,0.7
sana,sana,2026-03-19 10:00:00,COW_004,0.0012,39.29,1,69.8,47.87,52.87,0,-34.623453,-60.928286,154.2,1.85
sana,sana,2026-03-19 10:05:00,COW_004,0.0017,39.15,0,69.2,45.12,57.76,0,-34.623453,-60.928286,0.0,0.0
sana,sana,2026-03-19 10:10:00,COW_004,0.0023,37.88,1,56.7,45.58,51.31,0,-34.623454,-60.928287,90.8,1.09
sana,sana,2026-03-19 10:15:00,COW_004,0.0029,38.89,1,65.8,44.08,55.91,0,-34.623454,-60.928287,30.8,0.37
sana,sana,2026-03-19 10:20:00,COW_004,0.0035,38.86,1,63.1,35.4,39.01,0,-34.623452,-60.928286,197.5,2.37
sana,sana,2026-03-19 10:25:00,COW_004,0.0041,38.49,0,59.5,44.94,51.58,0,-34.623452,-60.928286,86.7,1.04
sana,sana,2026-03-19 10:30:00,COW_004,0.0046,38.41,1,70.7,41.37,49.48,1,-34.623452,-60.928286,53.3,0.64
sana,sana,2026-03-19 10:35:00,COW_004,0.0052,38.17,1,72.0,38.34,55.37,0,-34.623452,-60.928286,68.3,0.82
sana,sana,2026-03-19 10:40:00,COW_004,0.0058,38.67,1,64.2,38.72,55.61,0,-34.623452,-60.928286,46.7,0.56
sana,sana,2026-03-19 10:45:00,COW_004,0.0064,39.22,1,62.6,45.24,54.39,0,-34.623452,-60.928286,40.0,0.48
sana,sana,2026-03-19 10:50:00,COW_004,0.0069,37.54,1,67.2,44.98,64.54,0,-34.623452,-60.928286,4.2,0.05
sana,sana,2026-03-19 10:55:00,COW_004,0.0075,38.45,1,71.3,35.24,49.76,0,-34.623453,-60.928286,115.0,1.38
sana,sana,2026-03-19 11:00:00,COW_004,0.0081,38.24,1,63.9,49.07,57.12,0,-34.623453,-60.928286,88.3,1.06
sana,sana,2026-03-19 11:05:00,COW_004,0.0087,38.68,1,68.2,37.58,46.1,0,-34.623453,-60.928286,35.0,0.42
sana,sana,2026-03-19 11:10:00,COW_004,0.0093,38.54,0,64.0,30.02,37.43,0,-34.623453,-60.928286,139.2,1.67
sana,sana,2026-03-19 11:15:00,COW_004,0.0098,38.86,0,61.0,34.21,39.94,0,-34.623453,-60.928286,88.3,1.06
sana,sana,2026-03-19 11:20:00,COW_004,0.0104,38.83,1,58.2,41.64,46.06,0,-34.623454,-60.928286,140.8,1.69
sana,sana,2026-03-19 11:25:00,COW_004,0.011,38.43,1,78.6,39.66,54.75,0,-34.623454,-60.928286,90.8,1.09
sana,sana,2026-03-19 11:30:00,COW_004,0.0116,38.36,1,58.7,40.2,50.55,0,-34.623453,-60.928286,129.2,1.55
sana,sana,2026-03-19 11:35:00,COW_004,0.0122,39.0,0,58.1,45.46,52.11,0,-34.623453,-60.928286,103.3,1.24
sana,sana,2026-03-19 11:40:00,COW_004,0.0127,38.69,1,67.6,38.08,43.81,0,-34.623453,-60.928286,0.0,0.0
sana,sana,2026-03-19 11:45:00,COW_004,0.0133,38.32,1,64.9,35.47,49.02,0,-34.623454,-60.928286,122.5,1.47
sana,sana,2026-03-19 11:50:00,COW_004,0.0139,39.33,1,80.9,36.3,52.25,0,-34.623454,-60.928286,104.2,1.25
sana,sana,2026-03-19 11:55:00,COW_004,0.0145,38.53,1,64.6,35.73,50.56,0,-34.623455,-60.928285,104.2,1.25
sana,sana,2026-03-19 12:00:00,COW_004,0.015,38.61,1,78.5,42.08,55.77,0,-34.623454,-60.928286,86.7,1.04
sana,sana,2026-03-19 12:05:00,COW_004,0.0156,38.66,1,69.5,35.83,44.29,0,-34.623455,-60.928286,39.2,0.47
sana,sana,2026-03-19 12:10:00,COW_004,0.0162,38.41,0,72.3,38.84,47.25,0,-34.623455,-60.928284,152.5,1.83
sana,sana,2026-03-19 12:15:00,COW_004,0.0168,39.07,1,68.2,40.0,49.82,0,-34.623455,-60.928285,90.0,1.08
sana,sana,2026-03-19 12:20:00,COW_004,0.0174,38.84,1,67.7,50.94,59.56,0,-34.623455,-60.928285,90.8,1.09
sana,sana,2026-03-19 12:25:00,COW_004,0.0179,38.54,0,59.2,44.9,50.89,0,-34.623455,-60.928285,5.0,0.06
sana,sana,2026-03-19 12:30:00,COW_004,0.0185,38.99,1,60.4,50.76,57.78,0,-34.623455,-60.928285,33.3,0.4
sana,sana,2026-03-19 12:35:00,COW_004,0.0191,38.05,0,68.4,39.64,52.89,0,-34.623455,-60.928285,36.7,0.44
sana,sana,2026-03-19 12:40:00,COW_004,0.0197,38.69,0,62.7,29.28,34.93,0,-34.623455,-60.928285,79.2,0.95
sana,sana,2026-03-19 12:45:00,COW_004,0.0203,38.39,1,70.1,43.57,57.97,0,-34.623455,-60.928285,5.0,0.06
sana,sana,2026-03-19 12:50:00,COW_004,0.0208,38.08,1,65.9,40.36,48.78,0,-34.623455,-60.928285,75.8,0.91
sana,sana,2026-03-19 12:55:00,COW_004,0.0214,38.07,1,85.5,43.29,54.01,0,-34.623455,-60.928285,124.2,1.49
sana,sana,2026-03-19 13:00:00,COW_004,0.022,39.1,1,69.6,42.47,54.53,0,-34.623455,-60.928285,35.0,0.42
sana,sana,2026-03-19 13:05:00,COW_004,0.0226,38.7,1,64.7,41.53,49.68,0,-34.623455,-60.928285,76.7,0.92
sana,sana,2026-03-19 13:10:00,COW_004,0.0231,38.83,1,71.5,27.81,31.92,0,-34.623453,-60.928287,175.8,2.11
sana,sana,2026-03-19 13:15:00,COW_004,0.0237,38.24,1,69.2,40.71,47.57,0,-34.623454,-60.928286,152.5,1.83
sana,sana,2026-03-19 13:20:00,COW_004,0.0243,38.45,1,62.8,34.98,43.67,0,-34.623454,-60.928286,3.3,0.04
sana,sana,2026-03-19 13:25:00,COW_004,0.0249,38.37,1,63.3,42.72,56.19,0,-34.623454,-60.928286,115.0,1.38
sana,sana,2026-03-19 13:30:00,COW_004,0.0255,39.23,1,70.4,37.65,49.72,0,-34.623455,-60.928286,81.7,0.98
sana,sana,2026-03-19 13:35:00,COW_004,0.026,39.51,1,57.0,49.69,54.96,0,-34.623455,-60.928286,2.5,0.03
sana,sana,2026-03-19 13:40:00,COW_004,0.0266,39.15,1,64.1,50.42,56.81,0,-34.623454,-60.928287,105.8,1.27
sana,sana,2026-03-19 13:45:00,COW_004,0.0272,38.6,1,66.2,44.26,64.04,0,-34.623454,-60.928286,69.2,0.83
sana,sana,2026-03-19 13:50:00,COW_004,0.0278,38.52,1,53.5,39.1,43.84,0,-34.623454,-60.928286,70.8,0.85
sana,sana,2026-03-19 13:55:00,COW_004,0.0284,38.54,1,67.6,47.82,54.07,0,-34.623454,-60.928286,0.0,0.0
sana,sana,2026-03-19 14:00:00,COW_004,0.0289,38.55,1,72.9,35.97,47.64,0,-34.623455,-60.928285,155.0,1.86
sana,sana,2026-03-19 14:05:00,COW_004,0.0295,38.86,0,62.8,38.67,47.55,1,-34.623454,-60.928286,138.3,1.66
sana,sana,2026-03-19 14:10:00,COW_004,0.0301,38.53,1,70.9,44.89,54.37,0,-34.623454,-60.928285,97.5,1.17
