label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
sana,sana,2026-03-19 11:05:00,COW_004,0.0,38.87,1,65.1,20.44,25.03,1,-34.586778,-60.956625,45.8,0.55
sana,sana,2026-03-19 11:10:00,COW_004,0.0006,39.03,1,65.2,48.0,65.36,0,-34.586779,-60.956626,127.5,1.53
sana,sana,2026-03-19 11:15:00,COW_004,0.0012,38.62,1,73.1,34.95,45.06,0,-34.586779,-60.956626,102.5,1.23
sana,sana,2026-03-19 11:20:00,COW_004,0.0017,39.44,1,71.0,34.85,39.8,0,-34.586779,-60.956626,95.8,1.15
sana,sana,2026-03-19 11:25:00,COW_004,0.0023,39.4,1,57.2,33.06,44.59,0,-34.586779,-60.956625,88.3,1.06
sana,sana,2026-03-19 11:30:00,COW_004,0.0029,38.49,1,67.4,36.86,49.31,0,-34.586779,-60.956625,41.7,0.5
sana,sana,2026-03-19 11:35:00,COW_004,0.0035,38.28,1,67.2,26.43,36.96,0,-34.586779,-60.956626,158.3,1.9
sana,sana,2026-03-19 11:40:00,COW_004,0.0041,38.34,0,60.8,22.66,25.23,0,-34.58678,-60.956625,185.8,2.23
sana,sana,2026-03-19 11:45:00,COW_004,0.0046,38.68,1,72.5,45.8,52.26,0,-34.58678,-60.956625,20.0,0.24
sana,sana,2026-03-19 11:50:00,COW_004,0.0052,38.09,1,64.4,48.34,58.39,0,-34.58678,-60.956625,95.8,1.15
sana,sana,2026-03-19 11:55:00,COW_004,0.0058,38.98,1,63.9,33.03,47.12,0,-34.58678,-60.956625,100.0,1.2
sana,sana,2026-03-19 12:00:00,COW_004,0.0064,38.97,1,67.5,33.2,40.7,0,-34.58678,-60.956625,69.2,0.83
sana,sana,2026-03-19 12:05:00,COW_004,0.0069,38.86,1,49.9,39.5,51.34,0,-34.586779,-60.956624,85.8,1.03
sana,sana,2026-03-19 12:10:00,COW_004,0.0075,38.69,0,62.5,36.98,50.08,0,-34.586779,-60.956623,65.8,0.79
sana,sana,2026-03-19 12:15:00,COW_004,0.0081,38.69,1,63.5,43.82,57.34,1,-34.586779,-60.956623,65.8,0.79
sana,sana,2026-03-19 12:20:00,COW_004,0.0087,39.37,1,60.3,31.49,42.3,0,-34.586779,-60.956624,154.2,1.85
sana,sana,2026-03-19 12:25:00,COW_004,0.0093,39.31,0,68.7,33.48,39.94,0,-34.586779,-60.956625,70.0,0.84
sana,sana,2026-03-19 12:30:00,COW_004,0.0098,39.19,1,59.7,48.01,62.94,0,-34.586779,-60.956625,0.0,0.0
sana,sana,2026-03-19 12:35:00,COW_004,0.0104,39.26,0,68.6,33.11,39.71,0,-34.586778,-60.956625,104.2,1.25
sana,sana,2026-03-19 12:40:00,COW_004,0.011,39.5,0,72.5,43.14,49.48,0,-34.586778,-60.956625,75.0,0.9
sana,sana,2026-03-19 12:45:00,COW_004,0.0116,38.62,0,60.6,40.53,53.42,0,-34.586778,-60.956625,30.8,0.37
sana,sana,2026-03-19 12:50:00,COW_004,0.0122,38.56,1,71.9,32.63,42.3,0,-34.586778,-60.956625,4.2,0.05
sana,sana,2026-03-19 12:55:00,COW_004,0.0127,37.75,0,83.3,41.68,51.59,0,-34.586778,-60.956625,54.2,0.65
sana,sana,2026-03-19 13:00:00,COW_004,0.0133,38.68,1,66.6,51.07,59.63,0,-34.586778,-60.956625,30.8,0.37
sana,sana,2026-03-19 13:05:00,COW_004,0.0139,39.34,1,67.3,26.14,36.4,0,-34.586777,-60.956625,100.0,1.2
sana,sana,2026-03-19 13:10:00,COW_004,0.0145,38.93,1,69.6,42.02,48.2,0,-34.586777,-60.956626,76.7,0.92
sana,sana,2026-03-19 13:15:00,COW_004,0.015,38.26,1,72.5,30.95,42.49,0,-34.586777,-60.956626,0.0,0.0
sana,sana,2026-03-19 13:20:00,COW_004,0.0156,38.56,1,73.0,36.88,50.76,0,-34.586777,-60.956626,68.3,0.82
