label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
subclinica,subclinica,2026-03-19 11:05:00,COW_007,0.0,38.7,0,58.8,35.71,46.96,0,-34.649607,-60.916298,93.3,1.12
subclinica,subclinica,2026-03-19 11:10:00,COW_007,0.0006,38.35,1,68.4,28.19,35.78,0,-34.649606,-60.916298,113.3,1.36
subclinica,subclinica,2026-03-19 11:15:00,COW_007,0.0012,38.41,0,59.1,39.39,43.63,0,-34.649606,-60.916298,120.0,1.44
subclinica,subclinica,2026-03-19 11:20:00,COW_007,0.0017,38.81,0,81.7,36.03,50.82,0,-34.649606,-60.916298,30.8,0.37
subclinica,subclinica,2026-03-19 11:25:00,COW_007,0.0023,39.33,0,87.8,26.53,37.04,1,-34.649605,-60.916297,120.0,1.44
subclinica,subclinica,2026-03-19 11:30:00,COW_007,0.0029,38.71,1,70.2,36.7,45.18,0,-34.649605,-60.916297,87.5,1.05
subclinica,subclinica,2026-03-19 11:35:00,COW_007,0.0035,38.56,1,53.9,26.51,36.92,0,-34.649605,-60.916297,113.3,1.36
subclinica,subclinica,2026-03-19 11:40:00,COW_007,0.0041,38.75,1,63.9,26.48,29.4,0,-34.649605,-60.916297,35.0,0.42
subclinica,subclinica,2026-03-19 11:45:00,COW_007,0.0046,38.08,0,65.9,35.3,50.53,0,-34.649605,-60.916297,0.0,0.0
subclinica,subclinica,2026-03-19 11:50:00,COW_007,0.0052,38.62,1,56.5,27.8,37.92,0,-34.649605,-60.916297,55.0,0.66
subclinica,subclinica,2026-03-19 11:55:00,COW_007,0.0058,39.14,0,74.1,27.78,38.25,0,-34.649606,-60.916297,114.2,1.37
subclinica,subclinica,2026-03-19 12:00:00,COW_007,0.0064,39.26,0,66.4,52.3,62.33,0,-34.649606,-60.916297,85.0,1.02
subclinica,subclinica,2026-03-19 12:05:00,COW_007,0.0069,39.2,1,66.2,38.45,43.65,0,-34.649606,-60.916299,133.3,1.6
subclinica,subclinica,2026-03-19 12:10:00,COW_007,0.0075,39.21,0,66.2,40.66,56.14,0,-34.649606,-60.916299,22.5,0.27
subclinica,subclinica,2026-03-19 12:15:00,COW_007,0.0081,39.66,1,57.6,41.53,51.9,0,-34.649606,-60.916299,45.0,0.54
subclinica,subclinica,2026-03-19 12:20:00,COW_007,0.0087,38.6,1,66.7,27.81,34.62,0,-34.649606,-60.916299,40.8,0.49
subclinica,subclinica,2026-03-19 12:25:00,COW_007,0.0093,38.73,0,61.8,40.66,45.77,1,-34.649606,-60.916299,35.0,0.42
subclinica,subclinica,2026-03-19 12:30:00,COW_007,0.0098,38.92,1,62.7,30.31,39.91,0,-34.649606,-60.916299,15.8,0.19
subclinica,subclinica,2026-03-19 12:35:00,COW_007,0.0104,39.82,1,55.6,40.49,50.97,0,-34.649605,-60.916299,86.7,1.04
subclinica,subclinica,2026-03-19 12:40:00,COW_007,0.011,39.47,1,68.7,32.47,43.34,0,-34.649605,-60.916299,73.3,0.88
subclinica,subclinica,2026-03-19 12:45:00,COW_007,0.0116,38.39,0,64.0,39.07,56.13,0,-34.649606,-60.916299,84.2,1.01
subclinica,subclinica,2026-03-19 12:50:00,COW_007,0.0122,38.99,0,66.5,38.35,47.73,0,-34.649606,-60.916299,43.3,0.52
subclinica,subclinica,2026-03-19 12:55:00,COW_007,0.0127,38.57,0,65.6,41.74,54.24,1,-34.649606,-60.916299,8.3,0.1
subclinica,subclinica,2026-03-19 13:00:00,COW_007,0.0133,38.73,0,58.4,30.67,39.74,1,-34.649606,-60.916299,69.2,0.83
subclinica,subclinica,2026-03-19 13:05:00,COW_007,0.0139,39.44,1,61.0,24.76,30.24,0,-34.649606,-60.916298,51.7,0.62
subclinica,subclinica,2026-03-19 13:10:00,COW_007,0.0145,38.09,1,72.1,28.53,33.09,0,-34.649606,-60.916298,0.0,0.0
