label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
subclinica,subclinica,2026-03-19 11:05:00,COW_010,0.0,38.84,1,68.4,38.36,52.76,0,-34.558986,-60.898224,33.3,0.4
subclinica,subclinica,2026-03-19 11:10:00,COW_010,0.0006,38.45,1,57.4,32.95,39.62,0,-34.558986,-60.898224,18.3,0.22
subclinica,subclinica,2026-03-19 11:15:00,COW_010,0.0012,38.67,1,58.2,40.12,52.47,0,-34.558986,-60.898223,120.8,1.45
subclinica,subclinica,2026-03-19 11:20:00,COW_010,0.0017,39.51,1,81.1,41.16,47.32,0,-34.558986,-60.898222,107.5,1.29
subclinica,subclinica,2026-03-19 11:25:00,COW_010,0.0023,39.29,1,69.3,41.24,53.18,1,-34.558986,-60.898222,81.7,0.98
subclinica,subclinica,2026-03-19 11:30:00,COW_010,0.0029,38.24,0,69.0,43.35,50.49,0,-34.558986,-60.898222,134.2,1.61
subclinica,subclinica,2026-03-19 11:35:00,COW_010,0.0035,39.05,1,69.5,48.4,54.28,0,-34.558986,-60.898223,107.5,1.29
subclinica,subclinica,2026-03-19 11:40:00,COW_010,0.0041,40.14,1,61.3,52.14,62.74,0,-34.558986,-60.898223,132.5,1.59
subclinica,subclinica,2026-03-19 11:45:00,COW_010,0.0046,38.93,0,64.6,45.2,57.4,0,-34.558986,-60.898223,97.5,1.17
subclinica,subclinica,2026-03-19 11:50:00,COW_010,0.0052,38.08,1,43.8,29.48,33.01,0,-34.558986,-60.898223,80.0,0.96
subclinica,subclinica,2026-03-19 11:55:00,COW_010,0.0058,38.29,1,63.2,41.92,52.91,0,-34.558986,-60.898223,25.8,0.31
subclinica,subclinica,2026-03-19 12:00:00,COW_010,0.0064,39.28,1,64.4,49.53,70.05,0,-34.558986,-60.898223,0.0,0.0
subclinica,subclinica,2026-03-19 12:05:00,COW_010,0.0069,38.73,1,68.5,38.85,47.28,0,-34.558986,-60.898223,35.8,0.43
subclinica,subclinica,2026-03-19 12:10:00,COW_010,0.0075,39.18,0,64.1,24.57,28.14,0,-34.558986,-60.898223,0.0,0.0
subclinica,subclinica,2026-03-19 12:15:00,COW_010,0.0081,39.57,0,76.8,36.07,48.53,0,-34.558986,-60.898223,77.5,0.93
subclinica,subclinica,2026-03-19 12:20:00,COW_010,0.0087,38.66,1,64.7,42.56,56.43,0,-34.558986,-60.898223,37.5,0.45
subclinica,subclinica,2026-03-19 12:25:00,COW_010,0.0093,38.68,1,71.4,41.56,57.41,0,-34.558986,-60.898224,124.2,1.49
subclinica,subclinica,2026-03-19 12:30:00,COW_010,0.0098,38.37,1,61.4,35.92,44.91,0,-34.558985,-60.898224,65.8,0.79
subclinica,subclinica,2026-03-19 12:35:00,COW_010,0.0104,38.45,0,67.3,24.51,29.64,0,-34.558985,-60.898224,107.5,1.29
subclinica,subclinica,2026-03-19 12:40:00,COW_010,0.011,39.01,1,65.6,35.65,41.31,0,-34.558985,-60.898224,103.3,1.24
subclinica,subclinica,2026-03-19 12:45:00,COW_010,0.0116,38.57,0,70.4,42.65,50.71,0,-34.558984,-60.898225,115.8,1.39
subclinica,subclinica,2026-03-19 12:50:00,COW_010,0.0122,39.46,1,69.0,40.05,52.12,0,-34.558984,-60.898225,5.8,0.07
subclinica,subclinica,2026-03-19 12:55:00,COW_010,0.0127,38.35,0,65.9,51.64,71.39,0,-34.558984,-60.898225,28.3,0.34
subclinica,subclinica,2026-03-19 13:00:00,COW_010,0.0133,38.03,0,59.5,32.65,38.54,0,-34.558984,-60.898225,0.0,0.0
subclinica,subclinica,2026-03-19 13:05:00,COW_010,0.0139,38.95,1,64.8,34.39,43.09,0,-34.558984,-60.898225,44.2,0.53
subclinica,subclinica,2026-03-19 13:10:00,COW_010,0.0145,38.67,0,80.9,30.6,43.61,0,-34.558984,-60.898225,75.8,0.91
subclinica,subclinica,2026-03-19 13:15:00,COW_010,0.015,38.8,1,77.2,30.76,36.03,0,-34.558984,-60.898226,160.0,1.92
subclinica,subclinica,2026-03-19 13:20:00,COW_010,0.0156,38.8,1,64.2,29.2,41.12,0,-34.558984,-60.898226,0.0,0.0
subclinica,subclinica,2026-03-19 13:25:00,COW_010,0.0162,39.0,0,65.3,29.41,42.05,0,-34.558984,-60.898226,49.2,0.59
subclinica,subclinica,2026-03-19 13:30:00,COW_010,0.0168,38.73,1,63.1,31.41,43.15,0,-34.558984,-60.898226,70.0,0.84
subclinica,subclinica,2026-03-19 13:35:00,COW_010,0.0174,,1,59.1,38.39,54.86,0,-34.558984,-60.898226,31.7,0.38
subclinica,subclinica,2026-03-19 13:40:00,COW_010,0.0179,39.29,0,71.7,42.34,52.59,0,-34.558983,-60.898226,129.2,1.55
subclinica,subclinica,2026-03-19 13:45:00,COW_010,0.0185,39.01,0,52.7,39.93,48.75,0,-34.558984,-60.898226,60.0,0.72
subclinica,subclinica,2026-03-19 13:50:00,COW_010,0.0191,38.63,1,73.7,52.7,60.73,0,-34.558984,-60.898226,150.0,1.8
subclinica,subclinica,2026-03-19 13:55:00,COW_010,0.0197,39.48,1,66.4,36.43,49.16,0,-34.558984,-60.898226,0.0,0.0
subclinica,subclinica,2026-03-19 14:00:00,COW_010,0.0203,38.63,0,78.0,34.94,47.22,0,-34.558984,-60.898226,53.3,0.64
subclinica,subclinica,2026-03-19 14:05:00,COW_010,0.0208,38.26,0,79.4,44.03,54.72,0,-34.558985,-60.898226,138.3,1.66
subclinica,subclinica,2026-03-19 14:10:00,COW_010,0.0214,38.07,1,69.7,31.69,39.83,0,-34.558985,-60.898227,94.2,1.13
subclinica,subclinica,2026-03-19 14:15:00,COW_010,0.022,39.12,1,60.0,38.34,44.14,0,-34.558985,-60.898226,125.0,1.5
subclinica,subclinica,2026-03-19 14:20:00,COW_010,0.0226,38.22,0,63.5,19.91,27.36,0,-34.558985,-60.898226,22.5,0.27
subclinica,subclinica,2026-03-19 14:25:00,COW_010,0.0231,38.99,1,66.7,42.55,53.05,0,-34.558984,-60.898225,72.5,0.87
subclinica,subclinica,2026-03-19 14:30:00,COW_010,0.0237,38.59,1,81.7,37.23,50.63,0,-34.558984,-60.898226,11.7,0.14
subclinica,subclinica,2026-03-19 14:35:00,COW_010,0.0243,38.94,1,67.7,22.14,27.19,1,-34.558984,-60.898226,60.8,0.73
subclinica,subclinica,2026-03-19 14:40:00,COW_010,0.0249,39.39,0,70.6,32.36,42.63,1,-34.558984,-60.898225,104.2,1.25
subclinica,subclinica,2026-03-19 14:45:00,COW_010,0.0255,38.8,1,65.9,42.86,54.66,0,-34.558983,-60.898225,218.3,2.62
subclinica,subclinica,2026-03-19 14:50:00,COW_010,0.026,38.91,1,69.3,44.67,63.96,0,-34.558983,-60.898225,107.5,1.29
subclinica,subclinica,2026-03-19 14:55:00,COW_010,0.0266,38.83,0,70.1,48.39,58.43,0,-34.558984,-60.898225,91.7,1.1
subclinica,subclinica,2026-03-19 15:00:00,COW_010,0.0272,39.08,1,71.4,34.98,44.86,0,-34.558984,-60.898225,16.7,0.2
subclinica,subclinica,2026-03-19 15:05:00,COW_010,0.0278,38.39,1,54.3,40.58,46.19,0,-34.558984,-60.898226,132.5,1.59
subclinica,subclinica,2026-03-19 15:10:00,COW_010,0.0284,38.37,1,68.7,32.21,44.7,0,-34.558984,-60.898226,185.8,2.23
subclinica,subclinica,2026-03-19 15:15:00,COW_010,0.0289,39.18,1,78.5,48.4,60.14,0,-34.558984,-60.898226,0.0,0.0
subclinica,subclinica,2026-03-19 15:20:00,COW_010,0.0295,39.06,1,66.9,29.88,39.01,0,-34.558984,-60.898226,123.3,1.48
subclinica,subclinica,2026-03-19 15:25:00,COW_010,0.0301,38.22,0,67.0,35.21,43.9,0,-34.558984,-60.898225,128.3,1.54
subclinica,subclinica,2026-03-19 15:30:00,COW_010,0.0307,38.14,1,65.8,35.74,48.2,0,-34.558984,-60.898225,116.7,1.4
subclinica,subclinica,2026-03-19 15:35:00,COW_010,0.0312,38.5,1,63.0,46.04,59.61,1,-34.558983,-60.898225,50.8,0.61
subclinica,subclinica,2026-03-19 15:40:00,COW_010,0.0318,38.97,1,60.0,40.8,56.07,0,-34.558984,-60.898226,42.5,0.51
subclinica,subclinica,2026-03-19 15:45:00,COW_010,0.0324,38.09,1,63.0,39.55,46.61,0,-34.558983,-60.898225,74.2,0.89
subclinica,subclinica,2026-03-19 15:50:00,COW_010,0.033,38.71,1,59.5,36.53,52.95,0,-34.558984,-60.898225,108.3,1.3
subclinica,subclinica,2026-03-19 15:55:00,COW_010,0.0336,38.56,1,58.6,37.31,50.39,0,-34.558983,-60.898224,140.0,1.68
subclinica,subclinica,2026-03-19 16:00:00,COW_010,0.0341,38.81,1,71.7,46.74,56.88,0,-34.558983,-60.898224,151.7,1.82
subclinica,subclinica,2026-03-19 16:05:00,COW_010,0.0347,,1,56.9,37.71,51.62,0,-34.558982,-60.898224,146.7,1.76
subclinica,subclinica,2026-03-19 16:10:00,COW_010,0.0353,37.68,1,76.1,46.0,57.3,0,-34.558982,-60.898224,99.2,1.19
subclinica,subclinica,2026-03-19 16:15:00,COW_010,0.0359,39.39,1,72.5,39.6,48.78,0,-34.558982,-60.898225,115.0,1.38
subclinica,subclinica,2026-03-19 16:20:00,COW_010,0.0365,39.13,1,52.8,37.26,47.58,0,-34.558982,-60.898225,94.2,1.13
subclinica,subclinica,2026-03-19 16:25:00,COW_010,0.037,38.21,1,73.9,29.99,35.33,0,-34.558982,-60.898224,215.8,2.59
subclinica,subclinica,2026-03-19 16:30:00,COW_010,0.0376,38.73,0,73.2,33.32,37.01,0,-34.558982,-60.898224,71.7,0.86
subclinica,subclinica,2026-03-19 16:35:00,COW_010,0.0382,38.8,0,70.8,46.12,63.22,0,-34.558983,-60.898224,186.7,2.24
subclinica,subclinica,2026-03-19 16:40:00,COW_010,0.0388,38.25,1,63.1,36.4,41.64,1,-34.558982,-60.898223,122.5,1.47
