label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
mastitis,mastitis,2026-03-19 11:05:00,COW_013,0.0,39.05,0,63.7,30.25,33.82,0,-34.563534,-60.94677,0.0,0.0
mastitis,mastitis,2026-03-19 11:10:00,COW_013,0.0006,38.66,1,72.1,43.63,55.58,0,-34.563534,-60.94677,33.3,0.4
mastitis,mastitis,2026-03-19 11:15:00,COW_013,0.0012,38.04,0,58.1,25.03,30.45,0,-34.563534,-60.94677,5.0,0.06
mastitis,mastitis,2026-03-19 11:20:00,COW_013,0.0017,38.58,0,61.5,42.13,60.35,0,-34.563534,-60.94677,0.0,0.0
mastitis,mastitis,2026-03-19 11:25:00,COW_013,0.0023,38.75,0,63.4,38.78,51.56,0,-34.563534,-60.94677,46.7,0.56
mastitis,mastitis,2026-03-19 11:30:00,COW_013,0.0029,39.14,0,65.8,45.79,61.07,0,-34.563534,-60.94677,0.0,0.0
mastitis,mastitis,2026-03-19 11:35:00,COW_013,0.0035,38.73,0,55.1,46.83,56.14,1,-34.563534,-60.94677,41.7,0.5
mastitis,mastitis,2026-03-19 11:40:00,COW_013,0.0041,38.47,0,63.0,36.57,43.63,0,-34.563534,-60.94677,56.7,0.68
mastitis,mastitis,2026-03-19 11:45:00,COW_013,0.0046,38.28,1,51.2,42.1,47.11,0,-34.563533,-60.94677,8.3,0.1
mastitis,mastitis,2026-03-19 11:50:00,COW_013,0.0052,38.76,0,76.3,44.54,56.79,0,-34.563533,-60.94677,0.0,0.0
mastitis,mastitis,2026-03-19 11:55:00,COW_013,0.0058,38.37,0,74.6,28.03,36.26,0,-34.563534,-60.946769,109.2,1.31
mastitis,mastitis,2026-03-19 12:00:00,COW_013,0.0064,38.07,0,65.1,39.51,48.19,0,-34.563534,-60.946769,26.7,0.32
mastitis,mastitis,2026-03-19 12:05:00,COW_013,0.0069,37.97,0,64.5,44.54,55.2,0,-34.563534,-60.946769,24.2,0.29
mastitis,mastitis,2026-03-19 12:10:00,COW_013,0.0075,38.32,0,65.2,36.44,52.63,0,-34.563533,-60.946769,163.3,1.96
mastitis,mastitis,2026-03-19 12:15:00,COW_013,0.0081,38.53,0,63.5,53.04,74.7,0,-34.563533,-60.946769,0.0,0.0
mastitis,mastitis,2026-03-19 12:20:00,COW_013,0.0087,38.67,1,57.9,35.55,50.2,0,-34.563532,-60.946769,22.5,0.27
mastitis,mastitis,2026-03-19 12:25:00,COW_013,0.0093,38.89,1,59.6,33.14,42.25,0,-34.563533,-60.946769,40.8,0.49
mastitis,mastitis,2026-03-19 12:30:00,COW_013,0.0098,38.01,0,68.1,51.94,66.39,1,-34.563533,-60.946769,25.8,0.31
mastitis,mastitis,2026-03-19 12:35:00,COW_013,0.0104,38.86,1,71.3,29.12,37.84,0,-34.563533,-60.946769,0.0,0.0
mastitis,mastitis,2026-03-19 12:40:00,COW_013,0.011,38.69,0,74.9,41.15,56.03,1,-34.563533,-60.946769,74.2,0.89
mastitis,mastitis,2026-03-19 12:45:00,COW_013,0.0116,38.06,0,63.4,49.13,64.42,0,-34.563533,-60.946769,33.3,0.4
mastitis,mastitis,2026-03-19 12:50:00,COW_013,0.0122,37.7,0,47.3,34.97,49.38,0,-34.563533,-60.946769,54.2,0.65
