label,label_animal,timestamp,collar_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
subclinica,subclinica,2026-03-19 09:35:00,COW_013,0.0,38.78,1,76.3,30.07,41.48,0,-34.61148,-60.975352,95.8,1.15
subclinica,subclinica,2026-03-19 09:40:00,COW_013,0.0006,39.08,1,72.8,30.04,37.23,0,-34.61148,-60.975352,18.3,0.22
subclinica,subclinica,2026-03-19 09:45:00,COW_013,0.0012,39.37,1,56.2,39.41,49.16,1,-34.61148,-60.975352,44.2,0.53
subclinica,subclinica,2026-03-19 09:50:00,COW_013,0.0017,38.71,1,61.9,34.74,50.09,0,-34.611481,-60.975352,81.7,0.98
subclinica,subclinica,2026-03-19 09:55:00,COW_013,0.0023,39.12,1,68.1,33.23,37.98,0,-34.611482,-60.975353,118.3,1.42
subclinica,subclinica,2026-03-19 10:00:00,COW_013,0.0029,38.38,1,71.7,34.79,42.03,0,-34.611482,-60.975353,44.2,0.53
subclinica,subclinica,2026-03-19 10:05:00,COW_013,0.0035,38.79,0,57.3,31.88,37.01,0,-34.611481,-60.975353,76.7,0.92
subclinica,subclinica,2026-03-19 10:10:00,COW_013,0.0041,39.16,1,51.6,41.09,51.31,0,-34.611482,-60.975353,27.5,0.33
subclinica,subclinica,2026-03-19 10:15:00,COW_013,0.0046,39.43,1,64.7,30.45,42.88,1,-34.611481,-60.975353,58.3,0.7
subclinica,subclinica,2026-03-19 10:20:00,COW_013,0.0052,39.1,1,57.2,36.66,46.96,0,-34.611481,-60.975353,87.5,1.05
subclinica,subclinica,2026-03-19 10:25:00,COW_013,0.0058,38.84,1,51.7,41.39,58.97,0,-34.611481,-60.975353,37.5,0.45
subclinica,subclinica,2026-03-19 10:30:00,COW_013,0.0064,38.58,1,66.8,40.68,47.39,0,-34.611481,-60.975353,99.2,1.19
subclinica,subclinica,2026-03-19 10:35:00,COW_013,0.0069,38.39,1,76.8,27.97,39.02,0,-34.611481,-60.975352,66.7,0.8
subclinica,subclinica,2026-03-19 10:40:00,COW_013,0.0075,38.49,1,74.1,38.34,43.52,0,-34.611481,-60.975352,53.3,0.64
subclinica,subclinica,2026-03-19 10:45:00,COW_013,0.0081,38.41,0,67.0,28.36,35.18,0,-34.611481,-60.975352,9.2,0.11
subclinica,subclinica,2026-03-19 10:50:00,COW_013,0.0087,38.39,1,72.4,43.21,62.05,0,-34.611481,-60.975352,135.0,1.62
subclinica,subclinica,2026-03-19 10:55:00,COW_013,0.0093,38.43,1,58.0,31.27,36.91,0,-34.611481,-60.975352,123.3,1.48
subclinica,subclinica,2026-03-19 11:00:00,COW_013,0.0098,38.97,1,71.5,38.86,45.98,0,-34.61148,-60.975352,69.2,0.83
subclinica,subclinica,2026-03-19 11:05:00,COW_013,0.0104,38.71,1,73.1,43.34,55.16,0,-34.61148,-60.975352,15.8,0.19
subclinica,subclinica,2026-03-19 11:10:00,COW_013,0.011,38.8,1,57.9,46.79,62.83,0,-34.61148,-60.975352,38.3,0.46
subclinica,subclinica,2026-03-19 11:15:00,COW_013,0.0116,39.14,1,58.9,42.83,56.37,0,-34.61148,-60.975353,100.0,1.2
subclinica,subclinica,2026-03-19 11:20:00,COW_013,0.0122,38.95,1,72.0,30.93,38.23,0,-34.61148,-60.975352,108.3,1.3
subclinica,subclinica,2026-03-19 11:25:00,COW_013,0.0127,38.67,1,66.4,36.89,44.65,0,-34.61148,-60.975352,14.2,0.17
subclinica,subclinica,2026-03-19 11:30:00,COW_013,0.0133,38.66,1,71.9,38.55,42.61,0,-34.61148,-60.975352,12.5,0.15
subclinica,subclinica,2026-03-19 11:35:00,COW_013,0.0139,38.86,1,63.0,44.08,54.58,0,-34.61148,-60.975353,82.5,0.99
subclinica,subclinica,2026-03-19 11:40:00,COW_013,0.0145,38.52,1,62.8,26.78,35.1,0,-34.61148,-60.975353,9.2,0.11
subclinica,subclinica,2026-03-19 11:45:00,COW_013,0.015,38.22,0,69.9,45.14,56.77,0,-34.61148,-60.975352,26.7,0.32
subclinica,subclinica,2026-03-19 11:50:00,COW_013,0.0156,38.64,1,64.1,42.91,59.75,1,-34.61148,-60.975353,90.0,1.08
subclinica,subclinica,2026-03-19 11:55:00,COW_013,0.0162,38.7,1,57.1,44.56,55.88,0,-34.61148,-60.975353,90.0,1.08
subclinica,subclinica,2026-03-19 12:00:00,COW_013,0.0168,38.46,1,68.1,36.78,51.66,0,-34.61148,-60.975353,119.2,1.43
subclinica,subclinica,2026-03-19 12:05:00,COW_013,0.0174,38.21,1,66.3,41.68,52.46,0,-34.611479,-60.975354,45.8,0.55
subclinica,subclinica,2026-03-19 12:10:00,COW_013,0.0179,39.34,1,68.7,42.0,55.27,0,-34.611479,-60.975354,58.3,0.7
subclinica,subclinica,2026-03-19 12:15:00,COW_013,0.0185,39.28,1,59.1,39.34,53.2,0,-34.61148,-60.975355,97.5,1.17
subclinica,subclinica,2026-03-19 12:20:00,COW_013,0.0191,38.86,1,57.7,37.0,50.6,0,-34.61148,-60.975354,59.2,0.71
subclinica,subclinica,2026-03-19 12:25:00,COW_013,0.0197,38.64,1,65.8,37.13,52.75,0,-34.61148,-60.975354,15.8,0.19
subclinica,subclinica,2026-03-19 12:30:00,COW_013,0.0203,38.72,0,69.0,39.22,53.94,0,-34.61148,-60.975354,6.7,0.08
subclinica,subclinica,2026-03-19 12:35:00,COW_013,0.0208,39.07,1,71.8,35.68,46.11,0,-34.61148,-60.975354,43.3,0.52
subclinica,subclinica,2026-03-19 12:40:00,COW_013,0.0214,39.25,1,63.8,35.02,39.53,0,-34.61148,-60.975355,70.0,0.84
subclinica,subclinica,2026-03-19 12:45:00,COW_013,0.022,38.86,0,66.5,42.87,50.48,1,-34.61148,-60.975355,132.5,1.59
subclinica,subclinica,2026-03-19 12:50:00,COW_013,0.0226,38.44,0,53.2,34.66,49.25,0,-34.61148,-60.975355,15.8,0.19
subclinica,subclinica,2026-03-19 12:55:00,COW_013,0.0231,38.53,1,71.3,37.21,51.2,0,-34.611479,-60.975356,122.5,1.47
subclinica,subclinica,2026-03-19 13:00:00,COW_013,0.0237,38.24,1,63.4,37.82,47.36,0,-34.611478,-60.975354,117.5,1.41
subclinica,subclinica,2026-03-19 13:05:00,COW_013,0.0243,38.38,1,61.3,45.25,50.04,0,-34.611478,-60.975354,104.2,1.25
subclinica,subclinica,2026-03-19 13:10:00,COW_013,0.0249,38.85,1,79.8,42.17,58.15,0,-34.611478,-60.975354,61.7,0.74
subclinica,subclinica,2026-03-19 13:15:00,COW_013,0.0255,38.68,0,75.3,34.22,47.7,0,-34.611478,-60.975354,0.0,0.0
subclinica,subclinica,2026-03-19 13:20:00,COW_013,0.026,38.74,1,82.7,36.23,48.92,0,-34.611478,-60.975354,120.0,1.44
subclinica,subclinica,2026-03-19 13:25:00,COW_013,0.0266,38.79,0,60.5,32.83,44.41,0,-34.611478,-60.975354,16.7,0.2
subclinica,subclinica,2026-03-19 13:30:00,COW_013,0.0272,38.82,0,65.6,41.36,57.56,0,-34.611478,-60.975354,44.2,0.53
subclinica,subclinica,2026-03-19 13:35:00,COW_013,0.0278,39.07,1,62.8,42.33,51.79,0,-34.611478,-60.975354,0.0,0.0
subclinica,subclinica,2026-03-19 13:40:00,COW_013,0.0284,39.53,0,59.9,28.03,36.34,0,-34.611478,-60.975354,105.0,1.26
subclinica,subclinica,2026-03-19 13:45:00,COW_013,0.0289,39.42,1,63.4,30.21,37.46,0,-34.611478,-60.975354,0.0,0.0
subclinica,subclinica,2026-03-19 13:50:00,COW_013,0.0295,38.45,1,78.4,29.64,38.08,0,-34.611478,-60.975355,108.3,1.3
subclinica,subclinica,2026-03-19 13:55:00,COW_013,0.0301,38.58,0,70.0,39.18,47.51,0,-34.611478,-60.975355,80.0,0.96
subclinica,subclinica,2026-03-19 14:00:00,COW_013,0.0307,39.41,0,75.6,42.53,58.64,0,-34.611479,-60.975355,161.7,1.94
subclinica,subclinica,2026-03-19 14:05:00,COW_013,0.0312,38.96,1,60.0,33.85,37.78,0,-34.611479,-60.975356,127.5,1.53
subclinica,subclinica,2026-03-19 14:10:00,COW_013,0.0318,37.98,1,77.1,39.8,56.13,0,-34.611479,-60.975356,73.3,0.88
subclinica,subclinica,2026-03-19 14:15:00,COW_013,0.0324,38.38,1,55.3,34.8,45.09,0,-34.611479,-60.975355,82.5,0.99
subclinica,subclinica,2026-03-19 14:20:00,COW_013,0.033,39.4,1,70.2,34.07,41.6,0,-34.611479,-60.975355,99.2,1.19
subclinica,subclinica,2026-03-19 14:25:00,COW_013,0.0336,38.46,0,78.2,37.93,48.88,0,-34.611481,-60.975354,175.8,2.11
subclinica,subclinica,2026-03-19 14:30:00,COW_013,0.0341,39.16,1,68.8,37.52,41.91,0,-34.611481,-60.975354,91.7,1.1
subclinica,subclinica,2026-03-19 14:35:00,COW_013,0.0347,38.66,1,71.0,29.1,36.0,0,-34.611481,-60.975354,25.8,0.31
subclinica,subclinica,2026-03-19 14:40:00,COW_013,0.0353,38.91,0,71.5,40.54,53.47,0,-34.611481,-60.975355,123.3,1.48
subclinica,subclinica,2026-03-19 14:45:00,COW_013,0.0359,38.66,1,76.1,32.65,43.38,0,-34.611481,-60.975355,64.2,0.77
subclinica,subclinica,2026-03-19 14:50:00,COW_013,0.0365,38.91,1,69.7,34.37,47.12,0,-34.611481,-60.975355,104.2,1.25
subclinica,subclinica,2026-03-19 14:55:00,COW_013,0.037,39.04,0,63.7,39.9,54.72,0,-34.611481,-60.975355,85.8,1.03
subclinica,subclinica,2026-03-19 15:00:00,COW_013,0.0376,38.87,1,64.1,31.27,44.94,0,-34.611481,-60.975355,44.2,0.53
subclinica,subclinica,2026-03-19 15:05:00,COW_013,0.0382,38.92,1,78.2,32.87,40.17,0,-34.611481,-60.975356,73.3,0.88
subclinica,subclinica,2026-03-19 15:10:00,COW_013,0.0388,39.07,0,57.6,38.77,49.44,0,-34.611481,-60.975356,147.5,1.77
subclinica,subclinica,2026-03-19 15:15:00,COW_013,0.0394,39.19,1,74.8,39.27,53.09,0,-34.61148,-60.975356,57.5,0.69
subclinica,subclinica,2026-03-19 15:20:00,COW_013,0.0399,38.91,1,75.7,38.34,51.46,0,-34.611481,-60.975356,95.0,1.14
subclinica,subclinica,2026-03-19 15:25:00,COW_013,0.0405,38.92,1,66.3,39.01,52.45,0,-34.61148,-60.975356,39.2,0.47
subclinica,subclinica,2026-03-19 15:30:00,COW_013,0.0411,,1,67.2,30.25,35.57,0,-34.61148,-60.975356,60.0,0.72
subclinica,subclinica,2026-03-19 15:35:00,COW_013,0.0417,39.02,1,63.6,48.7,67.5,1,-34.61148,-60.975356,106.7,1.28
subclinica,subclinica,2026-03-19 15:40:00,COW_013,0.0422,38.84,0,66.2,27.89,38.64,0,-34.611481,-60.975358,170.0,2.04
subclinica,subclinica,2026-03-19 15:45:00,COW_013,0.0428,38.14,1,67.2,32.21,40.25,0,-34.611481,-60.975358,1.7,0.02
subclinica,subclinica,2026-03-19 15:50:00,COW_013,0.0434,38.94,1,58.9,38.99,49.64,0,-34.611481,-60.975357,47.5,0.57
subclinica,subclinica,2026-03-19 15:55:00,COW_013,0.044,38.79,1,75.8,30.57,44.23,0,-34.611481,-60.975357,105.8,1.27
subclinica,subclinica,2026-03-19 16:00:00,COW_013,0.0446,38.87,1,71.9,32.06,41.75,0,-34.61148,-60.975358,130.8,1.57
subclinica,subclinica,2026-03-19 16:05:00,COW_013,0.0451,38.77,1,75.6,38.5,54.36,0,-34.61148,-60.975358,79.2,0.95
subclinica,subclinica,2026-03-19 16:10:00,COW_013,0.0457,39.29,1,68.4,39.81,53.52,0,-34.61148,-60.975358,63.3,0.76
subclinica,subclinica,2026-03-19 16:15:00,COW_013,0.0463,39.87,1,65.1,46.2,63.64,0,-34.61148,-60.975357,53.3,0.64
subclinica,subclinica,2026-03-19 16:20:00,COW_013,0.0469,38.93,1,74.3,33.73,46.92,0,-34.611479,-60.975357,206.7,2.48
subclinica,subclinica,2026-03-19 16:25:00,COW_013,0.0475,38.39,1,69.7,40.2,53.01,0,-34.611479,-60.975357,111.7,1.34
subclinica,subclinica,2026-03-19 16:30:00,COW_013,0.048,39.01,1,66.1,35.17,44.44,0,-34.61148,-60.975358,146.7,1.76
subclinica,subclinica,2026-03-19 16:35:00,COW_013,0.0486,38.57,1,55.6,38.12,52.59,0,-34.61148,-60.975357,92.5,1.11
subclinica,subclinica,2026-03-19 16:40:00,COW_013,0.0492,39.23,1,54.7,36.66,48.46,0,-34.611481,-60.975356,118.3,1.42
subclinica,subclinica,2026-03-19 16:45:00,COW_013,0.0498,39.5,1,70.0,33.72,46.31,0,-34.611481,-60.975356,100.0,1.2
subclinica,subclinica,2026-03-19 16:50:00,COW_013,0.0503,38.53,1,57.7,46.65,56.5,0,-34.611481,-60.975356,156.7,1.88
subclinica,subclinica,2026-03-19 16:55:00,COW_013,0.0509,38.96,0,55.9,39.82,57.73,0,-34.611481,-60.975356,107.5,1.29
subclinica,subclinica,2026-03-19 17:00:00,COW_013,0.0515,38.67,1,68.8,41.01,45.16,0,-34.611481,-60.975356,125.8,1.51
subclinica,subclinica,2026-03-19 17:05:00,COW_013,0.0521,38.61,1,72.7,37.13,52.85,1,-34.611481,-60.975356,105.0,1.26
