label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
mastitis,mastitis,2026-03-19 10:50:00,COW_014,0.0,40.15,0,81.8,24.73,31.85,1,-34.639203,-60.877485,37.5,0.45
mastitis,mastitis,2026-03-19 10:55:00,COW_014,0.0006,40.39,0,82.4,34.45,42.0,1,-34.639203,-60.877485,0.0,0.0
mastitis,mastitis,2026-03-19 11:00:00,COW_014,0.0012,40.02,0,80.0,18.87,24.74,1,-34.639203,-60.877485,80.0,0.96
mastitis,mastitis,2026-03-19 11:05:00,COW_014,0.0017,39.62,0,89.0,16.0,21.56,1,-34.639203,-60.877485,0.0,0.0
mastitis,mastitis,2026-03-19 11:10:00,COW_014,0.0023,40.39,1,89.8,17.04,19.02,1,-34.639203,-60.877485,14.2,0.17
mastitis,mastitis,2026-03-19 11:15:00,COW_014,0.0029,40.35,0,87.2,21.23,26.42,0,-34.639203,-60.877485,25.0,0.3
mastitis,mastitis,2026-03-19 11:20:00,COW_014,0.0035,40.27,0,87.4,25.23,32.37,1,-34.639203,-60.877485,62.5,0.75
mastitis,mastitis,2026-03-19 11:25:00,COW_014,0.0041,40.42,0,87.0,20.68,24.73,0,-34.639203,-60.877485,0.0,0.0
mastitis,mastitis,2026-03-19 11:30:00,COW_014,0.0046,40.48,0,73.0,27.26,37.49,0,-34.639203,-60.877485,13.3,0.16
mastitis,mastitis,2026-03-19 11:35:00,COW_014,0.0052,39.72,0,83.5,24.94,29.35,0,-34.639203,-60.877485,53.3,0.64
mastitis,mastitis,2026-03-19 11:40:00,COW_014,0.0058,40.86,0,81.4,14.91,16.74,0,-34.639203,-60.877485,0.0,0.0
mastitis,mastitis,2026-03-19 11:45:00,COW_014,0.0064,39.42,0,86.1,26.48,37.33,1,-34.639203,-60.877485,0.0,0.0
mastitis,mastitis,2026-03-19 11:50:00,COW_014,0.0069,39.81,0,84.7,14.04,16.28,1,-34.639203,-60.877485,0.0,0.0
mastitis,mastitis,2026-03-19 11:55:00,COW_014,0.0075,40.0,0,81.0,17.2,20.36,1,-34.639203,-60.877485,29.2,0.35
mastitis,mastitis,2026-03-19 12:00:00,COW_014,0.0081,40.36,0,95.3,14.18,17.49,1,-34.639203,-60.877485,25.8,0.31
mastitis,mastitis,2026-03-19 12:05:00,COW_014,0.0087,40.06,0,93.2,23.62,29.87,1,-34.639203,-60.877485,0.0,0.0
mastitis,mastitis,2026-03-19 12:10:00,COW_014,0.0093,39.48,0,84.7,22.62,27.84,0,-34.639203,-60.877485,0.0,0.0
mastitis,mastitis,2026-03-19 12:15:00,COW_014,0.0098,39.8,0,74.7,16.82,21.46,0,-34.639203,-60.877485,117.5,1.41
mastitis,mastitis,2026-03-19 12:20:00,COW_014,0.0104,39.97,0,84.1,23.22,30.83,0,-34.639203,-60.877485,0.0,0.0
mastitis,mastitis,2026-03-19 12:25:00,COW_014,0.011,40.4,0,80.0,19.89,24.28,0,-34.639203,-60.877485,0.0,0.0
mastitis,mastitis,2026-03-19 12:30:00,COW_014,0.0116,40.6,0,84.7,20.16,28.47,0,-34.639203,-60.877485,0.0,0.0
mastitis,mastitis,2026-03-19 12:35:00,COW_014,0.0122,40.25,0,82.6,25.29,35.81,1,-34.639203,-60.877485,0.0,0.0
mastitis,mastitis,2026-03-19 12:40:00,COW_014,0.0127,40.04,0,85.1,19.48,22.73,0,-34.639203,-60.877485,15.0,0.18
mastitis,mastitis,2026-03-19 12:45:00,COW_014,0.0133,39.53,0,79.3,17.92,25.2,1,-34.639202,-60.877484,136.7,1.64
mastitis,mastitis,2026-03-19 12:50:00,COW_014,0.0139,40.09,0,88.0,29.32,42.38,1,-34.639203,-60.877484,77.5,0.93
mastitis,mastitis,2026-03-19 12:55:00,COW_014,0.0145,40.53,0,85.9,17.34,20.71,1,-34.639203,-60.877484,39.2,0.47
mastitis,mastitis,2026-03-19 13:00:00,COW_014,0.015,39.83,0,80.0,20.69,27.24,0,-34.639203,-60.877484,10.0,0.12
mastitis,mastitis,2026-03-19 13:05:00,COW_014,0.0156,39.93,0,76.0,21.74,26.09,0,-34.639203,-60.877484,0.0,0.0
mastitis,mastitis,2026-03-19 13:10:00,COW_014,0.0162,39.69,0,76.1,21.81,29.22,0,-34.639203,-60.877485,47.5,0.57
mastitis,mastitis,2026-03-19 13:15:00,COW_014,0.0168,40.02,0,74.0,18.66,22.93,0,-34.639203,-60.877484,25.0,0.3
mastitis,mastitis,2026-03-19 13:20:00,COW_014,0.0174,40.6,0,69.0,20.82,24.16,1,-34.639203,-60.877484,0.0,0.0
mastitis,mastitis,2026-03-19 13:25:00,COW_014,0.0179,40.27,0,82.3,31.86,35.23,1,-34.639203,-60.877484,0.0,0.0
mastitis,mastitis,2026-03-19 13:30:00,COW_014,0.0185,40.03,0,96.9,23.52,32.89,1,-34.639203,-60.877484,10.0,0.12
mastitis,mastitis,2026-03-19 13:35:00,COW_014,0.0191,40.07,0,79.5,26.98,31.31,0,-34.639203,-60.877484,0.0,0.0
mastitis,mastitis,2026-03-19 13:40:00,COW_014,0.0197,40.1,0,91.3,24.75,28.18,0,-34.639203,-60.877484,4.2,0.05
mastitis,mastitis,2026-03-19 13:45:00,COW_014,0.0203,40.06,0,82.3,21.02,23.45,1,-34.639203,-60.877484,0.0,0.0
mastitis,mastitis,2026-03-19 13:50:00,COW_014,0.0208,38.85,0,84.2,30.83,34.62,0,-34.639203,-60.877484,0.0,0.0
mastitis,mastitis,2026-03-19 13:55:00,COW_014,0.0214,39.81,0,77.1,24.34,33.21,1,-34.639203,-60.877484,21.7,0.26
mastitis,mastitis,2026-03-19 14:00:00,COW_014,0.022,40.08,0,80.0,23.04,29.04,1,-34.639203,-60.877483,89.2,1.07
mastitis,mastitis,2026-03-19 14:05:00,COW_014,0.0226,39.79,0,87.4,20.56,24.2,0,-34.639203,-60.877483,60.0,0.72
mastitis,mastitis,2026-03-19 14:10:00,COW_014,0.0231,39.85,0,87.3,26.61,32.45,1,-34.639203,-60.877483,1.7,0.02
mastitis,mastitis,2026-03-19 14:15:00,COW_014,0.0237,40.21,0,79.1,22.83,25.23,1,-34.639203,-60.877483,0.0,0.0
mastitis,mastitis,2026-03-19 14:20:00,COW_014,0.0243,40.46,1,79.3,26.96,35.94,1,-34.639203,-60.877483,0.0,0.0
mastitis,mastitis,2026-03-19 14:25:00,COW_014,0.0249,39.88,0,89.5,20.31,24.52,1,-34.639203,-60.877483,85.8,1.03
mastitis,mastitis,2026-03-19 14:30:00,COW_014,0.0255,40.31,0,73.1,25.07,33.05,0,-34.639203,-60.877483,38.3,0.46
mastitis,mastitis,2026-03-19 14:35:00,COW_014,0.026,40.24,0,78.1,30.24,39.47,0,-34.639203,-60.877483,0.0,0.0
mastitis,mastitis,2026-03-19 14:40:00,COW_014,0.0266,39.6,0,87.8,27.05,30.19,0,-34.639203,-60.877483,0.0,0.0
mastitis,mastitis,2026-03-19 14:45:00,COW_014,0.0272,40.25,0,88.2,29.81,42.08,0,-34.639203,-60.877483,150.8,1.81
mastitis,mastitis,2026-03-19 14:50:00,COW_014,0.0278,40.09,0,85.9,27.19,31.18,0,-34.639203,-60.877483,0.0,0.0
mastitis,mastitis,2026-03-19 14:55:00,COW_014,0.0284,40.52,0,87.5,19.02,25.71,0,-34.639204,-60.877484,37.5,0.45
mastitis,mastitis,2026-03-19 15:00:00,COW_014,0.0289,40.01,0,84.0,17.64,23.22,1,-34.639204,-60.877485,118.3,1.42
mastitis,mastitis,2026-03-19 15:05:00,COW_014,0.0295,39.62,0,84.3,19.62,25.39,1,-34.639204,-60.877485,0.0,0.0
mastitis,mastitis,2026-03-19 15:10:00,COW_014,0.0301,39.77,0,91.5,20.65,29.93,0,-34.639204,-60.877485,7.5,0.09
mastitis,mastitis,2026-03-19 15:15:00,COW_014,0.0307,40.34,0,86.7,17.96,21.42,1,-34.639204,-60.877485,0.0,0.0
mastitis,mastitis,2026-03-19 15:20:00,COW_014,0.0312,40.52,0,75.4,23.8,26.61,0,-34.639204,-60.877485,60.8,0.73
mastitis,mastitis,2026-03-19 15:25:00,COW_014,0.0318,39.97,0,82.9,16.44,20.54,0,-34.639204,-60.877485,58.3,0.7
mastitis,mastitis,2026-03-19 15:30:00,COW_014,0.0324,40.25,0,81.5,21.75,24.92,0,-34.639204,-60.877485,82.5,0.99
mastitis,mastitis,2026-03-19 15:35:00,COW_014,0.033,39.88,0,81.8,29.78,41.47,0,-34.639204,-60.877485,0.0,0.0
mastitis,mastitis,2026-03-19 15:40:00,COW_014,0.0336,39.98,0,80.5,31.5,40.89,0,-34.639204,-60.877485,45.0,0.54
