label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
clinica,clinica,2026-03-19 09:50:00,COW_016,0.0,38.38,0,61.5,36.82,44.5,0,-34.626467,-60.948634,0.0,0.0
clinica,clinica,2026-03-19 09:55:00,COW_016,0.0006,38.22,1,53.7,40.15,56.25,0,-34.626467,-60.948633,95.0,1.14
clinica,clinica,2026-03-19 10:00:00,COW_016,0.0012,37.98,0,66.1,41.78,47.21,0,-34.626467,-60.948633,62.5,0.75
clinica,clinica,2026-03-19 10:05:00,COW_016,0.0017,38.41,1,61.1,48.21,63.74,0,-34.626466,-60.948634,86.7,1.04
clinica,clinica,2026-03-19 10:10:00,COW_016,0.0023,38.63,1,74.2,47.0,55.28,0,-34.626465,-60.948635,161.7,1.94
clinica,clinica,2026-03-19 10:15:00,COW_016,0.0029,39.18,1,63.1,37.04,46.26,1,-34.626465,-60.948634,26.7,0.32
clinica,clinica,2026-03-19 10:20:00,COW_016,0.0035,38.74,1,68.0,29.85,41.31,1,-34.626464,-60.948634,67.5,0.81
clinica,clinica,2026-03-19 10:25:00,COW_016,0.0041,38.85,1,59.3,46.48,53.07,0,-34.626464,-60.948634,30.8,0.37
clinica,clinica,2026-03-19 10:30:00,COW_016,0.0046,38.48,1,60.5,38.62,49.5,0,-34.626464,-60.948634,52.5,0.63
clinica,clinica,2026-03-19 10:35:00,COW_016,0.0052,37.89,1,64.2,45.32,58.66,0,-34.626464,-60.948634,0.0,0.0
clinica,clinica,2026-03-19 10:40:00,COW_016,0.0058,38.27,0,66.6,37.98,44.12,0,-34.626464,-60.948634,35.8,0.43
clinica,clinica,2026-03-19 10:45:00,COW_016,0.0064,38.32,1,51.2,42.96,49.91,0,-34.626464,-60.948634,38.3,0.46
clinica,clinica,2026-03-19 10:50:00,COW_016,0.0069,38.86,1,69.3,44.09,56.28,0,-34.626464,-60.948634,45.8,0.55
