label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
celo,celo,2026-03-19 11:05:00,COW_017,0.0,38.54,1,71.0,42.89,61.93,0,-34.631553,-60.926731,315.8,3.79
celo,celo,2026-03-19 11:10:00,COW_017,0.0006,38.61,0,76.9,39.94,46.88,0,-34.631554,-60.92673,157.5,1.89
celo,celo,2026-03-19 11:15:00,COW_017,0.0012,38.85,1,67.6,39.8,47.3,0,-34.631554,-60.926729,88.3,1.06
celo,celo,2026-03-19 11:20:00,COW_017,0.0017,38.32,0,73.9,39.93,44.44,0,-34.631555,-60.926729,284.2,3.41
celo,celo,2026-03-19 11:25:00,COW_017,0.0023,38.42,1,60.4,43.07,60.79,0,-34.631555,-60.926728,81.7,0.98
celo,celo,2026-03-19 11:30:00,COW_017,0.0029,38.18,0,53.2,28.6,37.53,0,-34.631555,-60.926727,233.3,2.8
celo,celo,2026-03-19 11:35:00,COW_017,0.0035,38.44,1,56.0,51.48,72.01,0,-34.631554,-60.926729,278.3,3.34
celo,celo,2026-03-19 11:40:00,COW_017,0.0041,39.14,1,72.0,43.38,60.66,0,-34.631555,-60.926729,100.0,1.2
celo,celo,2026-03-19 11:45:00,COW_017,0.0046,38.25,1,60.2,45.81,62.39,0,-34.631555,-60.92673,137.5,1.65
celo,celo,2026-03-19 11:50:00,COW_017,0.0052,38.46,1,63.7,41.94,57.86,0,-34.631554,-60.926727,272.5,3.27
celo,celo,2026-03-19 11:55:00,COW_017,0.0058,38.51,1,73.2,34.31,40.09,0,-34.631554,-60.926728,245.0,2.94
celo,celo,2026-03-19 12:00:00,COW_017,0.0064,38.59,0,72.2,37.11,48.89,0,-34.631554,-60.926728,102.5,1.23
celo,celo,2026-03-19 12:05:00,COW_017,0.0069,38.98,1,64.8,38.22,52.75,0,-34.631556,-60.926725,250.8,3.01
celo,celo,2026-03-19 12:10:00,COW_017,0.0075,39.11,1,62.6,46.55,54.06,0,-34.631556,-60.926725,155.0,1.86
celo,celo,2026-03-19 12:15:00,COW_017,0.0081,37.77,1,63.9,31.97,46.09,1,-34.631556,-60.926725,0.0,0.0
celo,celo,2026-03-19 12:20:00,COW_017,0.0087,38.92,1,63.8,37.5,50.43,0,-34.631555,-60.926724,96.7,1.16
celo,celo,2026-03-19 12:25:00,COW_017,0.0093,38.11,1,76.8,33.18,41.92,1,-34.631554,-60.926725,159.2,1.91
celo,celo,2026-03-19 12:30:00,COW_017,0.0098,38.52,1,67.5,51.26,70.54,0,-34.631554,-60.926726,58.3,0.7
celo,celo,2026-03-19 12:35:00,COW_017,0.0104,38.79,0,68.3,45.79,61.1,0,-34.631555,-60.926727,216.7,2.6
celo,celo,2026-03-19 12:40:00,COW_017,0.011,38.23,1,68.1,47.5,57.21,0,-34.631555,-60.926727,184.2,2.21
celo,celo,2026-03-19 12:45:00,COW_017,0.0116,38.61,1,62.7,42.2,51.36,0,-34.631555,-60.926727,123.3,1.48
celo,celo,2026-03-19 12:50:00,COW_017,0.0122,38.51,0,61.4,44.91,61.67,0,-34.631555,-60.926728,110.8,1.33
celo,celo,2026-03-19 12:55:00,COW_017,0.0127,38.58,0,73.2,38.85,44.86,1,-34.631555,-60.926728,124.2,1.49
celo,celo,2026-03-19 13:00:00,COW_017,0.0133,37.98,1,79.3,42.5,49.67,0,-34.631556,-60.926728,179.2,2.15
celo,celo,2026-03-19 13:05:00,COW_017,0.0139,38.53,0,67.5,28.0,35.29,0,-34.631555,-60.926726,146.7,1.76
celo,celo,2026-03-19 13:10:00,COW_017,0.0145,38.67,1,71.0,34.05,44.67,0,-34.631555,-60.926726,81.7,0.98
celo,celo,2026-03-19 13:15:00,COW_017,0.015,37.88,0,71.8,40.06,50.6,0,-34.631554,-60.926727,229.2,2.75
celo,celo,2026-03-19 13:20:00,COW_017,0.0156,38.97,1,62.8,45.13,58.98,0,-34.631554,-60.926728,119.2,1.43
celo,celo,2026-03-19 13:25:00,COW_017,0.0162,38.4,1,55.0,44.65,58.16,0,-34.631554,-60.926729,110.8,1.33
celo,celo,2026-03-19 13:30:00,COW_017,0.0168,38.11,1,72.3,43.64,60.97,0,-34.631554,-60.926728,168.3,2.02
celo,celo,2026-03-19 13:35:00,COW_017,0.0174,38.63,1,74.3,44.78,59.24,0,-34.631555,-60.926728,69.2,0.83
celo,celo,2026-03-19 13:40:00,COW_017,0.0179,39.28,1,79.9,45.85,60.68,0,-34.631554,-60.926729,227.5,2.73
celo,celo,2026-03-19 13:45:00,COW_017,0.0185,38.52,1,55.6,46.75,60.59,0,-34.631552,-60.926729,220.0,2.64
celo,celo,2026-03-19 13:50:00,COW_017,0.0191,39.26,1,73.9,46.89,63.37,0,-34.631551,-60.926728,220.8,2.65
celo,celo,2026-03-19 13:55:00,COW_017,0.0197,38.17,1,68.7,40.99,51.13,0,-34.631551,-60.926727,195.0,2.34
celo,celo,2026-03-19 14:00:00,COW_017,0.0203,38.56,1,74.6,48.67,61.59,1,-34.631551,-60.926728,148.3,1.78
celo,celo,2026-03-19 14:05:00,COW_017,0.0208,39.36,0,80.0,37.43,47.95,0,-34.63155,-60.926727,191.7,2.3
celo,celo,2026-03-19 14:10:00,COW_017,0.0214,38.91,0,71.6,36.22,44.18,0,-34.63155,-60.926727,127.5,1.53
celo,celo,2026-03-19 14:15:00,COW_017,0.022,38.11,0,66.4,34.88,39.14,0,-34.631552,-60.926726,220.8,2.65
