label,label_animal,timestamp,collar_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
clinica,clinica,2026-03-19 09:35:00,COW_018,0.0,39.91,0,93.4,30.71,41.67,0,-34.63094,-60.923605,0.0,0.0
clinica,clinica,2026-03-19 09:40:00,COW_018,0.0006,39.87,0,83.4,18.86,25.13,1,-34.63094,-60.923605,0.0,0.0
clinica,clinica,2026-03-19 09:45:00,COW_018,0.0012,40.0,1,86.1,17.37,20.82,0,-34.63094,-60.923605,0.0,0.0
clinica,clinica,2026-03-19 09:50:00,COW_018,0.0017,39.65,0,81.8,18.9,24.78,0,-34.63094,-60.923605,0.0,0.0
clinica,clinica,2026-03-19 09:55:00,COW_018,0.0023,39.94,1,92.3,19.05,21.22,0,-34.63094,-60.923605,2.5,0.03
clinica,clinica,2026-03-19 10:00:00,COW_018,0.0029,39.7,0,87.0,22.47,26.97,0,-34.630939,-60.923605,90.8,1.09
clinica,clinica,2026-03-19 10:05:00,COW_018,0.0035,39.53,0,86.4,20.31,29.02,0,-34.630939,-60.923606,28.3,0.34
clinica,clinica,2026-03-19 10:10:00,COW_018,0.0041,39.67,1,83.7,27.15,38.92,1,-34.630939,-60.923606,0.0,0.0
clinica,clinica,2026-03-19 10:15:00,COW_018,0.0046,39.65,0,75.1,26.42,37.08,1,-34.630939,-60.923606,0.0,0.0
clinica,clinica,2026-03-19 10:20:00,COW_018,0.0052,40.28,1,85.0,23.22,29.47,0,-34.630939,-60.923606,0.0,0.0
clinica,clinica,2026-03-19 10:25:00,COW_018,0.0058,40.04,1,85.7,18.58,24.21,0,-34.630939,-60.923606,0.0,0.0
clinica,clinica,2026-03-19 10:30:00,COW_018,0.0064,40.13,0,81.4,26.03,35.8,1,-34.630939,-60.923606,0.0,0.0
clinica,clinica,2026-03-19 10:35:00,COW_018,0.0069,40.71,0,86.7,16.95,19.98,0,-34.630939,-60.923606,15.8,0.19
clinica,clinica,2026-03-19 10:40:00,COW_018,0.0075,40.57,0,92.5,28.57,39.51,0,-34.630939,-60.923606,46.7,0.56
clinica,clinica,2026-03-19 10:45:00,COW_018,0.0081,40.64,0,77.6,20.42,29.4,1,-34.630939,-60.923606,0.0,0.0
clinica,clinica,2026-03-19 10:50:00,COW_018,0.0087,39.34,1,78.4,29.9,40.19,0,-34.630939,-60.923606,0.0,0.0
