label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
clinica,clinica,2026-03-19 09:50:00,COW_019,0.0,39.34,1,93.2,24.73,28.27,0,-34.567774,-60.894889,55.0,0.66
clinica,clinica,2026-03-19 09:55:00,COW_019,0.0006,39.7,0,83.7,20.74,29.63,0,-34.567774,-60.894889,0.0,0.0
clinica,clinica,2026-03-19 10:00:00,COW_019,0.0012,39.79,0,81.9,25.03,29.21,0,-34.567773,-60.894889,40.8,0.49
clinica,clinica,2026-03-19 10:05:00,COW_019,0.0017,39.81,1,67.8,28.17,38.85,0,-34.567773,-60.894889,0.0,0.0
clinica,clinica,2026-03-19 10:10:00,COW_019,0.0023,39.82,1,90.7,17.4,21.46,0,-34.567773,-60.894889,45.8,0.55
clinica,clinica,2026-03-19 10:15:00,COW_019,0.0029,40.15,1,87.4,17.0,20.08,0,-34.567774,-60.89489,77.5,0.93
clinica,clinica,2026-03-19 10:20:00,COW_019,0.0035,40.01,0,75.6,29.5,35.24,0,-34.567774,-60.89489,11.7,0.14
clinica,clinica,2026-03-19 10:25:00,COW_019,0.0041,40.45,1,78.8,25.15,34.34,0,-34.567773,-60.894889,50.0,0.6
clinica,clinica,2026-03-19 10:30:00,COW_019,0.0046,39.47,1,75.9,25.02,27.75,0,-34.567773,-60.894889,6.7,0.08
clinica,clinica,2026-03-19 10:35:00,COW_019,0.0052,40.33,1,79.0,24.22,28.67,0,-34.567773,-60.89489,66.7,0.8
clinica,clinica,2026-03-19 10:40:00,COW_019,0.0058,40.05,0,86.6,20.3,26.93,0,-34.567773,-60.894889,97.5,1.17
clinica,clinica,2026-03-19 10:45:00,COW_019,0.0064,40.04,1,80.9,27.91,35.2,0,-34.567773,-60.89489,48.3,0.58
clinica,clinica,2026-03-19 10:50:00,COW_019,0.0069,39.6,1,89.1,20.88,24.62,1,-34.567773,-60.89489,0.0,0.0
clinica,clinica,2026-03-19 10:55:00,COW_019,0.0075,39.81,1,88.0,25.71,32.79,1,-34.567773,-60.89489,0.8,0.01
clinica,clinica,2026-03-19 11:00:00,COW_019,0.0081,40.32,1,78.9,20.03,25.56,0,-34.567773,-60.89489,0.0,0.0
clinica,clinica,2026-03-19 11:05:00,COW_019,0.0087,40.55,0,91.8,22.57,30.33,0,-34.567773,-60.89489,0.0,0.0
clinica,clinica,2026-03-19 11:10:00,COW_019,0.0093,40.64,0,89.9,22.52,29.41,0,-34.567773,-60.894889,23.3,0.28
clinica,clinica,2026-03-19 11:15:00,COW_019,0.0098,39.98,1,81.3,24.58,33.42,0,-34.567773,-60.894889,21.7,0.26
clinica,clinica,2026-03-19 11:20:00,COW_019,0.0104,39.89,0,80.3,16.93,23.77,0,-34.567774,-60.89489,39.2,0.47
clinica,clinica,2026-03-19 11:25:00,COW_019,0.011,39.85,0,81.0,20.33,22.99,0,-34.567774,-60.89489,0.0,0.0
clinica,clinica,2026-03-19 11:30:00,COW_019,0.0116,40.22,0,77.0,23.21,32.33,0,-34.567773,-60.89489,73.3,0.88
clinica,clinica,2026-03-19 11:35:00,COW_019,0.0122,40.18,0,82.1,12.69,15.57,0,-34.567773,-60.89489,34.2,0.41
clinica,clinica,2026-03-19 11:40:00,COW_019,0.0127,40.03,1,87.6,22.33,29.02,0,-34.567773,-60.89489,0.0,0.0
clinica,clinica,2026-03-19 11:45:00,COW_019,0.0133,40.24,1,93.5,14.5,19.59,0,-34.567773,-60.89489,0.0,0.0
clinica,clinica,2026-03-19 11:50:00,COW_019,0.0139,39.77,0,80.5,23.6,32.3,0,-34.567773,-60.89489,95.8,1.15
clinica,clinica,2026-03-19 11:55:00,COW_019,0.0145,40.05,1,67.5,18.18,26.36,0,-34.567773,-60.89489,52.5,0.63
clinica,clinica,2026-03-19 12:00:00,COW_019,0.015,40.01,0,85.2,24.91,30.99,0,-34.567773,-60.89489,0.0,0.0
clinica,clinica,2026-03-19 12:05:00,COW_019,0.0156,39.85,0,84.0,17.48,24.85,0,-34.567773,-60.89489,0.0,0.0
clinica,clinica,2026-03-19 12:10:00,COW_019,0.0162,39.71,0,80.2,24.02,33.09,0,-34.567773,-60.89489,80.8,0.97
clinica,clinica,2026-03-19 12:15:00,COW_019,0.0168,40.37,0,85.3,23.17,28.52,0,-34.567773,-60.89489,0.0,0.0
clinica,clinica,2026-03-19 12:20:00,COW_019,0.0174,39.24,0,82.7,18.94,23.68,0,-34.567773,-60.89489,71.7,0.86
clinica,clinica,2026-03-19 12:25:00,COW_019,0.0179,39.69,0,76.9,20.5,22.77,1,-34.567773,-60.89489,69.2,0.83
clinica,clinica,2026-03-19 12:30:00,COW_019,0.0185,39.45,0,79.6,32.16,42.38,0,-34.567773,-60.89489,73.3,0.88
clinica,clinica,2026-03-19 12:35:00,COW_019,0.0191,39.54,1,90.0,26.07,36.84,0,-34.567773,-60.89489,0.0,0.0
clinica,clinica,2026-03-19 12:40:00,COW_019,0.0197,40.2,0,71.5,9.75,12.7,1,-34.567774,-60.89489,38.3,0.46
clinica,clinica,2026-03-19 12:45:00,COW_019,0.0203,40.06,1,88.8,23.34,33.03,1,-34.567774,-60.89489,43.3,0.52
clinica,clinica,2026-03-19 12:50:00,COW_019,0.0208,39.89,1,83.2,24.11,34.14,1,-34.567774,-60.89489,34.2,0.41
clinica,clinica,2026-03-19 12:55:00,COW_019,0.0214,40.08,0,92.9,18.94,21.61,0,-34.567774,-60.89489,13.3,0.16
clinica,clinica,2026-03-19 13:00:00,COW_019,0.022,40.05,0,73.9,26.06,29.79,0,-34.567774,-60.89489,36.7,0.44
clinica,clinica,2026-03-19 13:05:00,COW_019,0.0226,39.85,1,91.7,25.54,32.13,1,-34.567774,-60.89489,8.3,0.1
clinica,clinica,2026-03-19 13:10:00,COW_019,0.0231,40.4,1,79.0,21.71,30.52,1,-34.567774,-60.89489,71.7,0.86
clinica,clinica,2026-03-19 13:15:00,COW_019,0.0237,40.36,0,91.1,13.97,18.75,0,-34.567774,-60.89489,40.8,0.49
clinica,clinica,2026-03-19 13:20:00,COW_019,0.0243,40.22,1,81.8,29.17,37.63,0,-34.567774,-60.89489,0.0,0.0
clinica,clinica,2026-03-19 13:25:00,COW_019,0.0249,39.33,1,87.4,29.94,33.84,1,-34.567774,-60.89489,18.3,0.22
clinica,clinica,2026-03-19 13:30:00,COW_019,0.0255,40.44,0,87.6,23.77,30.75,1,-34.567774,-60.89489,94.2,1.13
