label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
celo,celo,2026-03-19 10:50:00,COW_020,0.0,38.65,1,65.5,37.14,45.82,0,-34.638819,-60.949664,247.5,2.97
celo,celo,2026-03-19 10:55:00,COW_020,0.0006,38.59,1,84.0,39.07,48.79,0,-34.638818,-60.949664,446.7,5.36
celo,celo,2026-03-19 11:00:00,COW_020,0.0012,38.69,0,75.7,28.18,40.82,1,-34.638817,-60.949666,293.3,3.52
celo,celo,2026-03-19 11:05:00,COW_020,0.0017,38.52,1,65.4,37.89,50.59,0,-34.638818,-60.949665,310.8,3.73
celo,celo,2026-03-19 11:10:00,COW_020,0.0023,38.75,1,64.9,34.22,42.88,1,-34.638817,-60.949661,310.0,3.72
celo,celo,2026-03-19 11:15:00,COW_020,0.0029,38.48,1,72.0,40.73,53.98,0,-34.638817,-60.949663,220.8,2.65
celo,celo,2026-03-19 11:20:00,COW_020,0.0035,39.11,0,72.4,37.23,43.54,1,-34.638818,-60.949664,327.5,3.93
celo,celo,2026-03-19 11:25:00,COW_020,0.0041,37.99,1,67.4,28.23,35.83,1,-34.638818,-60.949664,343.3,4.12
celo,celo,2026-03-19 11:30:00,COW_020,0.0046,38.86,1,72.9,51.45,59.44,0,-34.638818,-60.949663,257.5,3.09
celo,celo,2026-03-19 11:35:00,COW_020,0.0052,38.85,1,72.0,36.92,50.37,0,-34.638818,-60.949664,326.7,3.92
celo,celo,2026-03-19 11:40:00,COW_020,0.0058,38.95,1,68.3,41.07,48.24,1,-34.638816,-60.949665,356.7,4.28
celo,celo,2026-03-19 11:45:00,COW_020,0.0064,38.66,0,62.4,44.07,58.04,1,-34.638818,-60.949667,294.2,3.53
celo,celo,2026-03-19 11:50:00,COW_020,0.0069,38.96,1,68.2,39.67,53.78,0,-34.638817,-60.949665,316.7,3.8
celo,celo,2026-03-19 11:55:00,COW_020,0.0075,38.51,0,78.4,36.71,43.21,0,-34.638817,-60.949664,273.3,3.28
celo,celo,2026-03-19 12:00:00,COW_020,0.0081,37.92,1,83.7,35.44,39.37,0,-34.638815,-60.949666,342.5,4.11
celo,celo,2026-03-19 12:05:00,COW_020,0.0087,38.89,1,74.6,38.66,49.15,0,-34.638816,-60.949664,398.3,4.78
celo,celo,2026-03-19 12:10:00,COW_020,0.0093,38.98,1,81.2,47.94,61.86,0,-34.638816,-60.949663,262.5,3.15
celo,celo,2026-03-19 12:15:00,COW_020,0.0098,38.7,1,64.6,36.18,48.78,0,-34.638816,-60.949663,231.7,2.78
celo,celo,2026-03-19 12:20:00,COW_020,0.0104,38.99,1,76.6,47.03,62.46,0,-34.638819,-60.949665,341.7,4.1
celo,celo,2026-03-19 12:25:00,COW_020,0.011,39.13,1,70.3,42.05,46.87,0,-34.638817,-60.949664,345.8,4.15
celo,celo,2026-03-19 12:30:00,COW_020,0.0116,38.52,1,78.5,37.23,43.64,0,-34.638817,-60.949664,119.2,1.43
celo,celo,2026-03-19 12:35:00,COW_020,0.0122,38.92,1,65.0,32.66,42.79,0,-34.638818,-60.949666,182.5,2.19
celo,celo,2026-03-19 12:40:00,COW_020,0.0127,38.84,1,85.3,36.44,49.32,0,-34.638818,-60.949667,354.2,4.25
celo,celo,2026-03-19 12:45:00,COW_020,0.0133,38.71,1,82.6,34.5,48.28,0,-34.638816,-60.949666,311.7,3.74
celo,celo,2026-03-19 12:50:00,COW_020,0.0139,39.38,1,71.0,34.29,45.99,0,-34.638815,-60.949667,321.7,3.86
celo,celo,2026-03-19 12:55:00,COW_020,0.0145,38.92,1,76.1,38.25,43.69,0,-34.638815,-60.949667,332.5,3.99
celo,celo,2026-03-19 13:00:00,COW_020,0.015,38.59,0,78.4,42.03,47.94,1,-34.638813,-60.949666,288.3,3.46
celo,celo,2026-03-19 13:05:00,COW_020,0.0156,39.0,1,64.3,41.2,52.28,0,-34.63881,-60.949666,377.5,4.53
celo,celo,2026-03-19 13:10:00,COW_020,0.0162,38.9,0,65.1,38.77,53.78,0,-34.63881,-60.949666,292.5,3.51
celo,celo,2026-03-19 13:15:00,COW_020,0.0168,38.76,1,71.1,37.5,53.79,1,-34.638809,-60.949666,134.2,1.61
celo,celo,2026-03-19 13:20:00,COW_020,0.0174,38.6,1,56.9,46.93,60.54,1,-34.638808,-60.949665,223.3,2.68
celo,celo,2026-03-19 13:25:00,COW_020,0.0179,38.72,1,70.0,43.9,50.44,0,-34.638808,-60.94966,340.8,4.09
celo,celo,2026-03-19 13:30:00,COW_020,0.0185,38.61,0,73.3,38.42,50.91,0,-34.638809,-60.949661,249.2,2.99
celo,celo,2026-03-19 13:35:00,COW_020,0.0191,38.81,0,72.9,34.35,48.94,0,-34.638809,-60.949661,129.2,1.55
celo,celo,2026-03-19 13:40:00,COW_020,0.0197,38.62,1,78.8,33.23,44.53,1,-34.638809,-60.949661,375.0,4.5
celo,celo,2026-03-19 13:45:00,COW_020,0.0203,38.06,1,66.3,36.61,45.23,0,-34.63881,-60.949662,334.2,4.01
celo,celo,2026-03-19 13:50:00,COW_020,0.0208,37.99,1,75.7,35.28,46.68,0,-34.638808,-60.949664,297.5,3.57
celo,celo,2026-03-19 13:55:00,COW_020,0.0214,38.21,0,80.7,48.17,53.45,0,-34.63881,-60.949665,269.2,3.23
celo,celo,2026-03-19 14:00:00,COW_020,0.022,38.67,1,70.4,44.1,57.77,1,-34.638811,-60.949663,335.0,4.02
celo,celo,2026-03-19 14:05:00,COW_020,0.0226,38.21,1,72.2,41.1,48.36,0,-34.638808,-60.949663,347.5,4.17
celo,celo,2026-03-19 14:10:00,COW_020,0.0231,38.86,1,72.4,37.16,50.1,0,-34.63881,-60.949663,286.7,3.44
celo,celo,2026-03-19 14:15:00,COW_020,0.0237,38.33,1,68.8,39.03,56.48,0,-34.63881,-60.949661,361.7,4.34
celo,celo,2026-03-19 14:20:00,COW_020,0.0243,38.68,0,55.2,50.01,57.03,1,-34.638811,-60.949661,305.0,3.66
celo,celo,2026-03-19 14:25:00,COW_020,0.0249,38.77,1,59.2,37.65,41.74,1,-34.638812,-60.949664,205.0,2.46
celo,celo,2026-03-19 14:30:00,COW_020,0.0255,38.95,1,74.3,30.9,41.56,0,-34.638812,-60.949665,233.3,2.8
celo,celo,2026-03-19 14:35:00,COW_020,0.026,39.11,1,74.9,35.81,45.45,0,-34.638812,-60.949664,208.3,2.5
celo,celo,2026-03-19 14:40:00,COW_020,0.0266,38.58,0,72.7,35.21,42.01,0,-34.638812,-60.949664,255.8,3.07
celo,celo,2026-03-19 14:45:00,COW_020,0.0272,38.64,1,66.5,42.78,52.28,0,-34.63881,-60.949664,350.0,4.2
celo,celo,2026-03-19 14:50:00,COW_020,0.0278,38.37,1,71.8,45.65,53.02,0,-34.63881,-60.949665,187.5,2.25
celo,celo,2026-03-19 14:55:00,COW_020,0.0284,38.86,1,71.7,38.49,43.68,0,-34.63881,-60.949663,219.2,2.63
celo,celo,2026-03-19 15:00:00,COW_020,0.0289,39.16,0,68.2,36.58,50.09,0,-34.63881,-60.949662,195.8,2.35
celo,celo,2026-03-19 15:05:00,COW_020,0.0295,38.73,0,67.8,41.37,50.73,1,-34.638811,-60.94966,335.8,4.03
celo,celo,2026-03-19 15:10:00,COW_020,0.0301,38.73,1,65.4,38.25,45.69,0,-34.63881,-60.949659,175.8,2.11
