label,label_animal,timestamp,collar_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
clinica,clinica,2026-03-19 09:35:00,COW_020,0.0,38.89,1,64.7,43.27,53.17,0,-34.599911,-60.905846,98.3,1.18
clinica,clinica,2026-03-19 09:40:00,COW_020,0.0006,38.97,1,61.1,43.36,55.69,0,-34.599911,-60.905846,30.0,0.36
clinica,clinica,2026-03-19 09:45:00,COW_020,0.0012,38.53,1,70.1,46.59,61.04,0,-34.599911,-60.905846,57.5,0.69
clinica,clinica,2026-03-19 09:50:00,COW_020,0.0017,38.25,1,65.1,35.14,43.21,0,-34.599911,-60.905846,79.2,0.95
clinica,clinica,2026-03-19 09:55:00,COW_020,0.0023,,1,63.9,40.48,58.16,0,-34.599911,-60.905846,1.7,0.02
clinica,clinica,2026-03-19 10:00:00,COW_020,0.0029,38.76,1,74.8,39.23,55.35,0,-34.599911,-60.905846,143.3,1.72
clinica,clinica,2026-03-19 10:05:00,COW_020,0.0035,38.53,1,64.8,37.47,45.52,0,-34.599911,-60.905846,8.3,0.1
clinica,clinica,2026-03-19 10:10:00,COW_020,0.0041,38.6,1,65.4,35.13,39.6,0,-34.599911,-60.905846,43.3,0.52
clinica,clinica,2026-03-19 10:15:00,COW_020,0.0046,38.27,1,54.6,43.95,50.28,0,-34.599911,-60.905847,100.8,1.21
clinica,clinica,2026-03-19 10:20:00,COW_020,0.0052,38.92,1,71.3,39.84,50.45,0,-34.599911,-60.905847,33.3,0.4
clinica,clinica,2026-03-19 10:25:00,COW_020,0.0058,38.72,0,64.1,42.38,59.08,0,-34.599911,-60.905847,24.2,0.29
clinica,clinica,2026-03-19 10:30:00,COW_020,0.0064,38.88,1,57.8,39.75,50.54,0,-34.599911,-60.905847,10.0,0.12
clinica,clinica,2026-03-19 10:35:00,COW_020,0.0069,38.08,1,58.1,45.05,56.2,0,-34.599911,-60.905847,67.5,0.81
clinica,clinica,2026-03-19 10:40:00,COW_020,0.0075,38.93,1,49.9,39.19,51.76,0,-34.599911,-60.905846,62.5,0.75
clinica,clinica,2026-03-19 10:45:00,COW_020,0.0081,38.0,1,57.5,42.49,61.35,0,-34.599911,-60.905847,94.2,1.13
clinica,clinica,2026-03-19 10:50:00,COW_020,0.0087,38.65,1,67.6,38.34,44.94,0,-34.599911,-60.905847,26.7,0.32
clinica,clinica,2026-03-19 10:55:00,COW_020,0.0093,38.42,1,66.7,33.53,40.59,0,-34.599911,-60.905847,33.3,0.4
clinica,clinica,2026-03-19 11:00:00,COW_020,0.0098,38.73,1,62.5,42.8,56.85,0,-34.599911,-60.905847,111.7,1.34
clinica,clinica,2026-03-19 11:05:00,COW_020,0.0104,38.74,1,62.5,28.93,33.15,0,-34.599911,-60.905847,46.7,0.56
clinica,clinica,2026-03-19 11:10:00,COW_020,0.011,39.17,0,73.0,34.63,41.59,0,-34.599911,-60.905847,0.0,0.0
clinica,clinica,2026-03-19 11:15:00,COW_020,0.0116,38.67,1,71.0,36.88,46.98,0,-34.599911,-60.905847,20.8,0.25
clinica,clinica,2026-03-19 11:20:00,COW_020,0.0122,38.51,1,63.0,40.69,55.02,0,-34.599911,-60.905847,0.0,0.0
clinica,clinica,2026-03-19 11:25:00,COW_020,0.0127,38.87,0,68.8,41.23,50.3,0,-34.599911,-60.905847,69.2,0.83
clinica,clinica,2026-03-19 11:30:00,COW_020,0.0133,38.97,1,76.5,36.08,50.39,0,-34.599912,-60.905847,105.8,1.27
clinica,clinica,2026-03-19 11:35:00,COW_020,0.0139,38.76,1,60.8,34.06,37.74,0,-34.599912,-60.905847,12.5,0.15
clinica,clinica,2026-03-19 11:40:00,COW_020,0.0145,38.65,1,66.4,33.43,45.73,0,-34.599912,-60.905847,0.0,0.0
clinica,clinica,2026-03-19 11:45:00,COW_020,0.015,38.94,1,66.3,40.52,46.4,0,-34.599912,-60.905847,16.7,0.2
clinica,clinica,2026-03-19 11:50:00,COW_020,0.0156,38.2,1,66.0,33.44,42.15,0,-34.599912,-60.905847,37.5,0.45
clinica,clinica,2026-03-19 11:55:00,COW_020,0.0162,38.62,1,56.9,46.24,59.01,0,-34.599912,-60.905847,72.5,0.87
clinica,clinica,2026-03-19 12:00:00,COW_020,0.0168,39.3,1,67.8,34.54,45.25,0,-34.599912,-60.905847,0.0,0.0
clinica,clinica,2026-03-19 12:05:00,COW_020,0.0174,38.93,1,68.6,36.18,40.21,0,-34.599912,-60.905847,130.0,1.56
clinica,clinica,2026-03-19 12:10:00,COW_020,0.0179,38.72,1,55.8,41.37,53.93,0,-34.599912,-60.905847,80.0,0.96
clinica,clinica,2026-03-19 12:15:00,COW_020,0.0185,38.25,1,73.1,39.3,48.14,0,-34.599912,-60.905846,80.0,0.96
clinica,clinica,2026-03-19 12:20:00,COW_020,0.0191,38.56,1,61.3,45.14,51.93,0,-34.599912,-60.905846,4.2,0.05
clinica,clinica,2026-03-19 12:25:00,COW_020,0.0197,38.12,0,57.0,38.28,51.05,1,-34.599912,-60.905847,33.3,0.4
clinica,clinica,2026-03-19 12:30:00,COW_020,0.0203,38.89,1,68.6,39.07,55.17,0,-34.599912,-60.905847,27.5,0.33
clinica,clinica,2026-03-19 12:35:00,COW_020,0.0208,38.73,1,61.1,45.66,63.79,0,-34.599912,-60.905847,38.3,0.46
clinica,clinica,2026-03-19 12:40:00,COW_020,0.0214,38.11,1,71.0,46.55,64.25,0,-34.599912,-60.905847,15.8,0.19
clinica,clinica,2026-03-19 12:45:00,COW_020,0.022,38.32,0,65.9,37.12,43.76,0,-34.599911,-60.905848,144.2,1.73
clinica,clinica,2026-03-19 12:50:00,COW_020,0.0226,38.15,1,62.9,39.61,48.05,0,-34.599912,-60.905848,89.2,1.07
clinica,clinica,2026-03-19 12:55:00,COW_020,0.0231,38.69,1,65.4,36.62,48.6,0,-34.599913,-60.905848,38.3,0.46
clinica,clinica,2026-03-19 13:00:00,COW_020,0.0237,38.93,0,65.7,36.58,51.25,1,-34.599913,-60.905849,84.2,1.01
clinica,clinica,2026-03-19 13:05:00,COW_020,0.0243,38.99,1,64.1,34.58,41.54,0,-34.599913,-60.905848,67.5,0.81
clinica,clinica,2026-03-19 13:10:00,COW_020,0.0249,38.85,1,66.7,36.86,46.67,0,-34.599913,-60.905848,32.5,0.39
clinica,clinica,2026-03-19 13:15:00,COW_020,0.0255,38.17,0,70.9,43.96,58.48,0,-34.599913,-60.905848,0.0,0.0
