label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
febril,febril,2026-03-19 11:05:00,COW_021,0.0,38.76,0,66.6,25.94,31.92,0,-34.648948,-60.911966,83.3,1.0
febril,febril,2026-03-19 11:10:00,COW_021,0.0006,38.79,0,73.3,33.97,38.49,0,-34.648949,-60.911967,75.0,0.9
febril,febril,2026-03-19 11:15:00,COW_021,0.0012,38.86,1,76.1,41.22,56.95,1,-34.648949,-60.911966,62.5,0.75
febril,febril,2026-03-19 11:20:00,COW_021,0.0017,38.51,1,76.1,34.89,46.63,0,-34.648949,-60.911966,0.0,0.0
febril,febril,2026-03-19 11:25:00,COW_021,0.0023,38.94,1,75.6,46.29,59.15,0,-34.648948,-60.911966,120.8,1.45
febril,febril,2026-03-19 11:30:00,COW_021,0.0029,38.73,1,67.6,32.62,39.69,0,-34.648948,-60.911965,10.8,0.13
febril,febril,2026-03-19 11:35:00,COW_021,0.0035,38.3,1,60.1,39.16,43.81,1,-34.648948,-60.911966,12.5,0.15
febril,febril,2026-03-19 11:40:00,COW_021,0.0041,38.32,1,81.7,29.85,42.83,0,-34.648947,-60.911966,142.5,1.71
febril,febril,2026-03-19 11:45:00,COW_021,0.0046,38.59,1,77.8,30.25,42.08,0,-34.648947,-60.911966,3.3,0.04
febril,febril,2026-03-19 11:50:00,COW_021,0.0052,39.28,1,74.3,42.14,56.43,0,-34.648947,-60.911966,46.7,0.56
febril,febril,2026-03-19 11:55:00,COW_021,0.0058,38.48,0,56.0,36.73,44.63,0,-34.648947,-60.911965,119.2,1.43
febril,febril,2026-03-19 12:00:00,COW_021,0.0064,38.34,1,76.1,42.26,53.87,0,-34.648947,-60.911965,29.2,0.35
febril,febril,2026-03-19 12:05:00,COW_021,0.0069,38.51,0,69.3,33.36,38.35,0,-34.648948,-60.911965,73.3,0.88
febril,febril,2026-03-19 12:10:00,COW_021,0.0075,38.42,0,64.7,47.25,63.41,0,-34.648947,-60.911965,15.8,0.19
febril,febril,2026-03-19 12:15:00,COW_021,0.0081,38.37,0,81.6,44.03,49.64,0,-34.648947,-60.911966,103.3,1.24
febril,febril,2026-03-19 12:20:00,COW_021,0.0087,38.65,0,83.9,53.06,70.39,0,-34.648949,-60.911966,114.2,1.37
febril,febril,2026-03-19 12:25:00,COW_021,0.0093,37.92,1,79.6,36.8,50.93,1,-34.648949,-60.911966,21.7,0.26
febril,febril,2026-03-19 12:30:00,COW_021,0.0098,38.02,0,57.0,28.16,32.63,0,-34.648949,-60.911966,50.0,0.6
febril,febril,2026-03-19 12:35:00,COW_021,0.0104,39.85,1,63.4,37.48,41.77,0,-34.648948,-60.911965,104.2,1.25
febril,febril,2026-03-19 12:40:00,COW_021,0.011,39.23,1,71.8,25.13,30.77,0,-34.648948,-60.911966,80.0,0.96
febril,febril,2026-03-19 12:45:00,COW_021,0.0116,38.85,1,73.3,34.49,42.79,0,-34.648948,-60.911966,100.8,1.21
febril,febril,2026-03-19 12:50:00,COW_021,0.0122,39.14,1,82.0,46.77,58.88,1,-34.648947,-60.911966,108.3,1.3
febril,febril,2026-03-19 12:55:00,COW_021,0.0127,38.78,1,76.3,35.45,43.16,1,-34.648947,-60.911966,20.8,0.25
febril,febril,2026-03-19 13:00:00,COW_021,0.0133,39.64,1,76.0,37.98,48.51,1,-34.648948,-60.911966,52.5,0.63
febril,febril,2026-03-19 13:05:00,COW_021,0.0139,38.05,1,66.6,27.14,31.15,0,-34.648948,-60.911966,66.7,0.8
febril,febril,2026-03-19 13:10:00,COW_021,0.0145,37.68,0,76.4,37.94,47.16,0,-34.648948,-60.911966,72.5,0.87
febril,febril,2026-03-19 13:15:00,COW_021,0.015,38.56,1,68.3,39.33,50.34,0,-34.648949,-60.911966,118.3,1.42
febril,febril,2026-03-19 13:20:00,COW_021,0.0156,37.82,0,75.0,41.62,57.2,0,-34.648949,-60.911966,71.7,0.86
febril,febril,2026-03-19 13:25:00,COW_021,0.0162,39.04,1,69.7,45.04,60.58,0,-34.648949,-60.911966,159.2,1.91
febril,febril,2026-03-19 13:30:00,COW_021,0.0168,38.99,0,73.1,32.06,44.04,1,-34.648949,-60.911965,56.7,0.68
febril,febril,2026-03-19 13:35:00,COW_021,0.0174,38.88,1,61.4,28.83,40.67,0,-34.648949,-60.911965,61.7,0.74
febril,febril,2026-03-19 13:40:00,COW_021,0.0179,38.36,1,77.3,45.44,52.05,0,-34.648949,-60.911965,19.2,0.23
febril,febril,2026-03-19 13:45:00,COW_021,0.0185,38.74,0,85.8,39.23,49.62,0,-34.648949,-60.911965,35.8,0.43
febril,febril,2026-03-19 13:50:00,COW_021,0.0191,39.0,1,60.0,35.62,48.16,0,-34.648949,-60.911965,54.2,0.65
febril,febril,2026-03-19 13:55:00,COW_021,0.0197,38.69,0,73.8,34.63,49.93,0,-34.648948,-60.911965,135.8,1.63
febril,febril,2026-03-19 14:00:00,COW_021,0.0203,37.85,1,62.0,36.02,41.49,0,-34.648948,-60.911965,21.7,0.26
febril,febril,2026-03-19 14:05:00,COW_021,0.0208,38.72,1,78.5,46.88,66.58,0,-34.648948,-60.911964,139.2,1.67
febril,febril,2026-03-19 14:10:00,COW_021,0.0214,38.81,1,76.9,32.64,40.26,0,-34.648948,-60.911964,0.0,0.0
febril,febril,2026-03-19 14:15:00,COW_021,0.022,38.41,1,69.6,25.65,28.48,0,-34.648947,-60.911964,121.7,1.46
febril,febril,2026-03-19 14:20:00,COW_021,0.0226,38.23,0,71.1,39.85,52.03,0,-34.648948,-60.911964,114.2,1.37
febril,febril,2026-03-19 14:25:00,COW_021,0.0231,38.42,0,73.0,35.01,42.19,0,-34.648948,-60.911964,0.0,0.0
febril,febril,2026-03-19 14:30:00,COW_021,0.0237,39.25,1,65.2,30.13,34.2,0,-34.648947,-60.911963,104.2,1.25
febril,febril,2026-03-19 14:35:00,COW_021,0.0243,38.91,0,59.3,34.2,47.25,0,-34.648946,-60.911963,95.8,1.15
febril,febril,2026-03-19 14:40:00,COW_021,0.0249,39.33,0,78.5,37.81,47.87,0,-34.648946,-60.911962,111.7,1.34
febril,febril,2026-03-19 14:45:00,COW_021,0.0255,38.22,1,60.3,44.62,56.38,0,-34.648947,-60.911962,58.3,0.7
febril,febril,2026-03-19 14:50:00,COW_021,0.026,38.59,1,67.9,44.47,58.96,0,-34.648946,-60.911963,139.2,1.67
febril,febril,2026-03-19 14:55:00,COW_021,0.0266,38.86,1,66.2,35.86,49.76,1,-34.648946,-60.911964,140.8,1.69
febril,febril,2026-03-19 15:00:00,COW_021,0.0272,38.72,1,75.2,52.15,75.23,1,-34.648947,-60.911964,129.2,1.55
febril,febril,2026-03-19 15:05:00,COW_021,0.0278,39.0,0,61.6,38.28,42.83,0,-34.648948,-60.911963,146.7,1.76
febril,febril,2026-03-19 15:10:00,COW_021,0.0284,39.3,1,69.8,24.24,31.92,0,-34.648948,-60.911963,95.0,1.14
febril,febril,2026-03-19 15:15:00,COW_021,0.0289,38.82,0,75.1,41.2,56.56,0,-34.648948,-60.911963,53.3,0.64
febril,febril,2026-03-19 15:20:00,COW_021,0.0295,39.56,1,63.4,43.21,48.52,0,-34.648949,-60.911963,60.8,0.73
febril,febril,2026-03-19 15:25:00,COW_021,0.0301,38.88,1,69.1,44.18,58.74,1,-34.648949,-60.911963,146.7,1.76
febril,febril,2026-03-19 15:30:00,COW_021,0.0307,39.16,1,81.8,38.81,48.4,0,-34.648949,-60.911963,12.5,0.15
febril,febril,2026-03-19 15:35:00,COW_021,0.0312,38.7,1,65.9,33.62,37.83,0,-34.648949,-60.911963,110.8,1.33
febril,febril,2026-03-19 15:40:00,COW_021,0.0318,39.42,0,67.9,39.09,48.11,0,-34.648949,-60.911963,108.3,1.3
febril,febril,2026-03-19 15:45:00,COW_021,0.0324,39.25,0,69.4,32.13,41.33,1,-34.648949,-60.911963,116.7,1.4
febril,febril,2026-03-19 15:50:00,COW_021,0.033,38.57,1,74.8,32.2,35.69,0,-34.648949,-60.911963,81.7,0.98
febril,febril,2026-03-19 15:55:00,COW_021,0.0336,38.27,1,79.5,38.8,50.6,0,-34.648949,-60.911962,80.0,0.96
febril,febril,2026-03-19 16:00:00,COW_021,0.0341,,0,64.3,36.2,42.37,0,-34.648949,-60.911963,85.0,1.02
febril,febril,2026-03-19 16:05:00,COW_021,0.0347,39.99,1,80.4,42.55,61.39,0,-34.648949,-60.911962,75.0,0.9
febril,febril,2026-03-19 16:10:00,COW_021,0.0353,38.33,1,82.3,41.22,47.16,1,-34.64895,-60.911962,75.0,0.9
febril,febril,2026-03-19 16:15:00,COW_021,0.0359,39.18,1,73.9,46.75,51.94,0,-34.64895,-60.911962,62.5,0.75
febril,febril,2026-03-19 16:20:00,COW_021,0.0365,39.06,1,71.6,34.57,41.78,0,-34.64895,-60.911963,91.7,1.1
febril,febril,2026-03-19 16:25:00,COW_021,0.037,38.67,1,76.0,34.18,43.99,0,-34.64895,-60.911963,10.0,0.12
febril,febril,2026-03-19 16:30:00,COW_021,0.0376,39.33,0,66.4,36.13,48.8,0,-34.64895,-60.911963,25.0,0.3
febril,febril,2026-03-19 16:35:00,COW_021,0.0382,39.05,1,73.5,35.46,43.66,1,-34.648949,-60.911963,84.2,1.01
