label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
febril,febril,2026-03-19 11:05:00,COW_024,0.0,38.89,1,78.3,40.26,45.0,0,-34.61679,-60.89608,93.3,1.12
febril,febril,2026-03-19 11:10:00,COW_024,0.0006,39.27,1,71.6,36.72,46.71,0,-34.61679,-60.896081,56.7,0.68
febril,febril,2026-03-19 11:15:00,COW_024,0.0012,37.69,0,74.0,42.53,51.79,0,-34.616789,-60.896081,89.2,1.07
febril,febril,2026-03-19 11:20:00,COW_024,0.0017,38.75,0,74.9,48.38,57.96,0,-34.61679,-60.896081,74.2,0.89
febril,febril,2026-03-19 11:25:00,COW_024,0.0023,37.76,0,52.7,40.82,51.28,0,-34.616789,-60.89608,137.5,1.65
febril,febril,2026-03-19 11:30:00,COW_024,0.0029,39.08,1,56.2,29.16,38.96,1,-34.616789,-60.89608,74.2,0.89
febril,febril,2026-03-19 11:35:00,COW_024,0.0035,38.11,1,72.7,36.41,47.83,0,-34.616789,-60.89608,21.7,0.26
febril,febril,2026-03-19 11:40:00,COW_024,0.0041,38.78,1,58.4,49.54,69.85,1,-34.616789,-60.896081,149.2,1.79
febril,febril,2026-03-19 11:45:00,COW_024,0.0046,38.2,0,61.4,39.17,54.45,0,-34.616789,-60.89608,80.8,0.97
febril,febril,2026-03-19 11:50:00,COW_024,0.0052,38.26,1,54.5,41.92,53.69,0,-34.616789,-60.896082,134.2,1.61
febril,febril,2026-03-19 11:55:00,COW_024,0.0058,38.25,0,68.2,49.91,63.43,0,-34.616788,-60.896081,145.8,1.75
febril,febril,2026-03-19 12:00:00,COW_024,0.0064,38.87,0,70.6,39.76,54.14,0,-34.616788,-60.896081,18.3,0.22
febril,febril,2026-03-19 12:05:00,COW_024,0.0069,38.98,1,74.3,43.37,58.28,0,-34.616788,-60.896081,60.0,0.72
febril,febril,2026-03-19 12:10:00,COW_024,0.0075,38.88,1,74.6,42.11,58.8,0,-34.616788,-60.896081,111.7,1.34
febril,febril,2026-03-19 12:15:00,COW_024,0.0081,38.57,0,55.4,42.54,48.45,0,-34.616788,-60.896081,55.8,0.67
febril,febril,2026-03-19 12:20:00,COW_024,0.0087,38.38,0,59.0,33.05,39.61,0,-34.616788,-60.896081,142.5,1.71
febril,febril,2026-03-19 12:25:00,COW_024,0.0093,39.45,0,64.2,46.52,65.85,0,-34.616788,-60.89608,102.5,1.23
febril,febril,2026-03-19 12:30:00,COW_024,0.0098,38.41,1,69.7,38.66,44.27,0,-34.616788,-60.89608,54.2,0.65
febril,febril,2026-03-19 12:35:00,COW_024,0.0104,38.94,1,60.6,39.3,43.29,0,-34.616788,-60.89608,53.3,0.64
febril,febril,2026-03-19 12:40:00,COW_024,0.011,38.43,0,71.3,36.61,51.59,0,-34.616787,-60.89608,182.5,2.19
febril,febril,2026-03-19 12:45:00,COW_024,0.0116,39.27,1,73.3,34.22,46.18,0,-34.616787,-60.89608,90.0,1.08
febril,febril,2026-03-19 12:50:00,COW_024,0.0122,38.76,0,59.3,36.49,49.26,0,-34.616787,-60.89608,0.0,0.0
febril,febril,2026-03-19 12:55:00,COW_024,0.0127,38.79,0,71.4,24.8,35.73,1,-34.616787,-60.896079,139.2,1.67
febril,febril,2026-03-19 13:00:00,COW_024,0.0133,38.3,1,68.6,36.26,45.93,1,-34.616787,-60.896079,0.0,0.0
febril,febril,2026-03-19 13:05:00,COW_024,0.0139,39.03,0,69.5,29.95,38.65,0,-34.616786,-60.896079,34.2,0.41
febril,febril,2026-03-19 13:10:00,COW_024,0.0145,38.89,1,54.6,30.53,42.58,0,-34.616786,-60.896079,0.0,0.0
febril,febril,2026-03-19 13:15:00,COW_024,0.015,38.84,0,65.4,34.56,39.17,1,-34.616786,-60.896079,100.0,1.2
febril,febril,2026-03-19 13:20:00,COW_024,0.0156,38.18,1,52.0,26.09,30.11,1,-34.616786,-60.896079,40.0,0.48
febril,febril,2026-03-19 13:25:00,COW_024,0.0162,39.03,0,62.9,30.1,42.15,0,-34.616786,-60.896079,34.2,0.41
febril,febril,2026-03-19 13:30:00,COW_024,0.0168,38.15,1,73.7,41.52,56.75,0,-34.616785,-60.896078,130.0,1.56
febril,febril,2026-03-19 13:35:00,COW_024,0.0174,37.93,1,71.4,40.55,51.46,1,-34.616785,-60.896079,80.8,0.97
febril,febril,2026-03-19 13:40:00,COW_024,0.0179,39.02,0,63.2,38.27,49.22,0,-34.616784,-60.896078,159.2,1.91
febril,febril,2026-03-19 13:45:00,COW_024,0.0185,37.48,1,89.3,40.0,46.66,0,-34.616784,-60.896078,95.0,1.14
