label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
digestivo,digestivo,2026-03-19 10:50:00,COW_029,0.0,39.07,0,65.4,27.98,38.27,1,-34.631632,-60.956965,62.5,0.75
digestivo,digestivo,2026-03-19 10:55:00,COW_029,0.0006,38.9,0,70.7,25.7,33.2,1,-34.631632,-60.956965,14.2,0.17
digestivo,digestivo,2026-03-19 11:00:00,COW_029,0.0012,38.75,0,79.1,33.61,47.08,0,-34.631632,-60.956965,0.0,0.0
digestivo,digestivo,2026-03-19 11:05:00,COW_029,0.0017,39.13,1,68.1,27.81,32.51,0,-34.631632,-60.956965,0.0,0.0
digestivo,digestivo,2026-03-19 11:10:00,COW_029,0.0023,39.28,0,79.4,38.65,51.05,1,-34.631632,-60.956965,0.0,0.0
digestivo,digestivo,2026-03-19 11:15:00,COW_029,0.0029,39.14,1,70.5,35.83,43.74,0,-34.631632,-60.956965,0.0,0.0
digestivo,digestivo,2026-03-19 11:20:00,COW_029,0.0035,39.54,0,75.3,38.32,50.39,0,-34.631631,-60.956965,19.2,0.23
digestivo,digestivo,2026-03-19 11:25:00,COW_029,0.0041,,0,74.2,30.26,36.61,1,-34.631631,-60.956965,5.8,0.07
digestivo,digestivo,2026-03-19 11:30:00,COW_029,0.0046,39.26,0,72.1,32.19,36.69,0,-34.631632,-60.956965,59.2,0.71
digestivo,digestivo,2026-03-19 11:35:00,COW_029,0.0052,38.85,0,68.9,31.56,36.19,0,-34.631632,-60.956965,65.0,0.78
digestivo,digestivo,2026-03-19 11:40:00,COW_029,0.0058,38.83,0,75.4,40.64,47.87,0,-34.631631,-60.956965,97.5,1.17
digestivo,digestivo,2026-03-19 11:45:00,COW_029,0.0064,39.85,0,71.5,33.02,42.4,0,-34.631631,-60.956964,101.7,1.22
digestivo,digestivo,2026-03-19 11:50:00,COW_029,0.0069,38.61,0,70.5,38.1,43.63,0,-34.631631,-60.956964,44.2,0.53
digestivo,digestivo,2026-03-19 11:55:00,COW_029,0.0075,38.67,0,71.2,42.52,47.53,1,-34.631631,-60.956964,79.2,0.95
digestivo,digestivo,2026-03-19 12:00:00,COW_029,0.0081,38.15,0,67.6,41.55,58.39,0,-34.631632,-60.956964,47.5,0.57
digestivo,digestivo,2026-03-19 12:05:00,COW_029,0.0087,39.07,0,62.0,31.98,35.32,0,-34.631632,-60.956964,51.7,0.62
digestivo,digestivo,2026-03-19 12:10:00,COW_029,0.0093,39.74,0,67.2,28.59,33.48,0,-34.631631,-60.956964,30.8,0.37
digestivo,digestivo,2026-03-19 12:15:00,COW_029,0.0098,39.4,0,64.9,30.69,40.97,0,-34.631631,-60.956964,0.0,0.0
digestivo,digestivo,2026-03-19 12:20:00,COW_029,0.0104,38.83,0,80.9,36.55,52.25,0,-34.631632,-60.956964,90.0,1.08
