label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
digestivo,digestivo,2026-03-19 11:05:00,COW_030,0.0,38.89,0,64.0,32.71,40.18,0,-34.580305,-60.878707,35.8,0.43
digestivo,digestivo,2026-03-19 11:10:00,COW_030,0.0006,38.97,0,56.1,39.01,48.76,0,-34.580305,-60.878707,66.7,0.8
digestivo,digestivo,2026-03-19 11:15:00,COW_030,0.0012,38.42,0,72.3,33.46,38.82,0,-34.580305,-60.878706,85.8,1.03
digestivo,digestivo,2026-03-19 11:20:00,COW_030,0.0017,38.7,0,66.8,35.31,39.15,1,-34.580305,-60.878706,97.5,1.17
digestivo,digestivo,2026-03-19 11:25:00,COW_030,0.0023,38.61,0,61.1,24.99,33.85,0,-34.580305,-60.878706,54.2,0.65
digestivo,digestivo,2026-03-19 11:30:00,COW_030,0.0029,38.61,0,70.1,30.83,36.71,0,-34.580305,-60.878706,46.7,0.56
digestivo,digestivo,2026-03-19 11:35:00,COW_030,0.0035,38.63,0,68.9,41.37,59.57,0,-34.580305,-60.878706,88.3,1.06
digestivo,digestivo,2026-03-19 11:40:00,COW_030,0.0041,38.57,1,74.9,32.68,37.26,1,-34.580305,-60.878706,47.5,0.57
digestivo,digestivo,2026-03-19 11:45:00,COW_030,0.0046,38.12,1,66.9,28.01,37.09,1,-34.580305,-60.878706,30.0,0.36
digestivo,digestivo,2026-03-19 11:50:00,COW_030,0.0052,38.85,0,65.9,44.96,61.88,0,-34.580305,-60.878706,40.0,0.48
digestivo,digestivo,2026-03-19 11:55:00,COW_030,0.0058,38.81,0,38.8,36.97,43.64,0,-34.580305,-60.878706,0.0,0.0
digestivo,digestivo,2026-03-19 12:00:00,COW_030,0.0064,38.63,0,68.1,40.19,54.5,0,-34.580305,-60.878706,120.8,1.45
digestivo,digestivo,2026-03-19 12:05:00,COW_030,0.0069,38.87,1,68.1,31.13,36.02,0,-34.580306,-60.878706,44.2,0.53
digestivo,digestivo,2026-03-19 12:10:00,COW_030,0.0075,39.23,0,65.0,28.51,39.52,0,-34.580306,-60.878706,52.5,0.63
digestivo,digestivo,2026-03-19 12:15:00,COW_030,0.0081,39.01,1,72.2,31.47,41.84,0,-34.580307,-60.878706,121.7,1.46
digestivo,digestivo,2026-03-19 12:20:00,COW_030,0.0087,39.1,0,60.8,36.47,46.12,0,-34.580307,-60.878706,26.7,0.32
digestivo,digestivo,2026-03-19 12:25:00,COW_030,0.0093,38.56,0,64.4,51.68,64.51,0,-34.580307,-60.878706,0.0,0.0
digestivo,digestivo,2026-03-19 12:30:00,COW_030,0.0098,38.3,0,70.2,23.18,33.05,0,-34.580307,-60.878706,0.0,0.0
digestivo,digestivo,2026-03-19 12:35:00,COW_030,0.0104,38.99,0,73.4,46.39,57.08,1,-34.580307,-60.878706,0.0,0.0
