label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
sana,sana,2025-06-01 06:00:00,BOV_001,0.0,39.34,0,64.5,37.2,41.7,0,-34.623774,-60.854386,95.0,1.14
sana,sana,2025-06-01 06:05:00,BOV_001,0.0,37.35,1,70.0,48.3,55.5,0,-34.623774,-60.854386,41.7,0.5
sana,sana,2025-06-01 06:10:00,BOV_001,0.0,37.97,1,61.3,40.9,53.7,1,-34.623773,-60.854386,97.5,1.17
sana,sana,2025-06-01 06:15:00,BOV_001,0.0,38.1,1,62.7,35.8,50.8,0,-34.623773,-60.854387,134.2,1.61
sana,sana,2025-06-01 06:20:00,BOV_001,0.0,38.59,1,67.8,42.9,48.5,1,-34.623774,-60.854387,76.7,0.92
sana,sana,2025-06-01 06:25:00,BOV_001,0.0,37.96,1,57.9,30.4,42.0,0,-34.623774,-60.854386,145.0,1.74
sana,sana,2025-06-01 06:30:00,BOV_001,0.0,39.11,1,61.0,36.2,50.8,0,-34.623774,-60.854386,127.5,1.53
sana,sana,2025-06-01 06:35:00,BOV_001,0.0,38.92,0,65.5,31.6,42.6,0,-34.623774,-60.854385,135.0,1.62
sana,sana,2025-06-01 06:40:00,BOV_001,0.0,38.78,1,60.9,39.9,48.3,0,-34.623775,-60.854385,109.2,1.31
sana,sana,2025-06-01 06:45:00,BOV_001,0.0,38.58,0,63.4,43.8,61.5,0,-34.623775,-60.854384,208.3,2.5
sana,sana,2025-06-01 06:50:00,BOV_001,0.0,38.42,0,61.0,27.5,38.1,1,-34.623775,-60.854384,0.0,0.0
sana,sana,2025-06-01 06:55:00,BOV_001,0.0,38.8,1,63.3,42.2,56.8,0,-34.623775,-60.854384,23.3,0.28
sana,sana,2025-06-01 07:00:00,BOV_001,0.0,39.74,1,63.8,42.7,49.1,0,-34.623776,-60.854385,186.7,2.24
sana,sana,2025-06-01 07:05:00,BOV_001,0.0,38.33,1,76.1,51.9,66.8,0,-34.623777,-60.854385,222.5,2.67
sana,sana,2025-06-01 07:10:00,BOV_001,0.0,38.41,1,54.3,40.5,53.7,0,-34.623777,-60.854386,177.5,2.13
sana,sana,2025-06-01 07:15:00,BOV_001,0.0,38.4,1,67.3,50.3,65.1,0,-34.623777,-60.854385,171.7,2.06
sana,sana,2025-06-01 07:20:00,BOV_001,0.0,37.94,0,66.4,43.9,61.9,0,-34.623776,-60.854385,153.3,1.84
sana,sana,2025-06-01 07:25:00,BOV_001,0.0,39.01,1,72.1,47.8,56.5,0,-34.623776,-60.854385,83.3,1.0
sana,sana,2025-06-01 07:30:00,BOV_001,0.0,39.56,1,64.8,32.4,38.6,0,-34.623776,-60.854384,189.2,2.27
sana,sana,2025-06-01 07:35:00,BOV_001,0.0,39.91,1,66.6,26.8,36.3,1,-34.623777,-60.854384,135.0,1.62
sana,sana,2025-06-01 07:40:00,BOV_001,0.0,38.95,0,67.9,39.6,56.9,0,-34.623777,-60.854384,196.7,2.36
sana,sana,2025-06-01 07:45:00,BOV_001,0.0,38.92,1,64.7,46.2,52.4,0,-34.623777,-60.854386,236.7,2.84
sana,sana,2025-06-01 07:50:00,BOV_001,0.0,38.93,1,73.2,49.1,60.2,0,-34.623777,-60.854386,150.0,1.8
sana,sana,2025-06-01 07:55:00,BOV_001,0.0,39.36,0,66.6,51.1,70.4,0,-34.623778,-60.854386,188.3,2.26
sana,sana,2025-06-01 08:00:00,BOV_001,0.0,38.65,1,80.3,23.7,28.4,1,-34.623778,-60.854385,76.7,0.92
sana,sana,2025-06-01 08:05:00,BOV_001,0.0,38.91,0,56.3,61.4,81.2,0,-34.62378,-60.854385,234.2,2.81
sana,sana,2025-06-01 08:10:00,BOV_001,0.0,38.98,0,58.3,39.6,43.9,0,-34.623779,-60.854385,80.0,0.96
sana,sana,2025-06-01 08:15:00,BOV_001,0.0,38.77,0,53.1,48.8,58.5,0,-34.623777,-60.854384,196.7,2.36
sana,sana,2025-06-01 08:20:00,BOV_001,0.0,38.32,1,71.1,35.2,38.9,1,-34.623776,-60.854384,106.7,1.28
sana,sana,2025-06-01 08:25:00,BOV_001,0.0,38.0,0,62.6,23.0,30.3,1,-34.623776,-60.854385,42.5,0.51
sana,sana,2025-06-01 08:30:00,BOV_001,0.0,38.76,0,60.2,43.0,48.4,1,-34.623776,-60.854386,154.2,1.85
sana,sana,2025-06-01 08:35:00,BOV_001,0.0,38.75,0,88.8,42.7,60.5,1,-34.623776,-60.854386,32.5,0.39
sana,sana,2025-06-01 08:40:00,BOV_001,0.0,38.43,0,60.5,47.9,54.7,0,-34.623776,-60.854386,133.3,1.6
sana,sana,2025-06-01 08:45:00,BOV_001,0.0,38.98,1,61.6,23.0,31.6,0,-34.623776,-60.854386,39.2,0.47
sana,sana,2025-06-01 08:50:00,BOV_001,0.0,39.1,0,75.6,39.4,47.8,0,-34.623776,-60.854385,92.5,1.11
sana,sana,2025-06-01 08:55:00,BOV_001,0.0,38.15,1,69.2,45.9,63.2,0,-34.623776,-60.854385,43.3,0.52
sana,sana,2025-06-01 09:00:00,BOV_001,0.0,38.68,0,61.0,36.1,41.5,0,-34.623776,-60.854385,79.2,0.95
sana,sana,2025-06-01 09:05:00,BOV_001,0.0,39.26,0,63.2,33.1,37.4,0,-34.623775,-60.854385,181.7,2.18
sana,sana,2025-06-01 09:10:00,BOV_001,0.0,38.22,1,64.8,37.4,41.9,0,-34.623775,-60.854385,174.2,2.09
sana,sana,2025-06-01 09:15:00,BOV_001,0.0,38.03,1,59.3,36.8,52.9,0,-34.623774,-60.854385,125.0,1.5
sana,sana,2025-06-01 09:20:00,BOV_001,0.0,38.34,0,65.3,44.4,58.6,0,-34.623773,-60.854385,166.7,2.0
sana,sana,2025-06-01 09:25:00,BOV_001,0.0,38.26,0,76.6,48.3,54.4,0,-34.623773,-60.854385,0.0,0.0
sana,sana,2025-06-01 09:30:00,BOV_001,0.0,38.5,0,60.4,43.5,61.7,0,-34.623772,-60.854385,137.5,1.65
sana,sana,2025-06-01 09:35:00,BOV_001,0.0,38.64,0,62.8,42.8,52.8,0,-34.623772,-60.854385,28.3,0.34
sana,sana,2025-06-01 09:40:00,BOV_001,0.0,38.28,0,62.2,42.0,57.5,0,-34.623773,-60.854385,72.5,0.87
sana,sana,2025-06-01 09:45:00,BOV_001,0.0,39.2,1,76.8,32.0,42.7,0,-34.623772,-60.854385,71.7,0.86
sana,sana,2025-06-01 09:50:00,BOV_001,0.0,40.0,0,63.7,35.5,48.4,0,-34.623772,-60.854385,19.2,0.23
sana,sana,2025-06-01 09:55:00,BOV_001,0.0,39.2,1,66.6,40.4,55.5,0,-34.623772,-60.854385,0.0,0.0
sana,sana,2025-06-01 10:00:00,BOV_001,0.0,38.7,1,51.2,38.8,51.3,0,-34.623772,-60.854385,22.5,0.27
