label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
sana,sana,2026-03-19 10:50:00,COW_003,0.0,38.44,1,62.7,40.47,50.15,0,-34.63936,-60.929822,67.5,0.81
sana,sana,2026-03-19 10:55:00,COW_003,0.0006,38.64,1,71.7,48.85,54.3,0,-34.639359,-60.929822,142.5,1.71
sana,sana,2026-03-19 11:00:00,COW_003,0.0012,39.16,1,58.2,43.33,59.73,0,-34.639358,-60.929822,102.5,1.23
sana,sana,2026-03-19 11:05:00,COW_003,0.0017,38.54,1,66.2,40.53,50.2,0,-34.639359,-60.929822,35.8,0.43
sana,sana,2026-03-19 11:10:00,COW_003,0.0023,38.17,1,74.0,48.7,54.89,0,-34.639358,-60.929822,58.3,0.7
sana,sana,2026-03-19 11:15:00,COW_003,0.0029,38.33,1,62.3,38.01,49.62,0,-34.639358,-60.929822,116.7,1.4
sana,sana,2026-03-19 11:20:00,COW_003,0.0035,38.3,1,65.7,41.76,57.31,0,-34.639358,-60.929822,118.3,1.42
sana,sana,2026-03-19 11:25:00,COW_003,0.0041,38.14,1,83.1,41.28,58.01,0,-34.639358,-60.929822,0.0,0.0
sana,sana,2026-03-19 11:30:00,COW_003,0.0046,39.31,1,64.0,41.03,56.83,0,-34.639358,-60.929822,67.5,0.81
sana,sana,2026-03-19 11:35:00,COW_003,0.0052,39.18,1,73.3,45.72,52.56,0,-34.639359,-60.929821,156.7,1.88
sana,sana,2026-03-19 11:40:00,COW_003,0.0058,38.55,0,55.1,47.05,62.79,0,-34.63936,-60.929821,134.2,1.61
sana,sana,2026-03-19 11:45:00,COW_003,0.0064,38.19,1,68.1,40.63,47.55,0,-34.63936,-60.929821,71.7,0.86
sana,sana,2026-03-19 11:50:00,COW_003,0.0069,38.94,1,59.1,45.58,58.4,0,-34.63936,-60.929821,53.3,0.64
sana,sana,2026-03-19 11:55:00,COW_003,0.0075,39.4,1,83.3,33.2,39.78,0,-34.63936,-60.92982,134.2,1.61
sana,sana,2026-03-19 12:00:00,COW_003,0.0081,38.36,1,67.8,46.32,53.81,0,-34.639359,-60.92982,116.7,1.4
sana,sana,2026-03-19 12:05:00,COW_003,0.0087,38.44,1,71.9,33.09,43.47,0,-34.63936,-60.929822,135.8,1.63
sana,sana,2026-03-19 12:10:00,COW_003,0.0093,38.55,1,63.6,38.65,43.67,0,-34.639358,-60.929822,171.7,2.06
sana,sana,2026-03-19 12:15:00,COW_003,0.0098,38.15,1,66.2,35.64,39.98,0,-34.639358,-60.929822,47.5,0.57
sana,sana,2026-03-19 12:20:00,COW_003,0.0104,38.89,1,68.1,45.42,56.16,0,-34.639359,-60.929822,76.7,0.92
sana,sana,2026-03-19 12:25:00,COW_003,0.011,38.45,1,70.7,46.93,61.12,0,-34.639359,-60.929821,125.0,1.5
sana,sana,2026-03-19 12:30:00,COW_003,0.0116,38.95,1,64.8,31.66,34.87,0,-34.639359,-60.929821,48.3,0.58
sana,sana,2026-03-19 12:35:00,COW_003,0.0122,,1,71.6,37.65,52.53,0,-34.639359,-60.929822,132.5,1.59
sana,sana,2026-03-19 12:40:00,COW_003,0.0127,38.61,1,39.6,39.25,53.3,0,-34.639359,-60.929822,130.0,1.56
sana,sana,2026-03-19 12:45:00,COW_003,0.0133,38.41,1,68.6,23.83,32.78,0,-34.639359,-60.929821,76.7,0.92
sana,sana,2026-03-19 12:50:00,COW_003,0.0139,38.92,1,78.2,47.41,65.84,0,-34.639359,-60.929821,117.5,1.41
sana,sana,2026-03-19 12:55:00,COW_003,0.0145,38.03,1,61.0,41.83,56.82,0,-34.639359,-60.92982,160.0,1.92
sana,sana,2026-03-19 13:00:00,COW_003,0.015,38.72,1,54.6,43.44,51.94,0,-34.639359,-60.92982,45.0,0.54
sana,sana,2026-03-19 13:05:00,COW_003,0.0156,38.33,1,63.8,39.22,51.05,0,-34.639359,-60.92982,0.0,0.0
sana,sana,2026-03-19 13:10:00,COW_003,0.0162,38.15,1,65.6,47.94,65.08,1,-34.639358,-60.92982,55.8,0.67
sana,sana,2026-03-19 13:15:00,COW_003,0.0168,38.61,1,75.3,38.15,51.27,0,-34.639357,-60.929821,122.5,1.47
sana,sana,2026-03-19 13:20:00,COW_003,0.0174,39.03,0,59.7,46.78,57.33,0,-34.639357,-60.929821,50.8,0.61
sana,sana,2026-03-19 13:25:00,COW_003,0.0179,39.05,1,72.0,40.37,50.03,0,-34.639357,-60.929821,63.3,0.76
sana,sana,2026-03-19 13:30:00,COW_003,0.0185,38.09,0,61.2,40.5,54.11,0,-34.639358,-60.929821,93.3,1.12
sana,sana,2026-03-19 13:35:00,COW_003,0.0191,38.58,1,60.2,44.35,52.65,0,-34.639358,-60.929821,117.5,1.41
sana,sana,2026-03-19 13:40:00,COW_003,0.0197,38.26,1,67.8,39.13,54.36,0,-34.639358,-60.92982,174.2,2.09
sana,sana,2026-03-19 13:45:00,COW_003,0.0203,38.37,1,64.9,49.27,69.97,0,-34.639358,-60.92982,94.2,1.13
sana,sana,2026-03-19 13:50:00,COW_003,0.0208,38.21,1,63.7,36.34,41.76,0,-34.639357,-60.929821,114.2,1.37
sana,sana,2026-03-19 13:55:00,COW_003,0.0214,39.18,1,70.9,29.84,39.43,0,-34.639358,-60.929821,134.2,1.61
sana,sana,2026-03-19 14:00:00,COW_003,0.022,39.32,0,63.2,39.35,46.68,0,-34.639358,-60.929821,145.8,1.75
sana,sana,2026-03-19 14:05:00,COW_003,0.0226,38.5,1,59.2,47.24,59.67,0,-34.639359,-60.929821,118.3,1.42
sana,sana,2026-03-19 14:10:00,COW_003,0.0231,38.2,1,74.3,50.18,66.03,0,-34.639358,-60.929821,108.3,1.3
sana,sana,2026-03-19 14:15:00,COW_003,0.0237,38.45,1,67.0,36.29,46.42,0,-34.639358,-60.929821,65.0,0.78
sana,sana,2026-03-19 14:20:00,COW_003,0.0243,38.13,0,55.3,35.12,41.67,0,-34.639359,-60.929821,86.7,1.04
sana,sana,2026-03-19 14:25:00,COW_003,0.0249,38.94,1,67.6,35.11,39.81,0,-34.639359,-60.929821,137.5,1.65
sana,sana,2026-03-19 14:30:00,COW_003,0.0255,38.18,1,72.8,40.73,56.3,0,-34.639359,-60.929821,33.3,0.4
sana,sana,2026-03-19 14:35:00,COW_003,0.026,38.6,1,75.6,39.89,48.42,0,-34.639359,-60.929821,50.8,0.61
sana,sana,2026-03-19 14:40:00,COW_003,0.0266,38.82,1,62.9,40.16,45.18,0,-34.639359,-60.929821,160.8,1.93
sana,sana,2026-03-19 14:45:00,COW_003,0.0272,38.94,1,61.2,42.42,58.21,0,-34.63936,-60.929822,115.8,1.39
sana,sana,2026-03-19 14:50:00,COW_003,0.0278,38.38,1,60.5,42.03,58.21,0,-34.63936,-60.929823,164.2,1.97
sana,sana,2026-03-19 14:55:00,COW_003,0.0284,38.56,1,65.0,35.86,50.87,0,-34.639359,-60.929825,192.5,2.31
sana,sana,2026-03-19 15:00:00,COW_003,0.0289,39.2,1,64.8,37.34,41.89,0,-34.639359,-60.929825,148.3,1.78
sana,sana,2026-03-19 15:05:00,COW_003,0.0295,38.73,1,69.7,48.17,54.57,0,-34.63936,-60.929825,149.2,1.79
sana,sana,2026-03-19 15:10:00,COW_003,0.0301,38.77,0,72.1,44.4,58.44,0,-34.63936,-60.929825,42.5,0.51
sana,sana,2026-03-19 15:15:00,COW_003,0.0307,38.71,1,72.4,40.98,57.97,0,-34.63936,-60.929826,97.5,1.17
