label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
subclinica,subclinica,2026-03-19 10:00:00,COW_007,0.0,38.17,1,68.2,45.62,60.77,0,-34.642625,-60.968104,47.5,0.57
subclinica,subclinica,2026-03-19 10:05:00,COW_007,0.0006,38.5,0,63.2,27.19,32.83,0,-34.642625,-60.968104,92.5,1.11
subclinica,subclinica,2026-03-19 10:10:00,COW_007,0.0012,39.19,1,69.1,31.42,38.53,0,-34.642626,-60.968103,175.0,2.1
subclinica,subclinica,2026-03-19 10:15:00,COW_007,0.0017,38.29,0,54.6,37.74,44.26,0,-34.642626,-60.968103,20.0,0.24
subclinica,subclinica,2026-03-19 10:20:00,COW_007,0.0023,39.16,0,63.6,26.59,38.31,1,-34.642626,-60.968103,56.7,0.68
subclinica,subclinica,2026-03-19 10:25:00,COW_007,0.0029,38.96,0,75.4,36.49,41.71,0,-34.642626,-60.968103,10.8,0.13
subclinica,subclinica,2026-03-19 10:30:00,COW_007,0.0035,39.18,1,60.4,41.04,47.45,0,-34.642626,-60.968104,156.7,1.88
subclinica,subclinica,2026-03-19 10:35:00,COW_007,0.0041,39.34,0,62.3,33.66,38.86,0,-34.642625,-60.968103,160.8,1.93
subclinica,subclinica,2026-03-19 10:40:00,COW_007,0.0046,38.72,1,65.3,43.43,48.39,0,-34.642624,-60.968104,128.3,1.54
subclinica,subclinica,2026-03-19 10:45:00,COW_007,0.0052,39.01,1,69.3,37.03,45.51,0,-34.642624,-60.968104,42.5,0.51
subclinica,subclinica,2026-03-19 10:50:00,COW_007,0.0058,39.39,1,72.1,34.64,49.37,0,-34.642624,-60.968105,61.7,0.74
subclinica,subclinica,2026-03-19 10:55:00,COW_007,0.0064,38.25,1,63.7,36.18,48.06,0,-34.642625,-60.968105,105.0,1.26
