label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
subclinica,subclinica,2026-03-19 10:00:00,COW_008,0.0,38.84,1,76.4,37.2,47.55,0,-34.621829,-60.884167,185.8,2.23
subclinica,subclinica,2026-03-19 10:05:00,COW_008,0.0006,38.86,1,62.5,42.91,58.03,0,-34.621829,-60.884168,82.5,0.99
subclinica,subclinica,2026-03-19 10:10:00,COW_008,0.0012,38.52,1,73.0,39.83,44.93,0,-34.621829,-60.884167,61.7,0.74
subclinica,subclinica,2026-03-19 10:15:00,COW_008,0.0017,38.63,1,64.6,40.87,45.72,0,-34.621829,-60.884167,64.2,0.77
subclinica,subclinica,2026-03-19 10:20:00,COW_008,0.0023,38.43,1,65.5,35.1,38.95,0,-34.621828,-60.884168,75.0,0.9
subclinica,subclinica,2026-03-19 10:25:00,COW_008,0.0029,38.33,1,65.7,35.49,48.72,0,-34.621828,-60.884167,100.8,1.21
subclinica,subclinica,2026-03-19 10:30:00,COW_008,0.0035,39.32,1,67.6,34.62,41.34,0,-34.621828,-60.884168,38.3,0.46
subclinica,subclinica,2026-03-19 10:35:00,COW_008,0.0041,38.41,1,62.8,41.44,48.21,0,-34.621828,-60.884167,54.2,0.65
subclinica,subclinica,2026-03-19 10:40:00,COW_008,0.0046,38.65,1,69.7,43.84,48.44,0,-34.621828,-60.884168,108.3,1.3
subclinica,subclinica,2026-03-19 10:45:00,COW_008,0.0052,39.03,1,85.4,32.18,38.0,0,-34.621828,-60.884168,0.0,0.0
subclinica,subclinica,2026-03-19 10:50:00,COW_008,0.0058,38.5,1,67.4,34.07,49.29,0,-34.621828,-60.884169,145.8,1.75
subclinica,subclinica,2026-03-19 10:55:00,COW_008,0.0064,38.65,1,58.3,34.2,38.47,0,-34.621828,-60.884169,52.5,0.63
subclinica,subclinica,2026-03-19 11:00:00,COW_008,0.0069,38.43,0,67.8,36.79,53.29,0,-34.621826,-60.884169,150.8,1.81
subclinica,subclinica,2026-03-19 11:05:00,COW_008,0.0075,38.38,1,66.2,30.99,36.09,0,-34.621826,-60.884169,18.3,0.22
subclinica,subclinica,2026-03-19 11:10:00,COW_008,0.0081,39.47,0,64.6,32.0,44.68,0,-34.621826,-60.884169,39.2,0.47
subclinica,subclinica,2026-03-19 11:15:00,COW_008,0.0087,39.13,1,84.8,30.78,34.26,0,-34.621826,-60.884169,0.0,0.0
subclinica,subclinica,2026-03-19 11:20:00,COW_008,0.0093,38.53,0,68.9,41.12,56.99,0,-34.621825,-60.884169,160.8,1.93
subclinica,subclinica,2026-03-19 11:25:00,COW_008,0.0098,38.79,1,68.1,36.96,48.97,0,-34.621824,-60.884169,72.5,0.87
subclinica,subclinica,2026-03-19 11:30:00,COW_008,0.0104,38.78,1,63.2,39.22,49.43,0,-34.621824,-60.884169,87.5,1.05
subclinica,subclinica,2026-03-19 11:35:00,COW_008,0.011,39.32,1,58.3,45.45,53.16,0,-34.621824,-60.884169,0.0,0.0
subclinica,subclinica,2026-03-19 11:40:00,COW_008,0.0116,38.39,0,57.5,32.36,45.88,0,-34.621824,-60.88417,65.8,0.79
subclinica,subclinica,2026-03-19 11:45:00,COW_008,0.0122,39.01,0,56.8,31.51,35.35,0,-34.621824,-60.88417,63.3,0.76
subclinica,subclinica,2026-03-19 11:50:00,COW_008,0.0127,39.21,0,69.3,43.66,49.8,0,-34.621824,-60.88417,15.8,0.19
subclinica,subclinica,2026-03-19 11:55:00,COW_008,0.0133,38.76,0,58.2,34.47,45.45,0,-34.621824,-60.88417,38.3,0.46
subclinica,subclinica,2026-03-19 12:00:00,COW_008,0.0139,38.84,0,68.9,40.68,46.19,0,-34.621824,-60.88417,49.2,0.59
subclinica,subclinica,2026-03-19 12:05:00,COW_008,0.0145,38.3,1,75.0,29.59,40.16,0,-34.621824,-60.88417,67.5,0.81
subclinica,subclinica,2026-03-19 12:10:00,COW_008,0.015,38.49,1,75.8,42.05,54.66,0,-34.621824,-60.88417,54.2,0.65
subclinica,subclinica,2026-03-19 12:15:00,COW_008,0.0156,38.2,1,64.9,35.93,52.06,0,-34.621824,-60.88417,45.0,0.54
subclinica,subclinica,2026-03-19 12:20:00,COW_008,0.0162,38.79,1,70.4,39.06,56.11,0,-34.621824,-60.88417,12.5,0.15
subclinica,subclinica,2026-03-19 12:25:00,COW_008,0.0168,38.78,1,63.4,37.21,42.14,0,-34.621824,-60.88417,14.2,0.17
subclinica,subclinica,2026-03-19 12:30:00,COW_008,0.0174,39.05,1,72.8,36.87,46.11,0,-34.621824,-60.88417,46.7,0.56
subclinica,subclinica,2026-03-19 12:35:00,COW_008,0.0179,38.4,1,58.6,41.38,56.02,0,-34.621824,-60.88417,86.7,1.04
subclinica,subclinica,2026-03-19 12:40:00,COW_008,0.0185,38.86,0,79.6,34.76,43.96,1,-34.621824,-60.88417,79.2,0.95
subclinica,subclinica,2026-03-19 12:45:00,COW_008,0.0191,38.9,0,60.0,30.57,39.25,0,-34.621824,-60.88417,3.3,0.04
subclinica,subclinica,2026-03-19 12:50:00,COW_008,0.0197,38.47,0,68.5,41.02,46.47,0,-34.621824,-60.88417,10.8,0.13
subclinica,subclinica,2026-03-19 12:55:00,COW_008,0.0203,38.6,1,63.7,37.59,50.01,0,-34.621823,-60.884169,81.7,0.98
subclinica,subclinica,2026-03-19 13:00:00,COW_008,0.0208,39.09,0,74.8,30.78,39.64,1,-34.621823,-60.884169,84.2,1.01
subclinica,subclinica,2026-03-19 13:05:00,COW_008,0.0214,39.0,1,58.4,44.78,56.57,0,-34.621823,-60.884169,87.5,1.05
subclinica,subclinica,2026-03-19 13:10:00,COW_008,0.022,38.7,0,65.6,40.59,49.25,0,-34.621822,-60.884168,121.7,1.46
subclinica,subclinica,2026-03-19 13:15:00,COW_008,0.0226,38.88,1,69.5,34.5,40.92,0,-34.621822,-60.884169,106.7,1.28
subclinica,subclinica,2026-03-19 13:20:00,COW_008,0.0231,38.77,1,67.3,44.92,55.44,0,-34.621822,-60.884169,2.5,0.03
subclinica,subclinica,2026-03-19 13:25:00,COW_008,0.0237,38.55,1,66.5,39.16,43.61,0,-34.621822,-60.884169,95.0,1.14
subclinica,subclinica,2026-03-19 13:30:00,COW_008,0.0243,38.87,0,74.1,43.13,48.81,0,-34.621823,-60.884169,123.3,1.48
subclinica,subclinica,2026-03-19 13:35:00,COW_008,0.0249,38.86,0,64.9,39.67,47.45,0,-34.621823,-60.884169,47.5,0.57
subclinica,subclinica,2026-03-19 13:40:00,COW_008,0.0255,38.38,1,55.6,39.06,43.62,0,-34.621823,-60.884169,90.0,1.08
subclinica,subclinica,2026-03-19 13:45:00,COW_008,0.026,38.6,1,60.7,43.56,61.51,0,-34.621822,-60.884168,85.8,1.03
subclinica,subclinica,2026-03-19 13:50:00,COW_008,0.0266,38.8,0,61.0,50.24,69.3,1,-34.621822,-60.884169,10.8,0.13
subclinica,subclinica,2026-03-19 13:55:00,COW_008,0.0272,38.26,1,57.2,41.28,55.56,0,-34.621822,-60.884169,72.5,0.87
subclinica,subclinica,2026-03-19 14:00:00,COW_008,0.0278,39.04,1,71.9,34.15,49.46,0,-34.621822,-60.884169,37.5,0.45
subclinica,subclinica,2026-03-19 14:05:00,COW_008,0.0284,38.77,1,51.9,43.61,58.94,1,-34.621822,-60.884169,71.7,0.86
subclinica,subclinica,2026-03-19 14:10:00,COW_008,0.0289,38.68,1,79.5,31.92,36.07,0,-34.621822,-60.884169,15.8,0.19
subclinica,subclinica,2026-03-19 14:15:00,COW_008,0.0295,39.42,1,69.9,37.9,44.12,0,-34.621822,-60.884168,100.8,1.21
subclinica,subclinica,2026-03-19 14:20:00,COW_008,0.0301,38.28,0,65.6,30.5,41.7,0,-34.621823,-60.884168,81.7,0.98
subclinica,subclinica,2026-03-19 14:25:00,COW_008,0.0307,39.45,0,64.3,39.29,56.58,0,-34.621823,-60.884168,30.0,0.36
subclinica,subclinica,2026-03-19 14:30:00,COW_008,0.0312,38.4,1,67.3,37.94,44.16,0,-34.621822,-60.884168,54.2,0.65
subclinica,subclinica,2026-03-19 14:35:00,COW_008,0.0318,38.13,0,65.1,33.25,41.62,0,-34.621822,-60.884169,108.3,1.3
subclinica,subclinica,2026-03-19 14:40:00,COW_008,0.0324,37.99,1,60.4,44.42,50.13,0,-34.621822,-60.884169,19.2,0.23
subclinica,subclinica,2026-03-19 14:45:00,COW_008,0.033,37.82,0,65.6,40.97,50.98,0,-34.621821,-60.884168,134.2,1.61
subclinica,subclinica,2026-03-19 14:50:00,COW_008,0.0336,38.95,0,66.4,29.3,35.67,0,-34.621822,-60.884169,139.2,1.67
subclinica,subclinica,2026-03-19 14:55:00,COW_008,0.0341,38.36,0,65.5,40.18,55.01,0,-34.621822,-60.884169,58.3,0.7
subclinica,subclinica,2026-03-19 15:00:00,COW_008,0.0347,,0,64.2,39.48,46.09,0,-34.621822,-60.884169,67.5,0.81
subclinica,subclinica,2026-03-19 15:05:00,COW_008,0.0353,38.63,1,72.7,35.86,43.17,0,-34.621822,-60.884168,124.2,1.49
subclinica,subclinica,2026-03-19 15:10:00,COW_008,0.0359,39.32,1,71.0,31.47,39.24,1,-34.621821,-60.884168,127.5,1.53
subclinica,subclinica,2026-03-19 15:15:00,COW_008,0.0365,38.61,0,66.4,33.44,43.84,0,-34.621821,-60.884169,108.3,1.3
subclinica,subclinica,2026-03-19 15:20:00,COW_008,0.037,38.19,1,70.6,31.52,43.89,0,-34.621821,-60.884169,22.5,0.27
subclinica,subclinica,2026-03-19 15:25:00,COW_008,0.0376,38.29,1,62.1,38.24,53.88,0,-34.621821,-60.88417,138.3,1.66
subclinica,subclinica,2026-03-19 15:30:00,COW_008,0.0382,38.69,1,73.8,39.81,45.59,0,-34.621821,-60.884171,80.0,0.96
subclinica,subclinica,2026-03-19 15:35:00,COW_008,0.0388,38.76,1,61.6,42.2,57.86,0,-34.621822,-60.884171,86.7,1.04
subclinica,subclinica,2026-03-19 15:40:00,COW_008,0.0394,38.61,1,77.9,35.49,42.32,0,-34.621822,-60.884171,142.5,1.71
subclinica,subclinica,2026-03-19 15:45:00,COW_008,0.0399,38.74,0,78.1,41.35,58.69,0,-34.621822,-60.884171,47.5,0.57
subclinica,subclinica,2026-03-19 15:50:00,COW_008,0.0405,39.14,1,63.6,39.17,54.37,0,-34.621822,-60.884169,253.3,3.04
subclinica,subclinica,2026-03-19 15:55:00,COW_008,0.0411,38.42,0,69.7,41.4,52.06,0,-34.621822,-60.88417,95.8,1.15
subclinica,subclinica,2026-03-19 16:00:00,COW_008,0.0417,38.73,1,64.0,37.23,51.42,0,-34.621822,-60.884169,120.0,1.44
subclinica,subclinica,2026-03-19 16:05:00,COW_008,0.0422,38.85,0,68.4,33.87,42.05,0,-34.621822,-60.884169,85.0,1.02
subclinica,subclinica,2026-03-19 16:10:00,COW_008,0.0428,39.12,1,60.2,46.32,59.42,0,-34.621822,-60.884169,35.8,0.43
subclinica,subclinica,2026-03-19 16:15:00,COW_008,0.0434,38.43,1,68.7,32.84,37.66,0,-34.621822,-60.884169,30.0,0.36
subclinica,subclinica,2026-03-19 16:20:00,COW_008,0.044,38.85,1,69.2,39.26,49.61,0,-34.621823,-60.884171,125.0,1.5
subclinica,subclinica,2026-03-19 16:25:00,COW_008,0.0446,39.05,1,62.0,41.68,54.53,0,-34.621823,-60.884171,35.0,0.42
subclinica,subclinica,2026-03-19 16:30:00,COW_008,0.0451,38.82,1,61.9,37.79,54.58,0,-34.621822,-60.884171,122.5,1.47
subclinica,subclinica,2026-03-19 16:35:00,COW_008,0.0457,38.6,1,69.1,21.6,27.1,0,-34.621822,-60.884171,172.5,2.07
subclinica,subclinica,2026-03-19 16:40:00,COW_008,0.0463,,1,71.7,33.54,37.4,1,-34.621822,-60.88417,122.5,1.47
subclinica,subclinica,2026-03-19 16:45:00,COW_008,0.0469,38.88,1,76.9,37.5,43.89,0,-34.621823,-60.884171,107.5,1.29
subclinica,subclinica,2026-03-19 16:50:00,COW_008,0.0475,39.06,0,65.4,40.36,57.88,0,-34.621823,-60.88417,64.2,0.77
subclinica,subclinica,2026-03-19 16:55:00,COW_008,0.048,38.94,0,64.9,36.58,48.59,0,-34.621823,-60.884171,86.7,1.04
subclinica,subclinica,2026-03-19 17:00:00,COW_008,0.0486,39.39,1,71.7,34.93,46.01,0,-34.621823,-60.884171,41.7,0.5
subclinica,subclinica,2026-03-19 17:05:00,COW_008,0.0492,39.13,1,74.2,43.98,57.8,0,-34.621822,-60.884171,140.0,1.68
subclinica,subclinica,2026-03-19 17:10:00,COW_008,0.0498,39.34,1,72.0,38.24,53.37,0,-34.621822,-60.884171,111.7,1.34
subclinica,subclinica,2026-03-19 17:15:00,COW_008,0.0503,38.41,1,65.6,40.86,52.32,0,-34.621823,-60.88417,88.3,1.06
subclinica,subclinica,2026-03-19 17:20:00,COW_008,0.0509,38.34,1,59.1,41.04,55.35,0,-34.621823,-60.88417,75.0,0.9
subclinica,subclinica,2026-03-19 17:25:00,COW_008,0.0515,38.31,1,65.0,32.79,43.11,0,-34.621823,-60.884171,144.2,1.73
subclinica,subclinica,2026-03-19 17:30:00,COW_008,0.0521,38.66,1,61.2,31.85,44.02,0,-34.621824,-60.884172,169.2,2.03
subclinica,subclinica,2026-03-19 17:35:00,COW_008,0.0527,38.45,1,68.1,30.39,42.36,0,-34.621824,-60.884173,159.2,1.91
subclinica,subclinica,2026-03-19 17:40:00,COW_008,0.0532,38.4,1,64.3,30.26,42.3,0,-34.621824,-60.884173,90.0,1.08
subclinica,subclinica,2026-03-19 17:45:00,COW_008,0.0538,38.56,0,67.6,28.33,39.08,0,-34.621824,-60.884173,59.2,0.71
subclinica,subclinica,2026-03-19 17:50:00,COW_008,0.0544,38.34,1,60.0,46.45,55.06,0,-34.621824,-60.884174,95.8,1.15
subclinica,subclinica,2026-03-19 17:55:00,COW_008,0.055,38.46,1,75.4,26.11,35.09,0,-34.621824,-60.884174,95.8,1.15
subclinica,subclinica,2026-03-19 18:00:00,COW_008,0.0556,38.43,1,67.3,39.15,50.81,0,-34.621823,-60.884174,155.8,1.87
subclinica,subclinica,2026-03-19 18:05:00,COW_008,0.0561,38.76,1,67.4,48.2,57.48,0,-34.621823,-60.884174,82.5,0.99
subclinica,subclinica,2026-03-19 18:10:00,COW_008,0.0567,38.41,1,59.5,47.19,53.17,0,-34.621822,-60.884173,153.3,1.84
subclinica,subclinica,2026-03-19 18:15:00,COW_008,0.0573,39.13,1,61.4,40.41,54.23,0,-34.621822,-60.884173,22.5,0.27
subclinica,subclinica,2026-03-19 18:20:00,COW_008,0.0579,38.9,1,66.8,40.56,57.24,0,-34.621822,-60.884173,26.7,0.32
subclinica,subclinica,2026-03-19 18:25:00,COW_008,0.0584,39.23,0,66.0,32.96,40.42,0,-34.621822,-60.884173,63.3,0.76
subclinica,subclinica,2026-03-19 18:30:00,COW_008,0.059,39.0,1,71.7,31.27,35.73,0,-34.621822,-60.884172,110.8,1.33
subclinica,subclinica,2026-03-19 18:35:00,COW_008,0.0596,38.89,0,58.5,38.84,49.0,0,-34.621823,-60.884172,100.0,1.2
subclinica,subclinica,2026-03-19 18:40:00,COW_008,0.0602,38.64,1,66.2,41.87,50.94,0,-34.621823,-60.884172,144.2,1.73
subclinica,subclinica,2026-03-19 18:45:00,COW_008,0.0608,39.17,1,70.7,35.1,41.89,0,-34.621822,-60.884172,95.8,1.15
