label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
mastitis,mastitis,2026-03-19 10:00:00,COW_012,0.0,39.99,0,86.5,16.08,22.69,0,-34.589289,-60.904388,79.2,0.95
mastitis,mastitis,2026-03-19 10:05:00,COW_012,0.0006,,0,83.1,11.43,14.93,0,-34.589289,-60.904388,8.3,0.1
mastitis,mastitis,2026-03-19 10:10:00,COW_012,0.0012,39.96,0,87.0,24.53,29.4,1,-34.589289,-60.904388,12.5,0.15
mastitis,mastitis,2026-03-19 10:15:00,COW_012,0.0017,39.7,1,90.3,24.58,31.17,0,-34.589289,-60.904388,25.8,0.31
mastitis,mastitis,2026-03-19 10:20:00,COW_012,0.0023,39.9,0,85.7,20.45,29.16,0,-34.589289,-60.904388,5.0,0.06
mastitis,mastitis,2026-03-19 10:25:00,COW_012,0.0029,40.47,0,79.5,21.12,29.4,1,-34.589289,-60.904388,22.5,0.27
mastitis,mastitis,2026-03-19 10:30:00,COW_012,0.0035,40.23,0,85.9,26.99,30.97,0,-34.589289,-60.904388,0.0,0.0
mastitis,mastitis,2026-03-19 10:35:00,COW_012,0.0041,39.92,0,90.4,27.86,32.85,0,-34.589289,-60.904388,0.0,0.0
mastitis,mastitis,2026-03-19 10:40:00,COW_012,0.0046,39.97,0,79.1,20.63,29.64,1,-34.589289,-60.904388,0.0,0.0
mastitis,mastitis,2026-03-19 10:45:00,COW_012,0.0052,40.59,1,78.6,23.93,33.46,1,-34.58929,-60.904388,39.2,0.47
mastitis,mastitis,2026-03-19 10:50:00,COW_012,0.0058,40.27,0,83.5,24.83,32.58,1,-34.58929,-60.904388,78.3,0.94
mastitis,mastitis,2026-03-19 10:55:00,COW_012,0.0064,40.6,0,73.8,32.18,44.39,0,-34.58929,-60.904388,0.0,0.0
mastitis,mastitis,2026-03-19 11:00:00,COW_012,0.0069,39.85,0,84.1,20.28,27.03,0,-34.589289,-60.904388,50.8,0.61
mastitis,mastitis,2026-03-19 11:05:00,COW_012,0.0075,39.81,0,81.8,28.01,34.45,1,-34.589289,-60.904388,3.3,0.04
mastitis,mastitis,2026-03-19 11:10:00,COW_012,0.0081,39.55,0,78.8,19.03,23.53,0,-34.589289,-60.904388,51.7,0.62
mastitis,mastitis,2026-03-19 11:15:00,COW_012,0.0087,39.32,0,76.3,20.41,25.09,0,-34.58929,-60.904389,90.8,1.09
mastitis,mastitis,2026-03-19 11:20:00,COW_012,0.0093,39.97,0,87.5,16.45,21.21,0,-34.58929,-60.904389,0.0,0.0
mastitis,mastitis,2026-03-19 11:25:00,COW_012,0.0098,39.75,0,72.3,10.43,14.74,0,-34.58929,-60.904389,0.0,0.0
mastitis,mastitis,2026-03-19 11:30:00,COW_012,0.0104,39.28,0,76.8,29.45,42.41,0,-34.58929,-60.904388,19.2,0.23
mastitis,mastitis,2026-03-19 11:35:00,COW_012,0.011,40.16,1,91.0,16.6,20.7,0,-34.589289,-60.904388,26.7,0.32
mastitis,mastitis,2026-03-19 11:40:00,COW_012,0.0116,39.89,0,85.6,21.85,26.47,1,-34.589289,-60.904388,55.8,0.67
mastitis,mastitis,2026-03-19 11:45:00,COW_012,0.0122,40.1,0,85.7,17.9,24.51,0,-34.589289,-60.904388,0.0,0.0
