label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
mastitis,mastitis,2026-03-19 10:00:00,COW_015,0.0,38.57,0,64.5,36.51,44.99,1,-34.63598,-60.896141,68.3,0.82
mastitis,mastitis,2026-03-19 10:05:00,COW_015,0.0006,38.17,1,64.1,35.29,45.36,0,-34.63598,-60.896141,18.3,0.22
mastitis,mastitis,2026-03-19 10:10:00,COW_015,0.0012,38.58,1,62.7,40.91,51.33,0,-34.63598,-60.896141,107.5,1.29
mastitis,mastitis,2026-03-19 10:15:00,COW_015,0.0017,38.28,0,58.9,44.34,54.11,0,-34.63598,-60.896142,58.3,0.7
mastitis,mastitis,2026-03-19 10:20:00,COW_015,0.0023,38.67,0,69.5,35.45,41.26,0,-34.63598,-60.896142,0.0,0.0
mastitis,mastitis,2026-03-19 10:25:00,COW_015,0.0029,38.86,0,71.2,37.63,48.21,0,-34.63598,-60.896142,9.2,0.11
mastitis,mastitis,2026-03-19 10:30:00,COW_015,0.0035,37.99,0,61.8,45.62,65.61,1,-34.63598,-60.896142,128.3,1.54
mastitis,mastitis,2026-03-19 10:35:00,COW_015,0.0041,39.32,0,71.2,48.73,55.03,0,-34.635979,-60.896142,57.5,0.69
mastitis,mastitis,2026-03-19 10:40:00,COW_015,0.0046,38.12,0,63.4,43.65,58.23,0,-34.635979,-60.896142,17.5,0.21
mastitis,mastitis,2026-03-19 10:45:00,COW_015,0.0052,37.88,1,59.7,40.52,53.08,0,-34.635979,-60.896142,87.5,1.05
mastitis,mastitis,2026-03-19 10:50:00,COW_015,0.0058,38.67,0,76.3,39.5,47.7,1,-34.635979,-60.896142,0.0,0.0
mastitis,mastitis,2026-03-19 10:55:00,COW_015,0.0064,38.88,1,47.5,36.05,41.44,0,-34.635979,-60.896142,67.5,0.81
mastitis,mastitis,2026-03-19 11:00:00,COW_015,0.0069,38.54,0,69.5,43.56,62.2,0,-34.635979,-60.896142,78.3,0.94
mastitis,mastitis,2026-03-19 11:05:00,COW_015,0.0075,38.53,0,64.3,36.96,48.44,0,-34.635979,-60.896142,81.7,0.98
mastitis,mastitis,2026-03-19 11:10:00,COW_015,0.0081,38.5,1,65.9,43.91,58.85,0,-34.63598,-60.896143,81.7,0.98
mastitis,mastitis,2026-03-19 11:15:00,COW_015,0.0087,38.57,0,61.4,38.26,54.08,1,-34.63598,-60.896143,2.5,0.03
mastitis,mastitis,2026-03-19 11:20:00,COW_015,0.0093,38.75,0,68.9,42.14,48.44,1,-34.63598,-60.896143,80.8,0.97
mastitis,mastitis,2026-03-19 11:25:00,COW_015,0.0098,37.91,0,69.1,36.07,41.09,0,-34.63598,-60.896143,148.3,1.78
mastitis,mastitis,2026-03-19 11:30:00,COW_015,0.0104,38.99,0,68.6,41.17,46.86,1,-34.63598,-60.896143,18.3,0.22
mastitis,mastitis,2026-03-19 11:35:00,COW_015,0.011,38.59,0,71.3,39.98,50.26,0,-34.63598,-60.896143,90.8,1.09
mastitis,mastitis,2026-03-19 11:40:00,COW_015,0.0116,38.23,1,62.6,39.47,55.95,1,-34.63598,-60.896143,55.8,0.67
mastitis,mastitis,2026-03-19 11:45:00,COW_015,0.0122,39.15,0,70.3,44.1,51.05,0,-34.63598,-60.896143,0.0,0.0
mastitis,mastitis,2026-03-19 11:50:00,COW_015,0.0127,38.81,0,66.5,36.84,45.58,0,-34.63598,-60.896143,46.7,0.56
mastitis,mastitis,2026-03-19 11:55:00,COW_015,0.0133,38.21,0,64.3,45.33,57.45,0,-34.63598,-60.896142,45.8,0.55
mastitis,mastitis,2026-03-19 12:00:00,COW_015,0.0139,38.78,0,59.5,45.23,50.68,1,-34.63598,-60.896142,22.5,0.27
mastitis,mastitis,2026-03-19 12:05:00,COW_015,0.0145,38.57,0,69.6,39.45,49.72,1,-34.63598,-60.896142,50.8,0.61
mastitis,mastitis,2026-03-19 12:10:00,COW_015,0.015,39.36,0,76.6,41.55,47.65,1,-34.63598,-60.896142,78.3,0.94
mastitis,mastitis,2026-03-19 12:15:00,COW_015,0.0156,39.18,0,71.1,44.21,59.73,1,-34.63598,-60.896142,55.0,0.66
mastitis,mastitis,2026-03-19 12:20:00,COW_015,0.0162,38.51,1,72.0,39.97,51.29,0,-34.63598,-60.896142,0.0,0.0
mastitis,mastitis,2026-03-19 12:25:00,COW_015,0.0168,38.53,0,73.6,44.4,59.87,0,-34.63598,-60.896142,4.2,0.05
mastitis,mastitis,2026-03-19 12:30:00,COW_015,0.0174,38.42,0,65.1,39.36,54.86,0,-34.63598,-60.896142,0.0,0.0
mastitis,mastitis,2026-03-19 12:35:00,COW_015,0.0179,38.49,0,67.2,35.11,44.25,0,-34.63598,-60.896142,22.5,0.27
mastitis,mastitis,2026-03-19 12:40:00,COW_015,0.0185,38.64,1,63.0,57.94,65.21,0,-34.63598,-60.896142,50.8,0.61
mastitis,mastitis,2026-03-19 12:45:00,COW_015,0.0191,39.38,0,70.6,40.18,49.24,1,-34.63598,-60.896142,45.0,0.54
mastitis,mastitis,2026-03-19 12:50:00,COW_015,0.0197,38.8,0,61.2,41.46,59.85,1,-34.63598,-60.896143,106.7,1.28
mastitis,mastitis,2026-03-19 12:55:00,COW_015,0.0203,38.36,0,74.0,43.5,49.42,0,-34.63598,-60.896143,14.2,0.17
mastitis,mastitis,2026-03-19 13:00:00,COW_015,0.0208,38.65,0,59.5,36.32,40.88,0,-34.63598,-60.896144,98.3,1.18
mastitis,mastitis,2026-03-19 13:05:00,COW_015,0.0214,38.68,1,62.3,38.09,42.87,0,-34.63598,-60.896143,99.2,1.19
mastitis,mastitis,2026-03-19 13:10:00,COW_015,0.022,38.7,1,68.1,28.83,41.52,0,-34.63598,-60.896143,0.0,0.0
mastitis,mastitis,2026-03-19 13:15:00,COW_015,0.0226,38.77,0,72.4,32.06,39.36,1,-34.635981,-60.896144,168.3,2.02
mastitis,mastitis,2026-03-19 13:20:00,COW_015,0.0231,38.53,1,54.4,39.1,50.95,1,-34.635981,-60.896144,0.0,0.0
mastitis,mastitis,2026-03-19 13:25:00,COW_015,0.0237,38.98,0,45.2,33.25,47.83,0,-34.635981,-60.896144,68.3,0.82
mastitis,mastitis,2026-03-19 13:30:00,COW_015,0.0243,38.66,0,58.6,37.77,41.72,1,-34.63598,-60.896144,77.5,0.93
mastitis,mastitis,2026-03-19 13:35:00,COW_015,0.0249,38.88,1,67.6,47.53,55.3,0,-34.63598,-60.896144,0.0,0.0
mastitis,mastitis,2026-03-19 13:40:00,COW_015,0.0255,39.19,0,54.0,34.88,42.92,0,-34.63598,-60.896144,18.3,0.22
mastitis,mastitis,2026-03-19 13:45:00,COW_015,0.026,39.24,0,64.3,34.7,50.16,0,-34.63598,-60.896145,80.0,0.96
mastitis,mastitis,2026-03-19 13:50:00,COW_015,0.0266,37.42,1,65.6,40.57,58.07,0,-34.63598,-60.896145,9.2,0.11
mastitis,mastitis,2026-03-19 13:55:00,COW_015,0.0272,37.83,0,54.2,38.85,49.97,0,-34.63598,-60.896145,0.0,0.0
mastitis,mastitis,2026-03-19 14:00:00,COW_015,0.0278,38.77,1,64.0,32.77,46.38,0,-34.635979,-60.896144,34.2,0.41
mastitis,mastitis,2026-03-19 14:05:00,COW_015,0.0284,38.53,0,81.0,42.59,60.45,0,-34.635979,-60.896145,70.0,0.84
mastitis,mastitis,2026-03-19 14:10:00,COW_015,0.0289,39.44,0,68.4,42.36,50.89,0,-34.635979,-60.896145,123.3,1.48
mastitis,mastitis,2026-03-19 14:15:00,COW_015,0.0295,38.76,0,66.5,35.14,49.34,0,-34.635979,-60.896145,17.5,0.21
mastitis,mastitis,2026-03-19 14:20:00,COW_015,0.0301,39.33,0,66.0,36.47,48.28,0,-34.635979,-60.896145,144.2,1.73
mastitis,mastitis,2026-03-19 14:25:00,COW_015,0.0307,38.49,0,63.6,37.68,42.46,0,-34.635979,-60.896145,0.0,0.0
mastitis,mastitis,2026-03-19 14:30:00,COW_015,0.0312,38.59,1,69.8,39.55,44.35,1,-34.635979,-60.896145,50.0,0.6
mastitis,mastitis,2026-03-19 14:35:00,COW_015,0.0318,39.18,0,73.3,47.78,61.99,1,-34.635979,-60.896145,0.0,0.0
mastitis,mastitis,2026-03-19 14:40:00,COW_015,0.0324,38.79,0,65.4,45.2,50.27,0,-34.635979,-60.896146,69.2,0.83
mastitis,mastitis,2026-03-19 14:45:00,COW_015,0.033,38.84,0,77.7,36.95,43.43,0,-34.635979,-60.896146,53.3,0.64
mastitis,mastitis,2026-03-19 14:50:00,COW_015,0.0336,38.83,0,79.1,37.43,42.16,0,-34.635979,-60.896146,11.7,0.14
mastitis,mastitis,2026-03-19 14:55:00,COW_015,0.0341,38.42,1,59.0,52.46,68.95,0,-34.63598,-60.896145,76.7,0.92
mastitis,mastitis,2026-03-19 15:00:00,COW_015,0.0347,38.51,1,59.3,46.74,58.4,1,-34.63598,-60.896145,40.8,0.49
mastitis,mastitis,2026-03-19 15:05:00,COW_015,0.0353,38.56,0,65.3,42.38,60.02,0,-34.635979,-60.896145,60.8,0.73
mastitis,mastitis,2026-03-19 15:10:00,COW_015,0.0359,38.46,0,71.7,38.7,48.59,0,-34.635979,-60.896145,0.0,0.0
mastitis,mastitis,2026-03-19 15:15:00,COW_015,0.0365,38.45,1,62.9,40.65,57.15,0,-34.635979,-60.896145,106.7,1.28
mastitis,mastitis,2026-03-19 15:20:00,COW_015,0.037,38.72,1,57.4,37.65,43.43,0,-34.63598,-60.896146,127.5,1.53
mastitis,mastitis,2026-03-19 15:25:00,COW_015,0.0376,38.46,1,60.4,43.72,53.78,0,-34.63598,-60.896146,155.0,1.86
mastitis,mastitis,2026-03-19 15:30:00,COW_015,0.0382,39.22,0,68.7,30.3,42.57,0,-34.635981,-60.896146,60.0,0.72
mastitis,mastitis,2026-03-19 15:35:00,COW_015,0.0388,38.08,0,62.2,26.74,36.91,0,-34.635981,-60.896145,95.0,1.14
mastitis,mastitis,2026-03-19 15:40:00,COW_015,0.0394,38.63,1,73.8,38.27,43.29,1,-34.635981,-60.896146,134.2,1.61
mastitis,mastitis,2026-03-19 15:45:00,COW_015,0.0399,38.96,1,77.5,31.7,44.87,0,-34.635981,-60.896146,45.8,0.55
mastitis,mastitis,2026-03-19 15:50:00,COW_015,0.0405,38.86,0,61.5,29.82,33.0,1,-34.635981,-60.896146,29.2,0.35
mastitis,mastitis,2026-03-19 15:55:00,COW_015,0.0411,38.7,0,70.0,33.76,38.25,0,-34.635981,-60.896145,76.7,0.92
mastitis,mastitis,2026-03-19 16:00:00,COW_015,0.0417,38.38,1,63.9,45.06,58.42,0,-34.635981,-60.896146,68.3,0.82
