label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
celo,celo,2026-03-19 10:00:00,COW_016,0.0,38.86,1,64.5,41.66,48.84,1,-34.579702,-60.941233,360.0,4.32
celo,celo,2026-03-19 10:05:00,COW_016,0.0006,38.93,0,78.4,41.67,55.8,0,-34.579703,-60.941232,358.3,4.3
celo,celo,2026-03-19 10:10:00,COW_016,0.0012,38.72,0,84.2,32.89,42.04,1,-34.579703,-60.941232,284.2,3.41
celo,celo,2026-03-19 10:15:00,COW_016,0.0017,38.39,1,70.4,37.31,53.75,0,-34.579702,-60.941232,330.8,3.97
celo,celo,2026-03-19 10:20:00,COW_016,0.0023,38.9,0,73.9,43.8,50.11,1,-34.579699,-60.941234,299.2,3.59
celo,celo,2026-03-19 10:25:00,COW_016,0.0029,38.99,1,71.9,47.81,61.85,1,-34.579697,-60.941234,344.2,4.13
celo,celo,2026-03-19 10:30:00,COW_016,0.0035,38.77,0,65.6,45.44,64.1,1,-34.579697,-60.941231,360.0,4.32
celo,celo,2026-03-19 10:35:00,COW_016,0.0041,38.86,1,76.4,41.27,57.83,0,-34.579695,-60.94123,335.0,4.02
celo,celo,2026-03-19 10:40:00,COW_016,0.0046,38.5,0,75.6,34.39,40.84,0,-34.579697,-60.941229,272.5,3.27
celo,celo,2026-03-19 10:45:00,COW_016,0.0052,38.63,1,65.3,35.32,48.34,0,-34.579698,-60.94123,281.7,3.38
celo,celo,2026-03-19 10:50:00,COW_016,0.0058,38.89,1,77.1,44.5,49.59,0,-34.579699,-60.94123,232.5,2.79
celo,celo,2026-03-19 10:55:00,COW_016,0.0064,38.66,1,87.2,27.8,35.21,0,-34.5797,-60.94123,413.3,4.96
celo,celo,2026-03-19 11:00:00,COW_016,0.0069,38.43,1,65.0,50.03,60.25,0,-34.579699,-60.941231,316.7,3.8
celo,celo,2026-03-19 11:05:00,COW_016,0.0075,38.35,1,45.8,41.93,46.53,0,-34.579698,-60.941231,168.3,2.02
celo,celo,2026-03-19 11:10:00,COW_016,0.0081,38.73,1,72.4,41.55,53.53,0,-34.579697,-60.941231,208.3,2.5
celo,celo,2026-03-19 11:15:00,COW_016,0.0087,38.71,1,77.8,37.17,52.37,1,-34.579695,-60.941232,353.3,4.24
celo,celo,2026-03-19 11:20:00,COW_016,0.0093,39.03,1,75.1,37.68,52.93,1,-34.579695,-60.941231,229.2,2.75
celo,celo,2026-03-19 11:25:00,COW_016,0.0098,38.5,1,72.0,46.47,53.91,1,-34.57969,-60.941229,407.5,4.89
celo,celo,2026-03-19 11:30:00,COW_016,0.0104,38.67,0,76.5,36.29,50.58,0,-34.57969,-60.941229,345.8,4.15
celo,celo,2026-03-19 11:35:00,COW_016,0.011,38.47,1,68.6,40.44,49.81,0,-34.579689,-60.941228,202.5,2.43
celo,celo,2026-03-19 11:40:00,COW_016,0.0116,38.01,1,69.6,47.01,65.14,0,-34.579686,-60.941228,346.7,4.16
celo,celo,2026-03-19 11:45:00,COW_016,0.0122,38.39,1,72.1,47.18,52.53,1,-34.579687,-60.941231,315.8,3.79
celo,celo,2026-03-19 11:50:00,COW_016,0.0127,38.8,0,75.9,38.66,51.13,1,-34.579689,-60.94123,275.8,3.31
celo,celo,2026-03-19 11:55:00,COW_016,0.0133,39.11,0,78.1,36.0,42.02,0,-34.579686,-60.94123,256.7,3.08
celo,celo,2026-03-19 12:00:00,COW_016,0.0139,38.75,0,76.3,38.8,53.48,1,-34.579687,-60.941232,305.0,3.66
celo,celo,2026-03-19 12:05:00,COW_016,0.0145,38.94,0,77.2,46.65,58.72,0,-34.579689,-60.941235,343.3,4.12
celo,celo,2026-03-19 12:10:00,COW_016,0.015,39.3,1,73.8,38.95,48.81,1,-34.57969,-60.941234,216.7,2.6
celo,celo,2026-03-19 12:15:00,COW_016,0.0156,39.08,1,75.6,51.86,63.57,0,-34.579689,-60.941233,162.5,1.95
