label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
celo,celo,2026-03-19 10:00:00,COW_019,0.0,38.56,1,74.5,38.92,52.46,0,-34.630383,-60.966407,127.5,1.53
celo,celo,2026-03-19 10:05:00,COW_019,0.0006,38.87,1,69.7,40.04,45.04,0,-34.630383,-60.966407,8.3,0.1
celo,celo,2026-03-19 10:10:00,COW_019,0.0012,38.66,0,53.1,47.65,55.3,0,-34.630383,-60.966408,148.3,1.78
celo,celo,2026-03-19 10:15:00,COW_019,0.0017,38.31,1,66.9,32.85,42.71,0,-34.630383,-60.966407,165.0,1.98
celo,celo,2026-03-19 10:20:00,COW_019,0.0023,37.57,1,74.2,47.05,60.53,0,-34.630384,-60.966408,219.2,2.63
celo,celo,2026-03-19 10:25:00,COW_019,0.0029,39.01,0,60.5,43.94,48.6,0,-34.630384,-60.966409,174.2,2.09
celo,celo,2026-03-19 10:30:00,COW_019,0.0035,39.17,0,71.7,34.06,39.32,0,-34.630384,-60.966409,75.0,0.9
celo,celo,2026-03-19 10:35:00,COW_019,0.0041,38.42,0,58.3,42.47,57.9,0,-34.630384,-60.966409,168.3,2.02
celo,celo,2026-03-19 10:40:00,COW_019,0.0046,37.75,1,77.2,44.01,51.3,0,-34.630384,-60.966408,118.3,1.42
celo,celo,2026-03-19 10:45:00,COW_019,0.0052,38.23,0,60.5,42.49,53.16,0,-34.630384,-60.966408,60.8,0.73
celo,celo,2026-03-19 10:50:00,COW_019,0.0058,38.57,1,70.3,43.34,62.0,0,-34.630384,-60.966408,138.3,1.66
celo,celo,2026-03-19 10:55:00,COW_019,0.0064,38.58,0,70.1,36.45,49.75,0,-34.630386,-60.966409,204.2,2.45
celo,celo,2026-03-19 11:00:00,COW_019,0.0069,38.55,0,69.9,50.33,69.92,0,-34.630387,-60.966408,231.7,2.78
celo,celo,2026-03-19 11:05:00,COW_019,0.0075,38.91,1,85.5,47.23,55.63,0,-34.630386,-60.966408,74.2,0.89
celo,celo,2026-03-19 11:10:00,COW_019,0.0081,38.79,0,61.2,39.27,44.52,0,-34.630386,-60.966408,100.8,1.21
celo,celo,2026-03-19 11:15:00,COW_019,0.0087,38.22,1,66.9,34.04,48.86,0,-34.630386,-60.966408,120.0,1.44
celo,celo,2026-03-19 11:20:00,COW_019,0.0093,38.12,1,69.4,36.87,51.64,0,-34.630386,-60.96641,181.7,2.18
celo,celo,2026-03-19 11:25:00,COW_019,0.0098,38.23,0,68.8,39.96,51.84,1,-34.630386,-60.96641,157.5,1.89
celo,celo,2026-03-19 11:30:00,COW_019,0.0104,37.86,1,51.4,34.46,37.98,1,-34.630386,-60.966411,170.8,2.05
celo,celo,2026-03-19 11:35:00,COW_019,0.011,38.3,1,65.3,39.83,46.23,0,-34.630387,-60.966411,156.7,1.88
celo,celo,2026-03-19 11:40:00,COW_019,0.0116,38.83,1,74.3,43.53,49.99,1,-34.630387,-60.966411,123.3,1.48
celo,celo,2026-03-19 11:45:00,COW_019,0.0122,39.02,1,67.5,44.7,53.87,0,-34.630388,-60.96641,138.3,1.66
celo,celo,2026-03-19 11:50:00,COW_019,0.0127,38.6,1,71.8,44.35,51.26,0,-34.630388,-60.96641,155.0,1.86
celo,celo,2026-03-19 11:55:00,COW_019,0.0133,38.67,0,63.1,36.03,43.87,0,-34.630388,-60.966409,102.5,1.23
celo,celo,2026-03-19 12:00:00,COW_019,0.0139,38.55,0,55.7,38.21,48.85,0,-34.630388,-60.966409,85.8,1.03
celo,celo,2026-03-19 12:05:00,COW_019,0.0145,38.48,1,66.2,34.84,49.35,0,-34.630389,-60.966408,181.7,2.18
celo,celo,2026-03-19 12:10:00,COW_019,0.015,39.12,0,68.7,32.32,42.11,0,-34.630389,-60.966408,125.0,1.5
celo,celo,2026-03-19 12:15:00,COW_019,0.0156,38.73,0,70.1,45.93,59.98,0,-34.63039,-60.966408,110.8,1.33
celo,celo,2026-03-19 12:20:00,COW_019,0.0162,38.06,1,81.8,43.25,51.64,0,-34.63039,-60.966407,174.2,2.09
celo,celo,2026-03-19 12:25:00,COW_019,0.0168,37.95,1,65.4,36.56,52.69,1,-34.63039,-60.966407,10.8,0.13
celo,celo,2026-03-19 12:30:00,COW_019,0.0174,38.44,0,65.7,37.11,47.12,0,-34.63039,-60.966406,127.5,1.53
celo,celo,2026-03-19 12:35:00,COW_019,0.0179,38.82,1,62.3,39.72,53.18,0,-34.630389,-60.966408,200.0,2.4
celo,celo,2026-03-19 12:40:00,COW_019,0.0185,38.48,0,71.8,28.16,31.15,0,-34.630387,-60.966407,364.2,4.37
celo,celo,2026-03-19 12:45:00,COW_019,0.0191,38.72,0,71.0,47.69,63.38,0,-34.630388,-60.966407,48.3,0.58
celo,celo,2026-03-19 12:50:00,COW_019,0.0197,39.33,1,69.7,37.77,47.3,0,-34.630388,-60.966406,75.0,0.9
celo,celo,2026-03-19 12:55:00,COW_019,0.0203,39.17,1,70.9,42.35,54.41,0,-34.630388,-60.966407,84.2,1.01
