label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
febril,febril,2026-03-19 10:00:00,COW_022,0.0,38.83,1,79.0,40.05,49.36,0,-34.592208,-60.951752,91.7,1.1
febril,febril,2026-03-19 10:05:00,COW_022,0.0006,38.42,0,71.1,32.27,37.51,0,-34.592208,-60.951752,56.7,0.68
febril,febril,2026-03-19 10:10:00,COW_022,0.0012,38.36,0,58.9,30.26,34.1,0,-34.592208,-60.951752,79.2,0.95
febril,febril,2026-03-19 10:15:00,COW_022,0.0017,37.96,1,70.7,36.83,44.33,1,-34.592208,-60.951752,65.0,0.78
febril,febril,2026-03-19 10:20:00,COW_022,0.0023,38.27,0,60.8,25.25,35.26,0,-34.592208,-60.951752,105.0,1.26
febril,febril,2026-03-19 10:25:00,COW_022,0.0029,38.57,1,69.7,31.71,35.76,0,-34.592208,-60.951752,62.5,0.75
febril,febril,2026-03-19 10:30:00,COW_022,0.0035,38.54,1,80.2,40.13,53.06,0,-34.592208,-60.951752,43.3,0.52
febril,febril,2026-03-19 10:35:00,COW_022,0.0041,38.56,0,73.5,40.94,55.0,0,-34.592208,-60.951752,0.0,0.0
febril,febril,2026-03-19 10:40:00,COW_022,0.0046,38.57,1,62.0,42.17,48.51,0,-34.592208,-60.951752,93.3,1.12
febril,febril,2026-03-19 10:45:00,COW_022,0.0052,38.39,0,65.5,43.51,62.23,1,-34.592208,-60.951752,95.0,1.14
febril,febril,2026-03-19 10:50:00,COW_022,0.0058,38.57,0,71.2,33.55,47.26,0,-34.592208,-60.951753,142.5,1.71
febril,febril,2026-03-19 10:55:00,COW_022,0.0064,38.88,1,68.0,32.21,41.67,0,-34.592208,-60.951753,0.0,0.0
febril,febril,2026-03-19 11:00:00,COW_022,0.0069,38.26,1,63.7,43.63,59.18,0,-34.592208,-60.951753,108.3,1.3
febril,febril,2026-03-19 11:05:00,COW_022,0.0075,38.96,1,61.8,36.98,43.27,0,-34.592208,-60.951753,46.7,0.56
febril,febril,2026-03-19 11:10:00,COW_022,0.0081,38.91,1,69.7,33.8,44.78,0,-34.592208,-60.951753,24.2,0.29
febril,febril,2026-03-19 11:15:00,COW_022,0.0087,38.53,1,69.9,41.24,58.12,0,-34.592208,-60.951752,80.8,0.97
febril,febril,2026-03-19 11:20:00,COW_022,0.0093,38.84,1,75.8,51.56,58.56,0,-34.592207,-60.951752,67.5,0.81
febril,febril,2026-03-19 11:25:00,COW_022,0.0098,38.29,1,68.1,39.57,56.21,0,-34.592207,-60.951752,20.8,0.25
febril,febril,2026-03-19 11:30:00,COW_022,0.0104,38.78,1,53.4,40.88,46.07,0,-34.592207,-60.951752,37.5,0.45
febril,febril,2026-03-19 11:35:00,COW_022,0.011,38.24,1,74.9,29.59,36.91,0,-34.592207,-60.951752,60.8,0.73
febril,febril,2026-03-19 11:40:00,COW_022,0.0116,,1,75.4,31.94,37.82,0,-34.592208,-60.951752,44.2,0.53
febril,febril,2026-03-19 11:45:00,COW_022,0.0122,38.67,1,75.5,31.96,42.35,0,-34.592208,-60.951753,102.5,1.23
febril,febril,2026-03-19 11:50:00,COW_022,0.0127,38.69,1,68.7,44.76,53.28,0,-34.592208,-60.951753,65.8,0.79
febril,febril,2026-03-19 11:55:00,COW_022,0.0133,38.78,1,78.2,33.3,40.45,0,-34.592208,-60.951753,8.3,0.1
febril,febril,2026-03-19 12:00:00,COW_022,0.0139,38.06,1,60.0,35.52,43.82,1,-34.592208,-60.951753,28.3,0.34
febril,febril,2026-03-19 12:05:00,COW_022,0.0145,39.2,0,73.0,32.87,38.44,0,-34.592209,-60.951753,135.0,1.62
febril,febril,2026-03-19 12:10:00,COW_022,0.015,38.72,0,62.6,42.43,55.37,0,-34.592209,-60.951754,131.7,1.58
febril,febril,2026-03-19 12:15:00,COW_022,0.0156,38.66,1,62.9,31.92,43.53,1,-34.592209,-60.951754,43.3,0.52
febril,febril,2026-03-19 12:20:00,COW_022,0.0162,38.12,0,62.4,30.79,41.85,0,-34.592208,-60.951754,94.2,1.13
febril,febril,2026-03-19 12:25:00,COW_022,0.0168,38.66,1,63.5,39.21,51.74,1,-34.592208,-60.951753,55.8,0.67
febril,febril,2026-03-19 12:30:00,COW_022,0.0174,38.07,1,75.6,36.77,49.75,1,-34.592208,-60.951754,69.2,0.83
febril,febril,2026-03-19 12:35:00,COW_022,0.0179,38.71,1,73.0,34.43,47.96,0,-34.592208,-60.951754,103.3,1.24
febril,febril,2026-03-19 12:40:00,COW_022,0.0185,39.06,0,70.5,37.82,45.6,0,-34.592208,-60.951754,92.5,1.11
febril,febril,2026-03-19 12:45:00,COW_022,0.0191,39.11,1,76.3,28.5,34.4,0,-34.592208,-60.951754,104.2,1.25
febril,febril,2026-03-19 12:50:00,COW_022,0.0197,38.53,0,68.4,43.39,57.77,0,-34.592208,-60.951754,38.3,0.46
febril,febril,2026-03-19 12:55:00,COW_022,0.0203,39.08,1,66.3,36.87,53.11,0,-34.592208,-60.951754,40.8,0.49
febril,febril,2026-03-19 13:00:00,COW_022,0.0208,38.78,1,68.2,43.49,51.67,0,-34.592208,-60.951754,15.0,0.18
febril,febril,2026-03-19 13:05:00,COW_022,0.0214,38.45,1,65.4,38.78,48.13,0,-34.592208,-60.951754,61.7,0.74
febril,febril,2026-03-19 13:10:00,COW_022,0.022,38.55,1,64.8,33.49,42.36,0,-34.592208,-60.951754,4.2,0.05
febril,febril,2026-03-19 13:15:00,COW_022,0.0226,38.78,1,71.8,43.23,54.89,0,-34.592207,-60.951753,90.0,1.08
febril,febril,2026-03-19 13:20:00,COW_022,0.0231,38.18,1,83.2,35.66,48.9,0,-34.592208,-60.951753,51.7,0.62
febril,febril,2026-03-19 13:25:00,COW_022,0.0237,38.24,1,64.3,38.22,45.06,0,-34.592208,-60.951753,105.8,1.27
febril,febril,2026-03-19 13:30:00,COW_022,0.0243,38.26,1,71.3,42.75,52.89,0,-34.592208,-60.951753,66.7,0.8
febril,febril,2026-03-19 13:35:00,COW_022,0.0249,38.56,1,75.8,31.91,35.24,0,-34.592208,-60.951753,34.2,0.41
febril,febril,2026-03-19 13:40:00,COW_022,0.0255,38.79,0,62.8,37.46,43.82,0,-34.592208,-60.951753,48.3,0.58
febril,febril,2026-03-19 13:45:00,COW_022,0.026,38.25,0,72.9,35.89,48.19,0,-34.592207,-60.951753,38.3,0.46
febril,febril,2026-03-19 13:50:00,COW_022,0.0266,38.37,0,70.7,35.38,43.44,0,-34.592208,-60.951753,108.3,1.3
febril,febril,2026-03-19 13:55:00,COW_022,0.0272,38.64,1,63.9,31.25,34.42,0,-34.592208,-60.951753,55.0,0.66
febril,febril,2026-03-19 14:00:00,COW_022,0.0278,38.48,0,72.5,34.98,39.12,0,-34.592208,-60.951752,42.5,0.51
febril,febril,2026-03-19 14:05:00,COW_022,0.0284,38.55,1,79.2,37.92,44.25,0,-34.592208,-60.951752,13.3,0.16
febril,febril,2026-03-19 14:10:00,COW_022,0.0289,39.49,1,70.1,32.8,40.46,0,-34.592208,-60.951752,0.0,0.0
febril,febril,2026-03-19 14:15:00,COW_022,0.0295,38.44,1,63.6,41.26,56.39,0,-34.592208,-60.951752,15.0,0.18
febril,febril,2026-03-19 14:20:00,COW_022,0.0301,38.85,1,68.3,35.76,50.38,0,-34.592208,-60.951752,130.8,1.57
febril,febril,2026-03-19 14:25:00,COW_022,0.0307,38.61,0,51.8,37.77,42.31,0,-34.592208,-60.951753,118.3,1.42
febril,febril,2026-03-19 14:30:00,COW_022,0.0312,38.86,0,72.3,38.4,54.32,0,-34.592208,-60.951753,0.0,0.0
febril,febril,2026-03-19 14:35:00,COW_022,0.0318,38.25,1,65.0,32.74,36.39,0,-34.592208,-60.951753,174.2,2.09
febril,febril,2026-03-19 14:40:00,COW_022,0.0324,38.69,1,74.1,28.38,33.34,1,-34.592208,-60.951754,58.3,0.7
febril,febril,2026-03-19 14:45:00,COW_022,0.033,39.41,1,72.6,39.86,48.22,0,-34.592208,-60.951755,100.8,1.21
febril,febril,2026-03-19 14:50:00,COW_022,0.0336,38.59,1,59.8,39.43,49.49,0,-34.592207,-60.951755,104.2,1.25
febril,febril,2026-03-19 14:55:00,COW_022,0.0341,38.15,1,73.3,31.06,35.06,0,-34.592207,-60.951755,0.0,0.0
febril,febril,2026-03-19 15:00:00,COW_022,0.0347,38.36,1,60.5,30.95,40.59,0,-34.592207,-60.951755,93.3,1.12
febril,febril,2026-03-19 15:05:00,COW_022,0.0353,38.97,1,70.7,41.43,58.61,1,-34.592207,-60.951755,15.8,0.19
febril,febril,2026-03-19 15:10:00,COW_022,0.0359,38.38,1,64.2,31.5,39.33,0,-34.592208,-60.951755,96.7,1.16
febril,febril,2026-03-19 15:15:00,COW_022,0.0365,38.88,1,76.9,43.31,59.77,0,-34.592208,-60.951755,65.0,0.78
febril,febril,2026-03-19 15:20:00,COW_022,0.037,39.62,1,69.6,47.57,67.92,0,-34.592208,-60.951755,0.0,0.0
febril,febril,2026-03-19 15:25:00,COW_022,0.0376,38.56,1,61.2,31.91,40.81,0,-34.592208,-60.951755,228.3,2.74
febril,febril,2026-03-19 15:30:00,COW_022,0.0382,38.66,0,77.8,39.08,46.54,0,-34.592208,-60.951754,80.0,0.96
febril,febril,2026-03-19 15:35:00,COW_022,0.0388,39.33,1,73.8,31.9,38.09,0,-34.592208,-60.951755,123.3,1.48
febril,febril,2026-03-19 15:40:00,COW_022,0.0394,39.18,1,80.4,36.26,49.45,1,-34.592207,-60.951754,124.2,1.49
febril,febril,2026-03-19 15:45:00,COW_022,0.0399,38.94,1,60.8,39.54,44.63,0,-34.592208,-60.951754,135.0,1.62
febril,febril,2026-03-19 15:50:00,COW_022,0.0405,39.03,1,71.7,34.92,47.51,0,-34.592208,-60.951754,32.5,0.39
febril,febril,2026-03-19 15:55:00,COW_022,0.0411,38.59,1,69.0,38.48,43.97,0,-34.592208,-60.951754,116.7,1.4
febril,febril,2026-03-19 16:00:00,COW_022,0.0417,38.01,1,71.4,41.8,46.85,0,-34.592208,-60.951754,57.5,0.69
febril,febril,2026-03-19 16:05:00,COW_022,0.0422,38.3,1,64.7,35.53,39.19,0,-34.592208,-60.951755,107.5,1.29
febril,febril,2026-03-19 16:10:00,COW_022,0.0428,38.08,1,57.9,40.36,54.23,0,-34.592208,-60.951755,22.5,0.27
febril,febril,2026-03-19 16:15:00,COW_022,0.0434,37.85,1,67.5,30.26,37.94,0,-34.592207,-60.951755,124.2,1.49
febril,febril,2026-03-19 16:20:00,COW_022,0.044,38.94,0,74.2,36.22,46.34,0,-34.592208,-60.951755,191.7,2.3
febril,febril,2026-03-19 16:25:00,COW_022,0.0446,38.56,1,68.7,26.79,33.89,0,-34.592208,-60.951755,70.8,0.85
febril,febril,2026-03-19 16:30:00,COW_022,0.0451,38.88,0,66.6,43.29,60.87,1,-34.592208,-60.951755,60.0,0.72
