label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
febril,febril,2026-03-19 10:00:00,COW_023,0.0,38.96,0,70.8,38.37,47.52,0,-34.615238,-60.906154,82.5,0.99
febril,febril,2026-03-19 10:05:00,COW_023,0.0006,38.16,0,68.2,29.86,39.9,0,-34.615239,-60.906154,87.5,1.05
febril,febril,2026-03-19 10:10:00,COW_023,0.0012,38.36,1,59.1,31.77,42.18,0,-34.615239,-60.906154,1.7,0.02
febril,febril,2026-03-19 10:15:00,COW_023,0.0017,38.75,1,70.8,33.55,45.58,1,-34.615238,-60.906153,98.3,1.18
febril,febril,2026-03-19 10:20:00,COW_023,0.0023,38.99,1,71.4,32.27,40.57,0,-34.615239,-60.906153,135.8,1.63
febril,febril,2026-03-19 10:25:00,COW_023,0.0029,39.44,1,69.8,36.78,52.84,0,-34.615238,-60.906153,86.7,1.04
febril,febril,2026-03-19 10:30:00,COW_023,0.0035,38.78,1,72.3,32.06,40.06,0,-34.615238,-60.906153,0.0,0.0
febril,febril,2026-03-19 10:35:00,COW_023,0.0041,38.83,0,75.4,38.47,47.99,1,-34.615238,-60.906153,138.3,1.66
febril,febril,2026-03-19 10:40:00,COW_023,0.0046,38.55,1,67.4,29.15,37.79,0,-34.615238,-60.906153,53.3,0.64
febril,febril,2026-03-19 10:45:00,COW_023,0.0052,38.36,1,62.2,35.39,48.51,0,-34.615238,-60.906153,4.2,0.05
febril,febril,2026-03-19 10:50:00,COW_023,0.0058,38.99,1,63.5,27.36,36.41,0,-34.615238,-60.906153,17.5,0.21
febril,febril,2026-03-19 10:55:00,COW_023,0.0064,38.56,1,84.6,16.06,20.53,0,-34.615239,-60.906153,122.5,1.47
febril,febril,2026-03-19 11:00:00,COW_023,0.0069,38.64,0,76.1,34.45,40.02,0,-34.615238,-60.906153,126.7,1.52
febril,febril,2026-03-19 11:05:00,COW_023,0.0075,38.16,0,75.7,30.09,35.08,0,-34.615238,-60.906153,61.7,0.74
febril,febril,2026-03-19 11:10:00,COW_023,0.0081,38.1,0,75.2,38.92,51.07,0,-34.615238,-60.906153,92.5,1.11
febril,febril,2026-03-19 11:15:00,COW_023,0.0087,38.46,1,62.1,33.65,42.89,1,-34.615238,-60.906153,0.0,0.0
febril,febril,2026-03-19 11:20:00,COW_023,0.0093,38.38,0,76.3,33.82,39.87,0,-34.615237,-60.906153,55.0,0.66
febril,febril,2026-03-19 11:25:00,COW_023,0.0098,38.18,1,64.7,42.37,59.06,0,-34.615237,-60.906153,30.0,0.36
