label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
digestivo,digestivo,2026-03-19 10:00:00,COW_026,0.0,38.43,0,67.3,34.98,48.79,1,-34.554565,-60.884919,111.7,1.34
digestivo,digestivo,2026-03-19 10:05:00,COW_026,0.0006,38.44,1,67.1,41.59,48.84,0,-34.554565,-60.884919,0.0,0.0
digestivo,digestivo,2026-03-19 10:10:00,COW_026,0.0012,39.07,0,61.8,39.27,53.5,0,-34.554565,-60.884919,47.5,0.57
digestivo,digestivo,2026-03-19 10:15:00,COW_026,0.0017,38.68,0,72.3,39.35,56.68,0,-34.554566,-60.884918,170.8,2.05
digestivo,digestivo,2026-03-19 10:20:00,COW_026,0.0023,38.57,0,61.8,42.76,53.28,0,-34.554566,-60.884918,38.3,0.46
digestivo,digestivo,2026-03-19 10:25:00,COW_026,0.0029,39.07,0,81.7,30.35,41.3,0,-34.554566,-60.884918,77.5,0.93
digestivo,digestivo,2026-03-19 10:30:00,COW_026,0.0035,38.78,0,69.5,43.42,55.69,0,-34.554567,-60.884918,59.2,0.71
digestivo,digestivo,2026-03-19 10:35:00,COW_026,0.0041,38.03,0,83.3,36.31,50.77,1,-34.554567,-60.884918,115.8,1.39
digestivo,digestivo,2026-03-19 10:40:00,COW_026,0.0046,39.16,0,67.9,38.5,54.56,1,-34.554567,-60.884918,6.7,0.08
digestivo,digestivo,2026-03-19 10:45:00,COW_026,0.0052,38.28,0,68.0,35.14,38.71,1,-34.554567,-60.884918,55.0,0.66
digestivo,digestivo,2026-03-19 10:50:00,COW_026,0.0058,38.79,0,68.1,37.89,52.49,0,-34.554567,-60.884918,0.0,0.0
digestivo,digestivo,2026-03-19 10:55:00,COW_026,0.0064,39.23,0,38.9,41.82,55.42,0,-34.554567,-60.884919,60.0,0.72
digestivo,digestivo,2026-03-19 11:00:00,COW_026,0.0069,39.18,0,64.1,31.21,44.97,0,-34.554567,-60.884919,7.5,0.09
digestivo,digestivo,2026-03-19 11:05:00,COW_026,0.0075,39.18,0,71.0,32.38,37.97,1,-34.554567,-60.884919,47.5,0.57
digestivo,digestivo,2026-03-19 11:10:00,COW_026,0.0081,38.07,0,73.8,37.8,43.82,1,-34.554567,-60.884919,8.3,0.1
digestivo,digestivo,2026-03-19 11:15:00,COW_026,0.0087,39.11,0,78.0,35.14,42.05,0,-34.554567,-60.884919,70.8,0.85
