label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
digestivo,digestivo,2026-03-19 10:00:00,COW_027,0.0,38.85,0,70.9,42.6,59.12,0,-34.593499,-60.901432,38.3,0.46
digestivo,digestivo,2026-03-19 10:05:00,COW_027,0.0006,38.8,0,73.1,37.3,41.66,1,-34.593499,-60.901432,0.0,0.0
digestivo,digestivo,2026-03-19 10:10:00,COW_027,0.0012,38.84,0,70.6,31.63,44.46,0,-34.593499,-60.901432,61.7,0.74
digestivo,digestivo,2026-03-19 10:15:00,COW_027,0.0017,39.55,0,78.1,26.73,35.35,0,-34.593499,-60.901432,37.5,0.45
digestivo,digestivo,2026-03-19 10:20:00,COW_027,0.0023,39.03,0,65.2,33.28,37.2,1,-34.593499,-60.901432,19.2,0.23
digestivo,digestivo,2026-03-19 10:25:00,COW_027,0.0029,39.12,0,77.9,36.88,44.7,1,-34.593499,-60.901432,73.3,0.88
digestivo,digestivo,2026-03-19 10:30:00,COW_027,0.0035,39.17,0,78.6,31.93,35.23,0,-34.593499,-60.901432,0.0,0.0
digestivo,digestivo,2026-03-19 10:35:00,COW_027,0.0041,39.21,0,71.5,35.42,51.0,0,-34.593499,-60.901432,71.7,0.86
digestivo,digestivo,2026-03-19 10:40:00,COW_027,0.0046,38.97,0,80.7,34.03,38.25,0,-34.5935,-60.901431,49.2,0.59
digestivo,digestivo,2026-03-19 10:45:00,COW_027,0.0052,38.73,0,74.8,29.27,35.51,0,-34.5935,-60.901431,87.5,1.05
digestivo,digestivo,2026-03-19 10:50:00,COW_027,0.0058,39.28,0,74.4,27.99,37.14,0,-34.5935,-60.901431,61.7,0.74
digestivo,digestivo,2026-03-19 10:55:00,COW_027,0.0064,38.77,0,79.5,33.14,47.86,1,-34.5935,-60.901431,15.0,0.18
digestivo,digestivo,2026-03-19 11:00:00,COW_027,0.0069,39.47,0,69.0,36.11,50.89,0,-34.5935,-60.901431,0.0,0.0
digestivo,digestivo,2026-03-19 11:05:00,COW_027,0.0075,38.53,0,62.8,33.81,48.77,1,-34.5935,-60.901431,0.0,0.0
digestivo,digestivo,2026-03-19 11:10:00,COW_027,0.0081,39.56,0,45.4,36.28,41.3,0,-34.5935,-60.901431,95.0,1.14
digestivo,digestivo,2026-03-19 11:15:00,COW_027,0.0087,38.52,1,67.4,39.0,47.27,1,-34.5935,-60.901431,107.5,1.29
digestivo,digestivo,2026-03-19 11:20:00,COW_027,0.0093,38.77,0,71.3,29.79,37.65,0,-34.5935,-60.901431,0.0,0.0
digestivo,digestivo,2026-03-19 11:25:00,COW_027,0.0098,39.17,0,70.6,39.64,46.03,0,-34.5935,-60.901431,0.0,0.0
digestivo,digestivo,2026-03-19 11:30:00,COW_027,0.0104,38.72,0,66.5,36.53,49.52,1,-34.5935,-60.901431,66.7,0.8
digestivo,digestivo,2026-03-19 11:35:00,COW_027,0.011,38.8,0,68.4,35.45,49.56,0,-34.5935,-60.901431,60.0,0.72
digestivo,digestivo,2026-03-19 11:40:00,COW_027,0.0116,38.66,0,68.6,25.14,35.64,1,-34.5935,-60.901431,0.0,0.0
digestivo,digestivo,2026-03-19 11:45:00,COW_027,0.0122,39.17,0,69.6,31.69,35.13,0,-34.5935,-60.901431,0.0,0.0
digestivo,digestivo,2026-03-19 11:50:00,COW_027,0.0127,39.13,0,64.7,25.7,29.57,0,-34.5935,-60.901431,17.5,0.21
digestivo,digestivo,2026-03-19 11:55:00,COW_027,0.0133,38.5,0,60.3,33.83,43.4,0,-34.5935,-60.901431,34.2,0.41
digestivo,digestivo,2026-03-19 12:00:00,COW_027,0.0139,38.65,0,69.7,38.7,44.94,1,-34.5935,-60.901431,47.5,0.57
digestivo,digestivo,2026-03-19 12:05:00,COW_027,0.0145,38.22,0,63.4,34.19,43.9,1,-34.5935,-60.901431,0.0,0.0
digestivo,digestivo,2026-03-19 12:10:00,COW_027,0.015,39.03,0,58.8,36.33,49.6,1,-34.5935,-60.901431,44.2,0.53
digestivo,digestivo,2026-03-19 12:15:00,COW_027,0.0156,39.42,0,70.4,36.12,41.0,1,-34.5935,-60.901431,20.8,0.25
digestivo,digestivo,2026-03-19 12:20:00,COW_027,0.0162,38.21,0,69.0,40.21,47.06,0,-34.5935,-60.901431,0.0,0.0
digestivo,digestivo,2026-03-19 12:25:00,COW_027,0.0168,39.32,0,81.4,25.91,30.5,0,-34.5935,-60.901431,15.0,0.18
digestivo,digestivo,2026-03-19 12:30:00,COW_027,0.0174,38.87,0,67.8,38.23,44.7,0,-34.5935,-60.901431,53.3,0.64
digestivo,digestivo,2026-03-19 12:35:00,COW_027,0.0179,39.05,0,74.9,23.24,27.28,0,-34.5935,-60.901431,0.0,0.0
digestivo,digestivo,2026-03-19 12:40:00,COW_027,0.0185,38.89,0,78.5,24.84,35.75,1,-34.5935,-60.901431,6.7,0.08
digestivo,digestivo,2026-03-19 12:45:00,COW_027,0.0191,39.6,0,62.9,32.67,42.72,0,-34.5935,-60.901431,98.3,1.18
digestivo,digestivo,2026-03-19 12:50:00,COW_027,0.0197,38.37,0,74.1,41.28,49.21,0,-34.5935,-60.901431,8.3,0.1
digestivo,digestivo,2026-03-19 12:55:00,COW_027,0.0203,38.66,0,59.9,33.84,39.51,1,-34.5935,-60.901431,98.3,1.18
digestivo,digestivo,2026-03-19 13:00:00,COW_027,0.0208,39.04,0,71.5,45.81,64.42,1,-34.5935,-60.901431,43.3,0.52
digestivo,digestivo,2026-03-19 13:05:00,COW_027,0.0214,38.74,0,71.6,32.43,42.69,0,-34.593499,-60.901431,99.2,1.19
digestivo,digestivo,2026-03-19 13:10:00,COW_027,0.022,38.43,0,83.0,32.95,37.17,1,-34.593499,-60.901431,21.7,0.26
digestivo,digestivo,2026-03-19 13:15:00,COW_027,0.0226,38.89,0,74.5,28.82,38.17,1,-34.593499,-60.901431,0.0,0.0
digestivo,digestivo,2026-03-19 13:20:00,COW_027,0.0231,39.08,0,75.0,24.2,26.65,0,-34.593499,-60.901431,0.0,0.0
digestivo,digestivo,2026-03-19 13:25:00,COW_027,0.0237,39.34,0,74.5,26.36,32.65,0,-34.593499,-60.901431,17.5,0.21
digestivo,digestivo,2026-03-19 13:30:00,COW_027,0.0243,38.44,0,70.1,26.36,34.61,1,-34.593498,-60.901431,84.2,1.01
digestivo,digestivo,2026-03-19 13:35:00,COW_027,0.0249,38.65,0,70.7,27.53,39.38,1,-34.593498,-60.901431,0.0,0.0
digestivo,digestivo,2026-03-19 13:40:00,COW_027,0.0255,39.0,0,85.4,39.35,45.83,1,-34.593498,-60.901431,100.0,1.2
digestivo,digestivo,2026-03-19 13:45:00,COW_027,0.026,39.05,0,62.0,37.06,51.12,0,-34.593498,-60.901431,17.5,0.21
digestivo,digestivo,2026-03-19 13:50:00,COW_027,0.0266,39.08,0,70.9,38.52,46.08,0,-34.593498,-60.90143,74.2,0.89
digestivo,digestivo,2026-03-19 13:55:00,COW_027,0.0272,39.44,1,68.5,38.03,44.17,0,-34.593498,-60.90143,0.0,0.0
digestivo,digestivo,2026-03-19 14:00:00,COW_027,0.0278,38.53,0,72.1,42.91,57.18,0,-34.593498,-60.90143,66.7,0.8
digestivo,digestivo,2026-03-19 14:05:00,COW_027,0.0284,39.65,0,60.5,37.26,46.51,1,-34.593497,-60.90143,165.0,1.98
digestivo,digestivo,2026-03-19 14:10:00,COW_027,0.0289,38.82,0,70.4,34.2,48.45,0,-34.593497,-60.90143,11.7,0.14
digestivo,digestivo,2026-03-19 14:15:00,COW_027,0.0295,38.89,0,64.3,35.13,50.24,1,-34.593497,-60.90143,8.3,0.1
digestivo,digestivo,2026-03-19 14:20:00,COW_027,0.0301,39.48,0,77.2,31.2,40.68,1,-34.593497,-60.90143,56.7,0.68
digestivo,digestivo,2026-03-19 14:25:00,COW_027,0.0307,39.33,0,70.3,36.06,43.67,1,-34.593497,-60.90143,80.0,0.96
digestivo,digestivo,2026-03-19 14:30:00,COW_027,0.0312,39.04,0,75.5,40.69,53.27,0,-34.593497,-60.90143,58.3,0.7
digestivo,digestivo,2026-03-19 14:35:00,COW_027,0.0318,39.11,0,74.1,31.04,44.27,1,-34.593497,-60.90143,79.2,0.95
digestivo,digestivo,2026-03-19 14:40:00,COW_027,0.0324,38.64,0,72.3,29.53,34.02,0,-34.593497,-60.90143,40.8,0.49
digestivo,digestivo,2026-03-19 14:45:00,COW_027,0.033,38.52,0,57.9,33.46,42.46,1,-34.593497,-60.90143,0.0,0.0
digestivo,digestivo,2026-03-19 14:50:00,COW_027,0.0336,39.35,0,71.5,35.05,39.5,1,-34.593497,-60.90143,27.5,0.33
digestivo,digestivo,2026-03-19 14:55:00,COW_027,0.0341,39.87,0,74.3,37.9,42.17,0,-34.593497,-60.90143,5.8,0.07
digestivo,digestivo,2026-03-19 15:00:00,COW_027,0.0347,38.51,1,76.1,37.72,45.45,0,-34.593497,-60.90143,18.3,0.22
digestivo,digestivo,2026-03-19 15:05:00,COW_027,0.0353,38.57,1,73.1,23.23,29.43,0,-34.593497,-60.90143,71.7,0.86
digestivo,digestivo,2026-03-19 15:10:00,COW_027,0.0359,37.97,0,71.8,37.1,52.94,0,-34.593497,-60.90143,0.0,0.0
digestivo,digestivo,2026-03-19 15:15:00,COW_027,0.0365,39.1,0,83.5,42.56,51.27,1,-34.593497,-60.90143,0.0,0.0
digestivo,digestivo,2026-03-19 15:20:00,COW_027,0.037,38.97,1,74.5,34.38,44.0,0,-34.593497,-60.90143,59.2,0.71
digestivo,digestivo,2026-03-19 15:25:00,COW_027,0.0376,39.78,0,66.3,35.11,46.95,1,-34.593497,-60.901431,83.3,1.0
digestivo,digestivo,2026-03-19 15:30:00,COW_027,0.0382,38.94,0,90.4,32.37,42.81,0,-34.593497,-60.901431,4.2,0.05
digestivo,digestivo,2026-03-19 15:35:00,COW_027,0.0388,38.49,0,82.9,27.81,34.56,0,-34.593498,-60.901431,55.8,0.67
digestivo,digestivo,2026-03-19 15:40:00,COW_027,0.0394,39.08,0,65.9,17.23,24.21,1,-34.593498,-60.901431,139.2,1.67
digestivo,digestivo,2026-03-19 15:45:00,COW_027,0.0399,38.31,0,69.4,31.41,37.78,0,-34.593498,-60.90143,91.7,1.1
digestivo,digestivo,2026-03-19 15:50:00,COW_027,0.0405,38.51,0,67.7,34.1,37.55,0,-34.593497,-60.90143,36.7,0.44
digestivo,digestivo,2026-03-19 15:55:00,COW_027,0.0411,38.73,0,68.5,36.93,48.66,1,-34.593497,-60.90143,0.0,0.0
